,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1415748,1516548,16065348,30,False,0,0,31,4.8e-05,0.852941,0.404211,68,Identity(),30,0.89916,0.776885,0.852941,0.6729,0.888889,0.753942,1.0,1.0,False,0.06932333333333333,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.726512526324009,oracle
1417729,1518529,16067329,1403,False,6,6,4,7.3e-05,0.897059,0.449446,36,ReLU(),103,0.886555,0.751022,0.897059,0.781736,0.888889,0.757466,0.970588,0.938679,False,0.02047600000000001,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.6628175309204482,oracle
1425973,1526773,16075573,2452,False,0,0,53,4.3e-05,0.897059,0.277302,76,SELU(),352,0.932773,0.851971,0.897059,0.774559,0.924837,0.834634,1.0,1.0,False,0.05160800000000002,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.6808096257135726,oracle
1429370,1530170,16078970,2103,False,5,5,4,8.8e-05,0.838235,0.475289,61,LeakyReLU(negative_slope=0.01),203,0.827731,0.628517,0.838235,0.649486,0.830065,0.633154,0.970588,0.938679,False,0.013979333333333344,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.7262114438985763,oracle
1434882,1535682,16084482,438,False,4,4,39,4.9e-05,0.897059,0.313233,98,Identity(),38,0.907563,0.796026,0.897059,0.781736,0.908497,0.798966,1.0,1.0,False,0.011486666666666645,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.7757525686829863,oracle
1441596,1542396,16091196,3304,False,1,1,5,8e-05,0.882353,0.444031,51,GELU(approximate=False),404,0.907563,0.796822,0.882353,0.738934,0.901961,0.783958,0.970588,0.938679,False,0.038592000000000036,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.7268547510666132,oracle
1450242,1551042,16099842,1377,False,5,5,78,5.6e-05,0.897059,0.246696,99,ReLU(),177,0.983193,0.963168,0.897059,0.771855,0.964052,0.921062,1.0,1.0,False,0.12754200000000004,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.6452746381512063,oracle
1451009,1551809,16100609,2740,False,3,3,41,4.9e-05,0.926471,0.286997,88,SELU(),340,0.932773,0.85254,0.926471,0.84314,0.931373,0.850086,1.0,1.0,False,0.006266666666666643,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.7635299927268556,oracle
1459846,1560646,16109446,1277,False,4,4,78,5.4e-05,0.941176,0.16783,98,ReLU(),177,0.970588,0.935441,0.941176,0.870603,0.964052,0.921062,1.0,1.0,False,0.0432253333333333,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.6432040218934267,oracle
1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.012276666666666639,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9317580086153636,oracle
1472258,1573058,16121858,427,False,4,4,28,5.1e-05,0.852941,0.362843,90,Identity(),27,0.920168,0.824351,0.852941,0.6729,0.905229,0.79113,1.0,1.0,False,0.10096733333333326,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8114571800977729,oracle
1477101,1577901,16126701,3055,False,6,6,56,4.3e-05,0.897059,0.240271,68,SELU(),355,0.932773,0.853448,0.897059,0.774559,0.924837,0.83601,1.0,1.0,False,0.052592666666666656,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.6479818316615248,oracle
1481218,1582018,16130818,3152,False,7,7,53,4.1e-05,0.882353,0.360258,69,SELU(),352,0.92437,0.833113,0.882353,0.738934,0.918301,0.819554,1.0,1.0,False,0.06278600000000001,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.6626248500951516,oracle
1488814,1589614,16138414,1349,False,5,5,50,5.7e-05,0.897059,0.214604,95,ReLU(),149,0.966387,0.926165,0.897059,0.781736,0.95098,0.89253,1.0,1.0,False,0.09628600000000002,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.7414932216512178,oracle
1489654,1590454,16139254,2631,False,2,2,32,4.7e-05,0.911765,0.278459,76,SELU(),331,0.911765,0.805991,0.911765,0.80647,0.911765,0.80609,1.0,1.0,False,0.00031933333333333813,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.7598107299507058,oracle
1498243,1599043,16147843,2040,False,4,4,41,3.7e-05,0.955882,0.523553,7,LeakyReLU(negative_slope=0.01),240,0.920168,0.824777,0.955882,0.902963,0.934641,0.855882,1.0,1.0,False,0.05212399999999998,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.51386670853338,oracle
1501703,1602503,16151303,3079,False,6,6,80,4e-05,0.926471,0.279896,41,SELU(),379,0.915966,0.816119,0.926471,0.84314,0.918301,0.821961,1.0,1.0,False,0.018013999999999974,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.49524739971138154,oracle
1511412,1612212,16161012,1006,False,2,2,7,0.000104,0.823529,0.428861,97,ReLU(),106,0.89916,0.77656,0.823529,0.60386,0.882353,0.738549,0.970588,0.938679,False,0.11513333333333338,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8770943941103505,oracle
1513640,1614440,16163240,952,False,1,1,53,4.7e-05,0.802632,0.466453,48,ReLU(),152,0.787594,0.512005,0.802632,0.544436,0.790936,0.518748,0.828947,0.608802,False,0.02162066666666666,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.6048772154117008,oracle
1522809,1623609,16172409,1445,False,6,6,46,4.1e-05,0.809211,0.492079,21,ReLU(),145,0.763158,0.449365,0.809211,0.561598,0.773392,0.474588,0.828947,0.61127,False,0.07482200000000001,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.5242797399145537,oracle
1523248,1624048,16172848,1973,False,3,3,74,4.2e-05,0.782895,0.443038,23,LeakyReLU(negative_slope=0.01),273,0.783835,0.497999,0.782895,0.501535,0.783626,0.498665,0.828947,0.608487,False,0.0023573333333332855,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.4597621823638458,oracle
1532019,1632819,16181619,2032,False,4,4,33,5.5e-05,0.828947,0.427568,52,LeakyReLU(negative_slope=0.01),232,0.766917,0.463922,0.828947,0.608802,0.777778,0.490364,0.828947,0.608802,False,0.09658666666666664,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.6691533691168766,oracle
1537357,1638157,16186957,3951,False,7,7,52,4.4e-05,0.802632,0.480314,18,GELU(approximate=False),451,0.776316,0.484016,0.802632,0.546779,0.783626,0.500723,0.828947,0.608802,False,0.04184200000000001,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.5097242381542907,oracle
1544948,1645748,16194548,1129,False,3,3,30,4.9e-05,0.75,0.489186,32,ReLU(),129,0.793233,0.524338,0.75,0.408977,0.783626,0.498665,0.828947,0.608487,False,0.07690733333333333,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.6055889685087479,oracle
1545904,1646704,16195504,1441,False,6,6,42,4.5e-05,0.769737,0.454773,36,ReLU(),141,0.770677,0.469538,0.769737,0.47404,0.773392,0.476682,0.828947,0.608802,False,0.0047626666666666555,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.5824322206633141,oracle
1553742,1654542,16203342,3929,False,7,7,30,4.4e-05,0.789474,0.555675,10,GELU(approximate=False),429,0.75,0.449884,0.789474,0.524442,0.761696,0.471143,0.828947,0.61127,False,0.0497053333333333,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.5292985006578159,oracle
1557835,1658635,16207435,1220,False,4,4,21,5e-05,0.782895,0.486819,36,ReLU(),120,0.772556,0.477559,0.782895,0.501535,0.776316,0.485982,0.828947,0.61167,False,0.01598399999999996,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.6392608426040648,oracle
1566836,1667636,16216436,1730,False,1,1,31,5.6e-05,0.822368,0.45167,63,LeakyReLU(negative_slope=0.01),230,0.785714,0.505953,0.822368,0.593902,0.79386,0.525662,0.828947,0.608802,False,0.0586326666666667,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.7314756449898143,oracle
1571539,1672339,16221139,2120,False,5,5,21,6.2e-05,0.769737,0.474418,70,LeakyReLU(negative_slope=0.01),220,0.795113,0.527112,0.769737,0.47404,0.790936,0.518308,0.815789,0.579365,False,0.03538133333333334,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.7882035821653249,oracle
1578555,1679355,16228155,1711,False,1,1,12,6.7e-05,0.75,0.526597,83,LeakyReLU(negative_slope=0.01),211,0.798872,0.536935,0.75,0.439632,0.789474,0.516529,0.842105,0.639789,False,0.06486866666666669,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.8682323395847577,oracle
1580528,1681328,16230128,1391,False,5,5,92,4.1e-05,0.769737,0.472984,20,ReLU(),191,0.776316,0.484016,0.769737,0.463452,0.774854,0.47934,0.828947,0.608487,False,0.013709333333333351,diabetes,12,exp0090_politica_1_oracle_1m1l,,,0.4134430247539946,oracle
1588147,1688947,16237747,3632,False,4,4,33,5.1e-05,0.809211,0.435551,49,GELU(approximate=False),432,0.774436,0.479942,0.809211,0.560836,0.783626,0.500261,0.828947,0.608487,False,0.05392933333333335,diabetes,3,exp0090_politica_1_oracle_1m1l,,,0.6622841705068786,oracle
1594283,1695083,16243883,1411,False,6,6,12,6.1e-05,0.802632,0.499655,56,ReLU(),111,0.772556,0.475896,0.802632,0.548788,0.783626,0.502813,0.828947,0.61167,False,0.04859466666666671,diabetes,15,exp0090_politica_1_oracle_1m1l,,,0.7450509689440122,oracle
1597770,1698570,16247370,1726,False,1,1,27,5.4e-05,0.776316,0.47312,44,LeakyReLU(negative_slope=0.01),226,0.789474,0.51487,0.776316,0.482328,0.78655,0.507673,0.815789,0.579365,False,0.021694666666666713,diabetes,1,exp0090_politica_1_oracle_1m1l,,,0.6621929446063602,oracle
1603383,1704183,16252983,1439,False,6,6,40,4.9e-05,0.796053,0.480576,39,ReLU(),139,0.785714,0.51029,0.796053,0.528081,0.792398,0.524442,0.828947,0.61167,False,0.011860666666666667,diabetes,16,exp0090_politica_1_oracle_1m1l,,,0.6116055504093554,oracle
1610454,1711254,16260054,1784,False,1,1,85,4.3e-05,0.809211,0.467383,17,LeakyReLU(negative_slope=0.01),284,0.781955,0.495281,0.809211,0.563113,0.788012,0.510931,0.828947,0.608802,False,0.0452213333333333,diabetes,6,exp0090_politica_1_oracle_1m1l,,,0.439178283180045,oracle
1614904,1715704,16264504,2792,False,3,3,93,3.6e-05,0.845588,0.448495,2,SELU(),392,0.85084,0.69659,0.845588,0.686368,0.856209,0.707576,0.941176,0.885509,False,0.01413866666666667,Australian,17,exp0090_politica_1_oracle_1m1l,,,0.38534629797013026,oracle
1620119,1720919,16269719,1533,False,7,7,34,4.5e-05,0.867647,0.368159,21,ReLU(),133,0.852941,0.701142,0.867647,0.733144,0.857843,0.711352,0.926471,0.858157,False,0.02133466666666665,Australian,18,exp0090_politica_1_oracle_1m1l,,,0.5547320759700891,oracle
1625809,1726609,16275409,2104,False,5,5,5,0.00012,0.875,0.379209,63,LeakyReLU(negative_slope=0.01),204,0.865546,0.727016,0.875,0.747526,0.867647,0.731501,0.926471,0.858157,False,0.013673333333333352,Australian,2,exp0090_politica_1_oracle_1m1l,,,0.7861730354383636,oracle
1631784,1732584,16281384,1315,False,5,5,16,6.4e-05,0.860294,0.381083,41,ReLU(),115,0.871849,0.739843,0.860294,0.716188,0.869281,0.734588,0.926471,0.852785,False,0.01576999999999999,Australian,5,exp0090_politica_1_oracle_1m1l,,,0.6759110364169971,oracle
