,num_samples,num_features,num_models,device,batch,strategy,seconds
0,10000,100,10000,cpu,256,sequential,493.7443941493127
1,1000,100,10000,cpu,256,sequential,50.37067557698138
2,100,100,10000,cpu,256,sequential,6.591883012880135
3,10000,50,10000,cpu,256,sequential,491.2689382807585
4,1000,50,10000,cpu,256,sequential,49.54622502068378
5,100,50,10000,cpu,256,sequential,6.4668131272803295
6,10000,10,10000,cpu,256,sequential,484.90969218313296
7,1000,10,10000,cpu,256,sequential,49.0146121046193
8,100,10,10000,cpu,256,sequential,6.009682867804804
9,10000,5,10000,cpu,256,sequential,483.2783755442248
10,1000,5,10000,cpu,256,sequential,48.8522348384191
11,100,5,10000,cpu,256,sequential,5.994025045358285
12,10000,100,10000,cuda,32,sequential,1854.8811156399624
13,1000,100,10000,cuda,32,sequential,189.01507319983463
14,100,100,10000,cuda,32,sequential,22.99294401467305
15,10000,50,10000,cuda,32,sequential,1858.0699162767792
16,1000,50,10000,cuda,32,sequential,189.14680389769487
17,100,50,10000,cuda,32,sequential,23.024704797648155
18,10000,10,10000,cuda,32,sequential,1859.140249229459
19,1000,10,10000,cuda,32,sequential,188.9656166129047
20,100,10,10000,cuda,32,sequential,22.98310533742769
21,10000,5,10000,cuda,32,sequential,1857.652726311618
22,1000,5,10000,cuda,32,sequential,189.4110622850363
23,100,5,10000,cuda,32,sequential,22.91130273612216
24,10000,100,10000,cuda,32,sequential,717.1693894732922
25,1000,100,10000,cuda,32,sequential,72.85471390311287
26,100,100,10000,cuda,32,sequential,8.642043711184305
27,10000,50,10000,cuda,32,sequential,717.594600783963
28,1000,50,10000,cuda,32,sequential,73.85982683161929
29,100,50,10000,cuda,32,sequential,8.75654105308131
30,10000,10,10000,cuda,32,sequential,724.5257553151866
31,1000,10,10000,cuda,32,sequential,73.933752053816
32,100,10,10000,cuda,32,sequential,8.751216608803952
33,10000,5,10000,cuda,32,sequential,725.6384247326044
34,1000,5,10000,cuda,32,sequential,73.83946336247682
35,100,5,10000,cuda,32,sequential,8.769418238104118
36,10000,100,10000,cpu,32,sequential,1179.4047030267436
37,1000,100,10000,cpu,32,sequential,120.29678179590556
38,100,100,10000,cpu,32,sequential,14.283300613774918
39,10000,50,10000,cpu,32,sequential,1134.9554833643838
40,1000,50,10000,cpu,32,sequential,116.30274077175416
41,100,50,10000,cpu,32,sequential,13.883987289038489
42,10000,10,10000,cpu,32,sequential,1097.5026367586777
43,1000,10,10000,cpu,32,sequential,111.83996784726916
44,100,10,10000,cpu,32,sequential,13.360328341115382
45,10000,5,10000,cpu,32,sequential,1097.5992248738826
46,1000,5,10000,cpu,32,sequential,112.05436682564614
47,100,5,10000,cpu,32,sequential,13.436823389469646
48,10000,100,10000,cuda,256,sequential,566.2478564141869
49,1000,100,10000,cuda,256,sequential,57.12905775470026
50,100,100,10000,cuda,256,sequential,8.502602294078496
51,10000,50,10000,cuda,256,sequential,567.847027620908
52,1000,50,10000,cuda,256,sequential,57.13358032386641
53,100,50,10000,cuda,256,sequential,8.519287864211583
54,10000,10,10000,cuda,256,sequential,568.5828669919141
55,1000,10,10000,cuda,256,sequential,56.94103687660645
56,100,10,10000,cuda,256,sequential,8.514811177377487
57,10000,5,10000,cuda,256,sequential,566.5920982977539
58,1000,5,10000,cuda,256,sequential,57.02001596395276
59,100,5,10000,cuda,256,sequential,8.51052166632653
60,10000,100,10000,cuda,128,sequential,717.9159447581362
61,1000,100,10000,cuda,128,sequential,72.84284184158022
62,100,100,10000,cuda,128,sequential,8.519208326254738
63,10000,50,10000,cuda,128,sequential,721.1231597496459
64,1000,50,10000,cuda,128,sequential,72.86896258277702
65,100,50,10000,cuda,128,sequential,8.498930445295992
66,10000,10,10000,cuda,128,sequential,721.3233114343078
67,1000,10,10000,cuda,128,sequential,72.9896581068344
68,100,10,10000,cuda,128,sequential,8.487368396279635
69,10000,5,10000,cuda,128,sequential,720.1919176366325
70,1000,5,10000,cuda,128,sequential,73.1661799928348
71,100,5,10000,cuda,128,sequential,8.522962787022697
72,10000,100,10000,cpu,256,parallel,50.96549789809997
73,1000,100,10000,cpu,256,parallel,5.100405169800069
74,100,100,10000,cpu,256,parallel,0.5512134755997977
75,10000,50,10000,cpu,256,parallel,48.85038153340029
76,1000,50,10000,cpu,256,parallel,4.886786038399441
77,100,50,10000,cpu,256,parallel,0.501396919799663
78,10000,10,10000,cpu,256,parallel,47.15314304589992
79,1000,10,10000,cpu,256,parallel,4.741796578199865
80,100,10,10000,cpu,256,parallel,0.4750576697002543
81,10000,5,10000,cpu,256,parallel,47.13347665449983
82,1000,5,10000,cpu,256,parallel,4.717013079200115
83,100,5,10000,cpu,256,parallel,0.4723169687000336
84,10000,100,10000,cuda,32,parallel,4.437641086700069
85,1000,100,10000,cuda,32,parallel,0.4488593674992444
86,100,100,10000,cuda,32,parallel,0.0428580866006086
87,10000,50,10000,cuda,32,parallel,3.4826488961
88,1000,50,10000,cuda,32,parallel,0.350820590899093
89,100,50,10000,cuda,32,parallel,0.0326725562008505
90,10000,10,10000,cuda,32,parallel,2.745407162600168
91,1000,10,10000,cuda,32,parallel,0.2759196569037158
92,100,10,10000,cuda,32,parallel,0.0251751881980453
93,10000,5,10000,cuda,32,parallel,2.676187262199528
94,1000,5,10000,cuda,32,parallel,0.2688591946003725
95,100,5,10000,cuda,32,parallel,0.0243236787006026
96,10000,100,10000,cuda,32,parallel,1.3114032578996555
97,1000,100,10000,cuda,32,parallel,0.1330817014004424
98,100,100,10000,cuda,32,parallel,0.0017630930007726
99,10000,50,10000,cuda,32,parallel,1.1992471090998151
100,1000,50,10000,cuda,32,parallel,0.121762082799978
101,100,50,10000,cuda,32,parallel,0.0017950467998161
102,10000,10,10000,cuda,32,parallel,1.105219054000918
103,1000,10,10000,cuda,32,parallel,0.1121500856992497
104,100,10,10000,cuda,32,parallel,0.0018031129991868
105,10000,5,10000,cuda,32,parallel,1.1041791627998463
106,1000,5,10000,cuda,32,parallel,0.1118413814998348
107,100,5,10000,cuda,32,parallel,0.0018060023998259
108,10000,100,10000,cpu,32,parallel,74.6612540465998
109,1000,100,10000,cpu,32,parallel,7.373187752900412
110,100,100,10000,cpu,32,parallel,0.8089929554058471
111,10000,50,10000,cpu,32,parallel,62.66412715849874
112,1000,50,10000,cpu,32,parallel,6.14350290739385
113,100,50,10000,cpu,32,parallel,0.6579525997018209
114,10000,10,10000,cpu,32,parallel,53.351378171503896
115,1000,10,10000,cpu,32,parallel,5.337899038597243
116,100,10,10000,cpu,32,parallel,0.5394876157020917
117,10000,5,10000,cpu,32,parallel,52.73680549710698
118,1000,5,10000,cpu,32,parallel,5.248084901002585
119,100,5,10000,cpu,32,parallel,0.5253633974003605
120,10000,100,10000,cuda,256,parallel,2.749653153799909
121,1000,100,10000,cuda,256,parallel,0.2331596344996796
122,100,100,10000,cuda,256,parallel,0.0014270058996771
123,10000,50,10000,cuda,256,parallel,2.5690212114999667
124,1000,50,10000,cuda,256,parallel,0.2176196318996517
125,100,50,10000,cuda,256,parallel,0.0014272877993789
126,10000,10,10000,cuda,256,parallel,2.438617362899822
127,1000,10,10000,cuda,256,parallel,0.2062564171999838
128,100,10,10000,cuda,256,parallel,0.0014054631996259
129,10000,5,10000,cuda,256,parallel,2.4256672006999
130,1000,5,10000,cuda,256,parallel,0.2026971613013302
131,100,5,10000,cuda,256,parallel,0.0014233516012609
132,10000,100,10000,cuda,128,parallel,2.9449652554962085
133,1000,100,10000,cuda,128,parallel,0.295969519999926
134,100,100,10000,cuda,128,parallel,0.0014095349964918
135,10000,50,10000,cuda,128,parallel,2.652083582399064
136,1000,50,10000,cuda,128,parallel,0.2648157332965638
137,100,50,10000,cuda,128,parallel,0.001405625703046
138,10000,10,10000,cuda,128,parallel,2.4286297250044298
139,1000,10,10000,cuda,128,parallel,0.2435266947053605
140,100,10,10000,cuda,128,parallel,0.0013991726969834
141,10000,5,10000,cuda,128,parallel,2.4074042980995727
142,1000,5,10000,cuda,128,parallel,0.2411877553997328
143,100,5,10000,cuda,128,parallel,0.0014165525033604
