,,,value,value,value,value,value,value,value,value,value
num_samples,,,100,100,100,1000,1000,1000,10000,10000,10000
batch,,,32,128,256,32,128,256,32,128,256
device,variable,num_features,,,,,,,,,
cpu,parallel,5,0.525,0.463,0.472,5.248,4.709,4.717,52.737,46.929,47.133
cpu,parallel,10,0.539,0.466,0.475,5.338,4.722,4.742,53.351,47.089,47.153
cpu,parallel,50,0.658,0.505,0.501,6.144,4.943,4.887,62.664,49.791,48.85
cpu,parallel,100,0.809,0.547,0.551,7.373,5.366,5.1,74.661,53.09,50.965
cpu,sequential,5,13.437,6.097,5.994,112.054,56.999,48.852,1097.599,564.428,483.278
cpu,sequential,10,13.36,6.115,6.01,111.84,57.094,49.015,1097.503,564.701,484.91
cpu,sequential,50,13.884,6.571,6.467,116.303,58.993,49.546,1134.955,583.468,491.269
cpu,sequential,100,14.283,6.671,6.592,120.297,59.259,50.371,1179.405,586.267,493.744
cpu,parallel/sequential,5,3.91,7.59,7.88,4.684,8.262,9.656,4.805,8.314,9.753
cpu,parallel/sequential,10,4.038,7.625,7.905,4.773,8.27,9.674,4.861,8.339,9.724
cpu,parallel/sequential,50,4.739,7.69,7.753,5.282,8.379,9.863,5.521,8.534,9.944
cpu,parallel/sequential,100,5.664,8.198,8.362,6.129,9.056,10.126,6.33,9.056,10.322
cuda,parallel,5,0.024,0.002,0.001,0.269,0.177,0.203,2.676,1.756,2.426
cuda,parallel,10,0.025,0.002,0.001,0.276,0.178,0.206,2.745,1.767,2.439
cuda,parallel,50,0.033,0.002,0.001,0.351,0.193,0.218,3.483,1.926,2.569
cuda,parallel,100,0.043,0.002,0.001,0.449,0.215,0.233,4.438,2.128,2.75
cuda,sequential,5,22.911,8.646,8.511,189.411,73.503,57.02,1857.653,722.915,566.592
cuda,sequential,10,22.983,8.619,8.515,188.966,73.462,56.941,1859.14,722.925,568.583
cuda,sequential,50,23.025,8.628,8.519,189.147,73.364,57.134,1858.07,719.359,567.847
cuda,sequential,100,22.993,8.581,8.503,189.015,72.849,57.129,1854.881,717.543,566.248
cuda,parallel/sequential,5,0.106,0.019,0.017,0.142,0.241,0.355,0.144,0.243,0.428
cuda,parallel/sequential,10,0.11,0.019,0.017,0.146,0.243,0.362,0.148,0.245,0.429
cuda,parallel/sequential,50,0.142,0.019,0.017,0.185,0.264,0.381,0.187,0.267,0.452
cuda,parallel/sequential,100,0.186,0.018,0.017,0.237,0.294,0.408,0.239,0.297,0.486
