,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
134,1416173,1516973,16065773,4011,False,0,0,12,0.000109,0.838235,0.468461,98,Sigmoid(),511,0.894958,0.768281,0.838235,0.658281,0.882353,0.742026,0.911765,0.804824,False,0.03781533333333339,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8882494910179819,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
156,1419339,1520139,16068939,4011,False,0,0,12,9.7e-05,0.852941,0.396723,91,Sigmoid(),511,0.882353,0.743542,0.852941,0.6729,0.875817,0.727773,0.911765,0.804824,False,0.01960800000000007,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8855046959927996,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
65,1426087,1526887,16075687,4311,False,3,3,12,9.1e-05,0.911765,0.366511,98,Sigmoid(),511,0.87395,0.722028,0.911765,0.812404,0.882353,0.742026,0.941176,0.871212,False,0.025210000000000028,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8954232570939499,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
436,1428547,1529347,16078147,4311,False,3,3,12,8.8e-05,0.852941,0.417863,83,Sigmoid(),511,0.857143,0.686677,0.852941,0.689426,0.856209,0.686582,0.911765,0.804824,False,0.002801333333333359,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8577555658967257,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
116,1435218,1536018,16084818,4211,False,2,2,12,0.000101,0.867647,0.399714,97,Sigmoid(),511,0.882353,0.743542,0.867647,0.705978,0.879085,0.734902,0.911765,0.804824,False,0.009804000000000071,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8832555512807513,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
147,1442460,1543260,16092060,4511,False,5,5,12,9e-05,0.852941,0.4087,90,Sigmoid(),511,0.886555,0.754598,0.852941,0.671397,0.879085,0.734902,0.941176,0.871212,False,0.022409333333333354,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8933768022277855,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
33,1444828,1545628,16094428,4111,False,1,1,12,9.8e-05,0.882353,0.402557,95,Sigmoid(),511,0.882353,0.741858,0.882353,0.742652,0.882353,0.742026,0.941176,0.871212,False,0.0,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8960206066124978,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
81,1450431,1551231,16100031,4711,False,7,7,12,9.9e-05,0.882353,0.372605,98,Sigmoid(),511,0.882353,0.741858,0.882353,0.751068,0.882353,0.743335,0.911765,0.804824,False,0.0,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8854981242944203,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
140,1456506,1557306,16106106,4311,False,3,3,12,0.000106,0.882353,0.394655,99,Sigmoid(),511,0.886555,0.751022,0.882353,0.742652,0.885621,0.749147,0.911765,0.804824,False,0.0028013333333332855,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8875193160597706,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
228,1464793,1565593,16114393,4611,False,6,6,12,9.3e-05,0.867647,0.39565,85,Sigmoid(),511,0.894958,0.769341,0.867647,0.710669,0.888889,0.756265,0.941176,0.871212,False,0.01820733333333339,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.885330236118351,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
139,1469073,1569873,16118673,4511,False,5,5,12,0.000109,0.882353,0.420317,98,Sigmoid(),511,0.865546,0.705122,0.882353,0.742652,0.872549,0.720639,0.911765,0.804824,False,0.011204666666666677,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8804946510830864,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
111,1474324,1575124,16123924,4511,False,5,5,12,0.000104,0.897059,0.358486,98,Sigmoid(),511,0.886555,0.749791,0.897059,0.781736,0.888889,0.756265,0.911765,0.804824,False,0.0070026666666667126,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8873465176227029,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
90,1478426,1579226,16128026,4511,False,5,5,12,0.000101,0.882353,0.382722,95,Sigmoid(),511,0.882353,0.741858,0.882353,0.742652,0.882353,0.742026,0.911765,0.804824,False,0.0,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8858624348430366,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
77,1486461,1587261,16136061,4311,False,3,3,12,9.7e-05,0.897059,0.386043,94,Sigmoid(),511,0.87395,0.72537,0.897059,0.771855,0.879085,0.734902,0.941176,0.871212,False,0.01540600000000003,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8914916218660198,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
