,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
7,1416078,1516878,16065678,3797,False,5,5,98,5.5e-05,0.926471,0.225688,92,GELU(approximate=False),497,0.978992,0.95392,0.926471,0.838462,0.96732,0.928231,0.970588,0.938679,False,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9716542729309307,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1420355,1521155,16069955,3869,False,6,6,70,5.9e-05,0.941176,0.208177,98,GELU(approximate=False),469,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.941176,0.871212,True,0.028011333333333315,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9840558311325125,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1423094,1523894,16072694,983,False,1,1,84,5.3e-05,0.970588,0.128571,95,ReLU(),183,0.97479,0.944855,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,True,0.004357333333333324,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9881836699385727,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1429830,1530630,16079430,2292,False,6,6,93,5e-05,0.955882,0.189977,76,LeakyReLU(negative_slope=0.01),292,0.970588,0.935441,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.009803999999999998,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9922752091624834,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1436571,1537371,16086171,1485,False,6,6,86,5.2e-05,0.955882,0.201199,91,ReLU(),185,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,True,0.018207333333333315,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9961823874132402,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1442975,1543775,16092575,1998,False,3,3,99,5.1e-05,0.941176,0.186411,98,LeakyReLU(negative_slope=0.01),298,0.978992,0.953997,0.941176,0.870603,0.973856,0.942668,0.941176,0.871212,True,0.02521066666666664,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9840323164731294,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1448449,1549249,16098049,3788,False,5,5,89,5.5e-05,0.941176,0.219646,85,GELU(approximate=False),488,0.97479,0.944855,0.941176,0.874007,0.96732,0.928801,0.970588,0.938679,True,0.022409333333333354,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9870562828175942,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1452977,1553777,16102577,3775,False,5,5,76,5.9e-05,0.955882,0.208471,90,GELU(approximate=False),475,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,True,0.018207333333333315,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9843474604506807,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1457149,1557949,16106749,3391,False,1,1,92,5.8e-05,0.970588,0.206916,98,GELU(approximate=False),491,0.97479,0.944855,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,True,0.004357333333333324,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9885853492146559,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,1464381,1565181,16113981,2090,False,4,4,91,5.2e-05,0.955882,0.154756,96,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.905068,0.973856,0.942668,0.970588,0.938679,True,0.015406666666666643,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9857841760189416,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
