,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
82,1416770,1517570,16066370,2821,False,4,4,22,3.7e-05,0.926471,0.510413,11,SELU(),321,0.827731,0.626107,0.926471,0.838462,0.849673,0.670875,0.823529,0.660044,False,0.0658266666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8249746249200787,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
147,1421697,1522497,16071297,2821,False,4,4,22,3.9e-05,0.926471,0.349559,23,SELU(),321,0.861345,0.691822,0.926471,0.838462,0.875817,0.724857,0.911765,0.812032,False,0.04341733333333334,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8194431145805054,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
51,1427487,1528287,16077087,2721,False,3,3,22,3.7e-05,0.911765,0.441458,12,SELU(),321,0.852941,0.671818,0.911765,0.804824,0.869281,0.709147,0.882353,0.757681,False,0.03921600000000006,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8310671084181097,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
214,1432027,1532827,16081627,2721,False,3,3,22,3.9e-05,0.897059,0.364389,26,SELU(),321,0.861345,0.691346,0.897059,0.771855,0.872549,0.716394,0.823529,0.632627,False,0.02380933333333335,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8100475359818031,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
166,1435733,1536533,16085333,2821,False,4,4,22,4.2e-05,0.897059,0.376633,24,SELU(),321,0.878151,0.731325,0.897059,0.774559,0.882353,0.739268,0.882353,0.757681,False,0.012605333333333357,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8193331685323447,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
234,1441441,1542241,16091041,2721,False,3,3,22,4.3e-05,0.897059,0.327173,29,SELU(),321,0.87395,0.719637,0.897059,0.771855,0.879085,0.731289,0.941176,0.871212,False,0.01540600000000003,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8048642937564143,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
85,1449403,1550203,16099003,2521,False,1,1,22,4e-05,0.897059,0.503964,5,SELU(),321,0.844538,0.652751,0.897059,0.771855,0.859477,0.686409,0.852941,0.685385,True,0.035014000000000024,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8371911686001012,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
55,1454765,1555565,16104365,2721,False,3,3,22,3.6e-05,0.926471,0.384776,17,SELU(),321,0.869748,0.710691,0.926471,0.84314,0.882353,0.74007,0.941176,0.871212,False,0.03781533333333339,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8346611339746242,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
81,1457482,1558282,16107082,2521,False,1,1,22,4.1e-05,0.882353,0.417951,19,SELU(),321,0.87395,0.724026,0.882353,0.738934,0.872549,0.718462,0.852941,0.707257,False,0.0065360000000000236,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8201756070291965,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
126,1462316,1563116,16111916,2821,False,4,4,22,4.2e-05,0.897059,0.37627,25,SELU(),321,0.890756,0.75807,0.897059,0.774559,0.892157,0.760767,0.882353,0.757681,False,0.004202000000000039,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8217496742446414,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
45,1471337,1572137,16120937,2921,False,5,5,22,3.7e-05,0.911765,0.411688,15,SELU(),321,0.865546,0.701262,0.911765,0.80647,0.879085,0.732846,0.882353,0.742424,False,0.030812666666666672,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8344862580883493,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
196,1473643,1574443,16123243,3021,False,6,6,22,4.2e-05,0.897059,0.37144,32,SELU(),321,0.890756,0.759036,0.897059,0.774559,0.895425,0.770496,0.882353,0.742424,False,0.004202000000000039,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.7988924308036071,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
172,1479589,1580389,16129189,2621,False,2,2,22,3.9e-05,0.867647,0.493076,10,SELU(),321,0.84874,0.661748,0.867647,0.705978,0.852941,0.671386,0.852941,0.685385,False,0.012604666666666597,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.825392221854086,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
107,1484857,1585657,16134457,2921,False,5,5,22,4.1e-05,0.882353,0.421941,19,SELU(),321,0.87395,0.722028,0.882353,0.739045,0.875817,0.724857,0.852941,0.685385,False,0.005602000000000033,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8222333181051021,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
41,1494008,1594808,16143608,2721,False,3,3,22,4.1e-05,0.926471,0.384537,18,SELU(),321,0.878151,0.729018,0.926471,0.837919,0.888889,0.75336,0.941176,0.871212,False,0.03221333333333335,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8364821090138987,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
130,1499987,1600787,16149587,2821,False,4,4,22,4e-05,0.911765,0.395748,15,SELU(),321,0.852941,0.672089,0.911765,0.804824,0.866013,0.701813,0.882353,0.742424,False,0.03921600000000006,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.8275878113687126,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
27,1506060,1606860,16155660,3121,False,7,7,22,3.7e-05,0.941176,0.398732,11,SELU(),321,0.852941,0.672089,0.941176,0.870603,0.875817,0.724296,0.911765,0.804824,True,0.05882333333333337,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.8372493512046472,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
140,1507369,1608169,16156969,2521,False,1,1,22,4.4e-05,0.882353,0.413083,30,SELU(),321,0.903361,0.786374,0.882353,0.742652,0.898693,0.775464,0.911765,0.812032,False,0.014005333333333278,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8128736552923261,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
30,1513342,1614142,16162942,2523,False,1,1,24,4e-05,0.789474,0.501223,10,SELU(),323,0.776316,0.492983,0.789474,0.51241,0.782164,0.502903,0.789474,0.511593,True,0.008772000000000002,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.8414458494593126,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
57,1520879,1621679,16170479,3023,False,6,6,24,4e-05,0.802632,0.481017,16,SELU(),323,0.776316,0.479141,0.802632,0.551297,0.785088,0.502373,0.723684,0.345044,False,0.017544000000000004,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.8646664683396551,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
14,1525579,1626379,16175179,2623,False,2,2,24,4.1e-05,0.815789,0.449541,27,SELU(),323,0.785714,0.505367,0.815789,0.579365,0.792398,0.521572,0.776316,0.480384,True,0.020049999999999974,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.7928331101476662,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
82,1533602,1634402,16183202,2723,False,3,3,24,4.5e-05,0.828947,0.510061,6,SELU(),323,0.734962,0.4059,0.828947,0.62,0.758772,0.45728,0.697368,0.309807,True,0.06265666666666665,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.850468273531911,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
105,1539733,1640533,16189333,2423,False,0,0,24,4.2e-05,0.828947,0.463519,17,SELU(),323,0.763158,0.463587,0.828947,0.608802,0.777778,0.493898,0.776316,0.484757,False,0.04385933333333333,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.8579589267958768,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
131,1542670,1643470,16192270,2823,False,4,4,24,4.2e-05,0.763158,0.481064,20,SELU(),323,0.781955,0.495824,0.763158,0.444879,0.782164,0.495311,0.763158,0.446356,False,0.012670666666666644,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.7791716326780467,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
135,1549520,1650320,16199120,2423,False,0,0,24,4.2e-05,0.802632,0.460022,18,SELU(),323,0.766917,0.463922,0.802632,0.548788,0.774854,0.482883,0.789474,0.511593,False,0.023810000000000036,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.8502093518166988,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
113,1555101,1655901,16204701,2823,False,4,4,24,4.2e-05,0.828947,0.434985,23,SELU(),323,0.766917,0.459833,0.828947,0.608297,0.780702,0.492825,0.75,0.416333,False,0.04135333333333335,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.8378695345076803,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
28,1562388,1663188,16211988,2923,False,5,5,24,4.3e-05,0.842105,0.480336,10,SELU(),323,0.753759,0.435759,0.842105,0.649231,0.777778,0.494665,0.776316,0.478617,True,0.05889733333333336,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.8686235408628332,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
27,1566557,1667357,16216157,3123,False,7,7,24,4e-05,0.809211,0.496949,10,SELU(),323,0.776316,0.485534,0.809211,0.565171,0.782164,0.500902,0.736842,0.381119,True,0.021930000000000005,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.8720239440577898,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
30,1570083,1670883,16219683,2623,False,2,2,24,4.9e-05,0.776316,0.518271,12,SELU(),323,0.791353,0.517308,0.776316,0.482328,0.788012,0.50977,0.75,0.4116,True,0.010024666666666645,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.8641947157597488,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
69,1574471,1675271,16224071,2523,False,1,1,24,4.6e-05,0.763158,0.545998,11,SELU(),323,0.770677,0.474528,0.763158,0.478859,0.767544,0.47164,0.776316,0.480384,False,0.005012666666666628,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.8542032535098759,Global,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
