,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
1416450,1517250,16066050,899,False,0,0,100,4.8e-05,0.911765,0.234219,76,ReLU(),199,0.97479,0.944667,0.911765,0.80647,0.960784,0.913908,0.970588,0.938679,False,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1421967,1522767,16071567,999,False,1,1,100,4.9e-05,0.911765,0.213642,79,ReLU(),199,0.983193,0.963168,0.911765,0.80647,0.96732,0.928414,0.941176,0.871212,False,0.04761866666666662,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1427475,1528275,16077075,899,False,0,0,100,5e-05,0.926471,0.239917,95,ReLU(),199,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1432904,1533704,16082504,1099,False,2,2,100,4.6e-05,0.911765,0.263115,69,ReLU(),199,0.962185,0.91707,0.911765,0.812404,0.95098,0.893037,0.941176,0.871212,False,0.03361333333333327,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1436591,1537391,16086191,1499,False,6,6,100,5.1e-05,0.955882,0.171321,97,ReLU(),199,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,False,0.018207333333333315,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1444155,1544955,16093755,999,False,1,1,100,5.1e-05,0.926471,0.187614,93,ReLU(),199,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.970588,0.938679,False,0.03781466666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1450252,1551052,16099852,1399,False,5,5,100,5.1e-05,0.897059,0.24291,85,ReLU(),199,0.983193,0.963168,0.897059,0.771855,0.964052,0.921062,0.970588,0.938679,False,0.05742266666666662,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1454057,1554857,16103657,1399,False,5,5,100,5.2e-05,0.941176,0.188719,99,ReLU(),199,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,True,0.028011333333333315,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1461224,1562024,16110824,1399,False,5,5,100,4.7e-05,0.926471,0.197729,79,ReLU(),199,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.941176,0.871212,False,0.03781466666666663,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1467113,1567913,16116713,1199,False,3,3,100,5.1e-05,0.911765,0.299136,96,ReLU(),199,0.983193,0.963168,0.911765,0.80647,0.96732,0.928414,0.941176,0.871212,False,0.04761866666666662,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
