,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1415850,1516650,16065450,113,False,1,1,14,3.7e-05,0.897059,0.54356,6,Identity(),13,0.84874,0.676692,0.897059,0.774559,0.862745,0.702703,0.911765,0.804824,True,0.03221266666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8687038327163829,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1418887,1519687,16068487,3215,False,0,0,16,3.9e-05,0.926471,0.575139,8,GELU(approximate=False),415,0.907563,0.797619,0.926471,0.837919,0.931373,0.848705,0.941176,0.882735,True,0.015873333333333333,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9054279091285089,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1425914,1526714,16075514,1915,False,3,3,16,3.8e-05,0.926471,0.543199,10,LeakyReLU(negative_slope=0.01),215,0.890756,0.763574,0.926471,0.84314,0.898693,0.781403,0.941176,0.871212,True,0.023810000000000036,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8795197861097056,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1432242,1533042,16081842,1010,False,2,2,11,4.3e-05,0.926471,0.564003,9,ReLU(),110,0.886555,0.751022,0.926471,0.84314,0.898693,0.778649,0.970588,0.938679,True,0.02661066666666671,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9117257677889075,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1439122,1539922,16088722,813,False,0,0,14,3.6e-05,0.926471,0.608212,4,ReLU(),113,0.84874,0.683161,0.926471,0.840953,0.875817,0.735526,0.970588,0.938679,True,0.05182066666666666,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8929257050987478,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1443223,1544023,16092823,1806,False,2,2,7,4.4e-05,0.911765,0.581601,10,LeakyReLU(negative_slope=0.01),206,0.869748,0.714084,0.911765,0.804824,0.885621,0.747405,0.911765,0.812032,True,0.028011333333333388,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8966221643142,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1448952,1549752,16098552,2110,False,5,5,11,4.1e-05,0.926471,0.570545,9,LeakyReLU(negative_slope=0.01),210,0.882353,0.740542,0.926471,0.84314,0.892157,0.763381,0.941176,0.871212,True,0.029411999999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8952214047347586,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1454930,1555730,16104530,1103,False,3,3,4,5.3e-05,0.926471,0.57326,14,ReLU(),103,0.865546,0.701262,0.926471,0.84314,0.879085,0.732846,0.941176,0.871212,True,0.04061666666666667,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.885400460864834,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1460069,1560869,16109669,1703,False,1,1,4,4.7e-05,0.911765,0.576075,8,LeakyReLU(negative_slope=0.01),203,0.878151,0.729197,0.911765,0.80647,0.885621,0.745954,0.911765,0.812032,True,0.022409333333333354,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8922496679040965,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1464567,1565367,16114167,1913,False,3,3,14,4.1e-05,0.911765,0.556478,12,LeakyReLU(negative_slope=0.01),213,0.886555,0.752617,0.911765,0.812404,0.892157,0.765903,0.941176,0.871212,True,0.01680666666666671,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8872185268803591,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
