,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1413099,1513899,16062699,1417,False,6,6,18,4.1e-05,0.926471,0.545019,9,ReLU(),117,0.911765,0.814074,0.926471,0.837919,0.921569,0.831171,0.882353,0.783349,True,0.009803999999999998,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8920916257041529,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1418887,1519687,16068487,3215,False,0,0,16,3.9e-05,0.926471,0.575139,8,GELU(approximate=False),415,0.907563,0.797619,0.926471,0.837919,0.931373,0.848705,0.941176,0.882735,True,0.015873333333333333,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8970762641033811,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1425914,1526714,16075514,1915,False,3,3,16,3.8e-05,0.926471,0.543199,10,LeakyReLU(negative_slope=0.01),215,0.890756,0.763574,0.926471,0.84314,0.898693,0.781403,0.941176,0.871212,True,0.023810000000000036,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.87532656329872,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1429509,1530309,16079109,2209,False,6,6,10,4.1e-05,0.911765,0.592122,7,LeakyReLU(negative_slope=0.01),209,0.89916,0.778499,0.911765,0.804824,0.908497,0.798305,0.911765,0.804824,True,0.008403333333333393,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.905386873581079,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1436209,1537009,16085809,2010,False,4,4,11,4.9e-05,0.911765,0.468652,18,LeakyReLU(negative_slope=0.01),210,0.886555,0.748903,0.911765,0.812404,0.892157,0.762452,0.941176,0.871212,True,0.01680666666666671,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8649467056820102,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1443792,1544592,16093392,1011,False,2,2,12,4e-05,0.941176,0.507444,15,ReLU(),111,0.890756,0.757744,0.941176,0.870603,0.908497,0.798305,0.794118,0.558738,True,0.03361333333333335,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8827901183348829,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1448952,1549752,16098552,2110,False,5,5,11,4.1e-05,0.926471,0.570545,9,LeakyReLU(negative_slope=0.01),210,0.882353,0.740542,0.926471,0.84314,0.892157,0.763381,0.941176,0.871212,True,0.029411999999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8882970007660198,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1450908,1551708,16100508,912,False,1,1,13,4.1e-05,0.897059,0.510423,11,ReLU(),112,0.903361,0.78889,0.897059,0.774559,0.898693,0.777612,0.911765,0.812032,True,0.004201333333333279,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8766864887285994,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1457221,1558021,16106821,1106,False,3,3,7,4.5e-05,0.911765,0.555377,14,ReLU(),106,0.903361,0.787659,0.911765,0.80647,0.905229,0.791846,0.882353,0.742424,True,0.005602666666666718,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8877349191394253,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1463387,1564187,16112987,3608,False,4,4,9,5e-05,0.926471,0.483485,21,GELU(approximate=False),408,0.911765,0.8049,0.926471,0.838462,0.915033,0.812311,0.970588,0.938679,True,0.009803999999999998,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8762563772342121,Individual,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
