,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1413099,1513899,16062699,1417,False,6,6,18,4.1e-05,0.926471,0.545019,9,ReLU(),117,0.911765,0.814074,0.926471,0.837919,0.921569,0.831171,0.882353,0.783349,True,0.009803999999999998,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8773038158716102,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1418887,1519687,16068487,3215,False,0,0,16,3.9e-05,0.926471,0.575139,8,GELU(approximate=False),415,0.907563,0.797619,0.926471,0.837919,0.931373,0.848705,0.941176,0.882735,True,0.015873333333333333,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9041876614676885,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1425914,1526714,16075514,1915,False,3,3,16,3.8e-05,0.926471,0.543199,10,LeakyReLU(negative_slope=0.01),215,0.890756,0.763574,0.926471,0.84314,0.898693,0.781403,0.941176,0.871212,True,0.023810000000000036,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8803425148412072,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1429509,1530309,16079109,2209,False,6,6,10,4.1e-05,0.911765,0.592122,7,LeakyReLU(negative_slope=0.01),209,0.89916,0.778499,0.911765,0.804824,0.908497,0.798305,0.911765,0.804824,True,0.008403333333333393,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9052830344646079,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1439122,1539922,16088722,813,False,0,0,14,3.6e-05,0.926471,0.608212,4,ReLU(),113,0.84874,0.683161,0.926471,0.840953,0.875817,0.735526,0.970588,0.938679,True,0.05182066666666666,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.875342658833525,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1439445,1540245,16089045,2708,False,3,3,9,4.7e-05,0.897059,0.444545,15,SELU(),308,0.894958,0.769341,0.897059,0.771855,0.898693,0.776788,0.941176,0.871212,True,0.0024899999999999554,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8873652441040311,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1448952,1549752,16098552,2110,False,5,5,11,4.1e-05,0.926471,0.570545,9,LeakyReLU(negative_slope=0.01),210,0.882353,0.740542,0.926471,0.84314,0.892157,0.763381,0.941176,0.871212,True,0.029411999999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8914581301114264,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1454849,1555649,16104449,3212,False,0,0,13,4.3e-05,0.941176,0.56564,13,GELU(approximate=False),412,0.882353,0.747642,0.941176,0.870603,0.895425,0.773266,0.941176,0.882735,True,0.0392153333333333,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8791535420879928,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1461417,1562217,16111017,2116,False,5,5,17,3.7e-05,0.955882,0.55916,9,LeakyReLU(negative_slope=0.01),216,0.890756,0.758731,0.955882,0.902963,0.905229,0.790428,0.941176,0.882735,True,0.04341733333333334,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8859692361916139,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1463387,1564187,16112987,3608,False,4,4,9,5e-05,0.926471,0.483485,21,GELU(approximate=False),408,0.911765,0.8049,0.926471,0.838462,0.915033,0.812311,0.970588,0.938679,True,0.009803999999999998,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8880229760262712,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1468097,1568897,16117697,3911,False,7,7,12,4.1e-05,0.882353,0.556764,10,GELU(approximate=False),411,0.882353,0.743542,0.882353,0.742652,0.888889,0.758898,0.941176,0.871212,True,0.004357333333333324,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8721975812447798,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1475034,1575834,16124634,3808,False,6,6,9,5.2e-05,0.911765,0.479286,16,GELU(approximate=False),408,0.894958,0.767557,0.911765,0.80647,0.901961,0.783391,0.911765,0.812032,True,0.011204666666666677,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8712634874772651,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1479151,1579951,16128751,2214,False,6,6,15,4.2e-05,0.911765,0.546185,12,LeakyReLU(negative_slope=0.01),214,0.89916,0.781517,0.911765,0.806818,0.901961,0.784728,0.941176,0.871212,True,0.008403333333333393,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.88717454265989,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1487936,1588736,16137536,2811,False,4,4,12,4.2e-05,0.926471,0.416809,9,SELU(),311,0.882353,0.743542,0.926471,0.838462,0.892157,0.764528,0.911765,0.804824,True,0.029411999999999994,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8791085540260972,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1490189,1590989,16139789,2109,False,5,5,10,4.7e-05,0.897059,0.589203,12,LeakyReLU(negative_slope=0.01),209,0.903361,0.78889,0.897059,0.781736,0.901961,0.786912,0.941176,0.874007,True,0.004201333333333279,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.884627969220393,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1496203,1597003,16145803,1406,False,6,6,7,4.9e-05,0.897059,0.537473,17,ReLU(),106,0.882353,0.745619,0.897059,0.781736,0.882353,0.744881,0.941176,0.882735,True,0.009803999999999998,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.8701828096354308,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1503235,1604035,16152835,1809,False,2,2,10,4.3e-05,0.882353,0.576559,17,LeakyReLU(negative_slope=0.01),209,0.911765,0.805284,0.882353,0.738934,0.898693,0.775747,0.911765,0.812032,True,0.019607999999999997,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.8624150160379398,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1507128,1607928,16156728,2212,False,6,6,13,4.1e-05,0.882353,0.575413,11,LeakyReLU(negative_slope=0.01),212,0.89916,0.777526,0.882353,0.738934,0.895425,0.76895,0.911765,0.804824,True,0.011204666666666604,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.882063273512985,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1514791,1615591,16164391,113,False,1,1,14,4.6e-05,0.802632,0.505318,14,Identity(),13,0.778196,0.499979,0.802632,0.545312,0.782164,0.50509,0.789474,0.51382,True,0.016290666666666676,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.8679377468818422,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1517876,1618676,16167476,313,False,3,3,14,4.6e-05,0.769737,0.584785,6,Identity(),13,0.766917,0.463036,0.769737,0.47404,0.770468,0.470974,0.763158,0.446356,True,0.002367333333333388,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.8879241238978913,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,1527429,1628229,16177029,5117,False,3,3,18,4.2e-05,0.822368,0.484678,19,Tanh(),617,0.766917,0.466774,0.822368,0.592425,0.782164,0.500278,0.789474,0.51382,True,0.03696733333333335,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.7984690923401022,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
