,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
45,1413324,1514124,16062924,3615,False,4,4,16,7.9e-05,0.911765,0.284566,83,GELU(approximate=False),415,0.928571,0.842751,0.911765,0.812404,0.924837,0.835219,0.970588,0.938679,False,0.011203999999999992,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8989677388358185,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
150,1418673,1519473,16068273,2020,False,4,4,21,6.3e-05,0.911765,0.262894,77,LeakyReLU(negative_slope=0.01),220,0.932773,0.85254,0.911765,0.80647,0.928105,0.842313,0.911765,0.804824,False,0.014005333333333278,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8791276584659539,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
238,1423411,1524211,16073011,1922,False,3,3,23,7.3e-05,0.926471,0.261696,95,LeakyReLU(negative_slope=0.01),222,0.936975,0.861217,0.926471,0.84314,0.934641,0.855904,0.970588,0.938679,False,0.007002666666666639,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8738756796489534,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
46,1428747,1529547,16078347,3517,False,3,3,18,8.5e-05,0.926471,0.259232,95,GELU(approximate=False),417,0.932773,0.85254,0.926471,0.84314,0.931373,0.850086,0.911765,0.804824,False,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8996835483781122,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
367,1433985,1534785,16083585,3925,False,7,7,26,7.3e-05,0.941176,0.261578,87,GELU(approximate=False),425,0.945378,0.879773,0.941176,0.874007,0.944444,0.877683,0.941176,0.871212,False,0.002801333333333359,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8713658733777427,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
44,1443239,1544039,16092839,3819,False,6,6,20,8.1e-05,0.911765,0.235835,99,GELU(approximate=False),419,0.953781,0.898794,0.911765,0.806818,0.944444,0.877683,0.970588,0.938679,True,0.028010666666666628,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8933777063832287,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
1,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9256081576864322,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
72,1452189,1552989,16101789,1512,False,7,7,13,8.7e-05,0.897059,0.239167,96,ReLU(),112,0.915966,0.815156,0.897059,0.774559,0.911765,0.804971,0.941176,0.871212,False,0.012604666666666597,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8839929621053927,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
30,1457238,1558038,16106838,3617,False,4,4,18,7.8e-05,0.941176,0.22204,88,GELU(approximate=False),417,0.932773,0.851727,0.941176,0.870603,0.937908,0.863141,0.941176,0.871212,False,0.005602000000000033,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8975153510032139,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9422080112043624,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
25,1467716,1568516,16117316,3812,False,6,6,13,9.9e-05,0.911765,0.251929,99,GELU(approximate=False),412,0.915966,0.814254,0.911765,0.804824,0.915033,0.812146,0.911765,0.812032,False,0.0028006666666665994,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8924346115645572,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
90,1477160,1577960,16126760,1219,False,4,4,20,7.1e-05,0.955882,0.217101,78,ReLU(),119,0.920168,0.824105,0.955882,0.902963,0.931373,0.848991,0.911765,0.812032,False,0.02380933333333335,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8843521548969687,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
528,1483142,1583942,16132742,3425,False,2,2,26,7.1e-05,0.867647,0.35205,99,GELU(approximate=False),425,0.94958,0.889018,0.867647,0.705248,0.931373,0.848598,0.970588,0.938679,False,0.054622000000000025,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8562454179555485,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
6,1484651,1585451,16134251,3414,False,2,2,15,8.4e-05,0.926471,0.237753,95,GELU(approximate=False),414,0.932773,0.851727,0.926471,0.838462,0.931373,0.848677,0.970588,0.938679,True,0.004201333333333279,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.904460940580766,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
55,1493006,1593806,16142606,3219,False,0,0,20,8.4e-05,0.911765,0.237494,99,GELU(approximate=False),419,0.945378,0.88,0.911765,0.804824,0.937908,0.863295,0.941176,0.871212,True,0.02240866666666667,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8834419070002718,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
18,1496822,1597622,16146422,2214,False,6,6,15,8.3e-05,0.911765,0.275871,87,LeakyReLU(negative_slope=0.01),214,0.932773,0.851971,0.911765,0.80647,0.931373,0.849414,0.941176,0.871212,False,0.014005333333333278,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9018470490449619,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
2,1501299,1602099,16150899,3611,False,4,4,12,7.8e-05,0.926471,0.277474,79,GELU(approximate=False),411,0.920168,0.823826,0.926471,0.84314,0.921569,0.827489,0.911765,0.804824,True,0.004202000000000039,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.8982884602935555,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
133,1507247,1608047,16156847,3623,False,4,4,24,7.5e-05,0.926471,0.276206,92,GELU(approximate=False),423,0.945378,0.879728,0.926471,0.84314,0.941176,0.870772,0.970588,0.938679,True,0.012604666666666672,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8790197604379414,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
26,1517573,1618373,16167173,2807,False,4,4,8,6.1e-05,0.848684,0.413131,94,SELU(),307,0.761278,0.446737,0.848684,0.655928,0.780702,0.492825,0.776316,0.480384,True,0.05827066666666666,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.8953850451251314,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
38,1520116,1620916,16169716,208,False,2,2,9,6.5e-05,0.802632,0.45301,64,Identity(),8,0.781955,0.494322,0.802632,0.546779,0.78655,0.506075,0.763158,0.446356,False,0.013784666666666704,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.930383829888485,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
16,1526502,1627302,16176102,3710,False,5,5,11,7.6e-05,0.822368,0.444658,71,GELU(approximate=False),410,0.781955,0.497035,0.822368,0.597738,0.790936,0.519704,0.789474,0.51821,False,0.02694200000000002,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.8463463942577615,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
7,1534341,1635141,16183941,1709,False,1,1,10,8e-05,0.888158,0.380035,91,LeakyReLU(negative_slope=0.01),209,0.761278,0.446737,0.888158,0.747432,0.789474,0.515062,0.75,0.422734,False,0.08458666666666666,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9245473138254836,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
25,1538249,1639049,16187849,2908,False,5,5,9,6.1e-05,0.815789,0.439432,84,SELU(),308,0.780075,0.492249,0.815789,0.579365,0.788012,0.511834,0.763158,0.450836,False,0.02380933333333335,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.9281521551413369,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
12,1542182,1642982,16191782,816,False,0,0,17,6.4e-05,0.782895,0.497145,79,ReLU(),116,0.798872,0.539716,0.782895,0.494811,0.796784,0.532997,0.763158,0.450836,True,0.010651333333333346,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.8506701100791968,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
