,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
1416542,1517342,16066142,1894,False,2,2,95,5.1e-05,0.911765,0.198901,84,LeakyReLU(negative_slope=0.01),294,0.978992,0.953997,0.911765,0.812404,0.964052,0.921765,0.970588,0.938679,False,0.04481799999999995,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1421398,1522198,16070998,3391,False,1,1,92,5.5e-05,0.926471,0.221728,94,GELU(approximate=False),491,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1426549,1527349,16076149,1386,False,5,5,87,5.2e-05,0.941176,0.241371,99,ReLU(),186,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,False,0.028011333333333315,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1433481,1534281,16083081,1690,False,0,0,91,4.6e-05,0.897059,0.270344,59,LeakyReLU(negative_slope=0.01),290,0.970588,0.935441,0.897059,0.774559,0.954248,0.899642,0.970588,0.938679,False,0.049019333333333304,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1437511,1538311,16087111,1581,False,7,7,82,5.4e-05,0.941176,0.239906,94,ReLU(),181,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,False,0.02521066666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1444155,1544955,16093755,999,False,1,1,100,5.1e-05,0.926471,0.187614,93,ReLU(),199,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.970588,0.938679,False,0.03781466666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1450199,1550999,16099799,3888,False,6,6,89,5.3e-05,0.897059,0.298611,75,GELU(approximate=False),488,0.978992,0.953997,0.897059,0.781736,0.960784,0.914742,0.941176,0.871212,False,0.05462199999999995,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1455529,1556329,16105129,1794,False,1,1,95,4.9e-05,0.911765,0.234808,70,LeakyReLU(negative_slope=0.01),294,0.987395,0.972369,0.911765,0.80647,0.970588,0.935533,0.970588,0.938679,False,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1460149,1560949,16109749,968,False,1,1,69,5.6e-05,0.941176,0.213407,99,ReLU(),168,0.97479,0.944855,0.941176,0.871212,0.96732,0.928231,0.970588,0.938679,False,0.022409333333333354,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1466688,1567488,16116288,1984,False,3,3,85,5.2e-05,0.926471,0.30087,95,LeakyReLU(negative_slope=0.01),284,0.978992,0.95392,0.926471,0.84314,0.96732,0.928414,0.970588,0.938679,False,0.035013999999999955,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1472675,1573475,16122275,1089,False,2,2,90,5.2e-05,0.897059,0.307105,97,ReLU(),189,0.983193,0.963168,0.897059,0.781736,0.964052,0.921765,0.970588,0.938679,False,0.05742266666666662,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1477787,1578587,16127387,2268,False,6,6,69,5.6e-05,0.926471,0.172782,98,LeakyReLU(negative_slope=0.01),268,0.97479,0.944667,0.926471,0.837919,0.964052,0.921011,0.970588,0.938679,False,0.03221266666666667,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1482721,1583521,16132321,1698,False,0,0,99,5e-05,0.911765,0.297633,81,LeakyReLU(negative_slope=0.01),298,0.983193,0.963168,0.911765,0.80647,0.96732,0.928414,0.970588,0.938679,False,0.04761866666666662,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1489464,1590264,16139064,1697,False,0,0,98,5e-05,0.882353,0.259734,98,LeakyReLU(negative_slope=0.01),297,0.983193,0.963168,0.882353,0.748709,0.960784,0.914141,0.970588,0.938679,False,0.06722666666666662,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1495005,1595805,16144605,2198,False,5,5,99,5e-05,0.911765,0.245699,91,LeakyReLU(negative_slope=0.01),298,0.987395,0.972369,0.911765,0.80647,0.970588,0.935533,0.941176,0.871212,False,0.050419999999999986,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1497593,1598393,16147193,2189,False,5,5,90,5e-05,0.941176,0.179241,92,LeakyReLU(negative_slope=0.01),289,0.970588,0.935441,0.941176,0.870603,0.964052,0.921062,0.970588,0.938679,False,0.019607999999999997,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1504339,1605139,16153939,3884,False,6,6,85,5.6e-05,0.941176,0.221459,80,GELU(approximate=False),484,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,False,0.028011333333333315,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1511303,1612103,16160903,1898,False,2,2,99,5e-05,0.911765,0.237923,88,LeakyReLU(negative_slope=0.01),298,0.983193,0.963203,0.911765,0.804824,0.96732,0.928245,0.970588,0.938679,False,0.04761866666666662,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
