,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1416742,1517542,16066342,2196,False,5,5,97,5e-05,0.897059,0.259114,96,LeakyReLU(negative_slope=0.01),296,0.983193,0.963168,0.897059,0.774559,0.964052,0.921311,0.970588,0.938679,False,0.05742266666666662,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.5881767267383043,Train
1422127,1522927,16071727,2199,False,5,5,100,5.3e-05,0.911765,0.278352,98,LeakyReLU(negative_slope=0.01),299,0.991597,0.981602,0.911765,0.812404,0.973856,0.942921,0.970588,0.938679,False,0.053221333333333266,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.5845480836166143,Train
1426846,1527646,16076446,885,False,0,0,86,5.1e-05,0.941176,0.235708,89,ReLU(),185,0.987395,0.972369,0.941176,0.874007,0.977124,0.950004,0.970588,0.938679,False,0.030812666666666672,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.6093042354486968,Train
1433403,1534203,16083003,3269,False,0,0,70,6.1e-05,0.911765,0.316001,98,GELU(approximate=False),469,0.978992,0.95392,0.911765,0.812404,0.96732,0.928801,0.970588,0.938679,True,0.04481799999999995,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.673161083620799,Train
1438826,1539626,16088426,3482,False,2,2,83,5.9e-05,0.926471,0.261003,99,GELU(approximate=False),482,0.987395,0.972553,0.926471,0.838462,0.973856,0.942921,0.941176,0.871212,False,0.040615999999999985,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.6317408642529952,Train
1444299,1545099,16093899,1788,False,1,1,89,5.2e-05,0.926471,0.175049,98,LeakyReLU(negative_slope=0.01),288,0.987395,0.972553,0.926471,0.838462,0.973856,0.942921,0.941176,0.871212,True,0.040615999999999985,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.6135714464321801,Train
1450099,1550899,16099699,984,False,1,1,85,5.4e-05,0.911765,0.274363,99,ReLU(),184,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,0.970588,0.938679,True,0.050419999999999986,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.6257348646557778,Train
1455944,1556744,16105544,973,False,1,1,74,5.7e-05,0.882353,0.292834,97,ReLU(),173,0.991597,0.98167,0.882353,0.738934,0.96732,0.928414,0.970588,0.938679,False,0.07282933333333326,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.6570294493191827,Train
1460838,1561638,16110438,2170,False,5,5,71,5.6e-05,0.941176,0.184622,98,LeakyReLU(negative_slope=0.01),270,0.987395,0.972369,0.941176,0.874007,0.977124,0.950004,0.941176,0.871212,True,0.030812666666666672,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.6702374027127823,Train
1467109,1567909,16116709,979,False,1,1,80,5.3e-05,0.911765,0.223033,90,ReLU(),179,0.983193,0.963203,0.911765,0.80647,0.96732,0.928231,0.970588,0.938679,False,0.04761866666666662,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.6284877719024075,Train
1472721,1573521,16122321,1872,False,2,2,73,5.3e-05,0.897059,0.287165,90,LeakyReLU(negative_slope=0.01),272,0.987395,0.972369,0.897059,0.781736,0.96732,0.928801,0.970588,0.938679,False,0.06022399999999998,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.6509801086358548,Train
1478051,1578851,16127651,1364,False,5,5,65,5.7e-05,0.926471,0.16999,97,ReLU(),164,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.941176,0.871212,True,0.03781466666666663,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.6889784852133483,Train
1483402,1584202,16133002,1595,False,7,7,96,5.4e-05,0.897059,0.318119,90,ReLU(),195,0.987395,0.972518,0.897059,0.771855,0.96732,0.928245,0.970588,0.938679,False,0.06022399999999998,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.5830965514859288,Train
