,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
55,1413866,1514666,16063466,3197,False,7,7,98,3.5e-05,0.911765,0.326038,15,SELU(),397,0.890756,0.757565,0.911765,0.812404,0.895425,0.768478,0.941176,0.871212,False,0.014006000000000038,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8764824997270695,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
144,1420973,1521773,16070573,2897,False,4,4,98,3.6e-05,0.911765,0.368344,9,SELU(),397,0.861345,0.690688,0.911765,0.80647,0.875817,0.723925,0.911765,0.812032,False,0.03361333333333335,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8818422107188929,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
23,1426222,1527022,16075822,2797,False,3,3,98,3.5e-05,0.911765,0.357701,10,SELU(),397,0.87395,0.719463,0.911765,0.812404,0.888889,0.753564,0.941176,0.871212,False,0.025210000000000028,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8852372929423807,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
17,1431876,1532676,16081476,2797,False,3,3,98,3.5e-05,0.911765,0.343972,9,SELU(),397,0.878151,0.732687,0.911765,0.80647,0.895425,0.770496,0.911765,0.804824,False,0.022409333333333354,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8965924221013629,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
56,1438020,1538820,16087620,2797,False,3,3,98,3.6e-05,0.926471,0.3132,13,SELU(),397,0.882353,0.739574,0.926471,0.84314,0.898693,0.776788,0.911765,0.804824,False,0.029411999999999994,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8688280159820241,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
12,1441823,1542623,16091423,3197,False,7,7,98,3.6e-05,0.911765,0.374185,12,SELU(),397,0.886555,0.751022,0.911765,0.806818,0.895425,0.76895,0.941176,0.871212,False,0.01680666666666671,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.895989940694292,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
14,1447376,1548176,16096976,2797,False,3,3,98,3.6e-05,0.911765,0.356532,10,SELU(),397,0.890756,0.75823,0.911765,0.80647,0.895425,0.76895,0.941176,0.871212,False,0.014006000000000038,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8930060026461204,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
265,1455661,1556461,16105261,2997,False,5,5,98,3.5e-05,0.955882,0.309595,13,SELU(),397,0.87395,0.722028,0.955882,0.905068,0.895425,0.771588,0.911765,0.804824,False,0.054621333333333334,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8671250409790523,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
67,1460209,1561009,16109809,2697,False,2,2,98,3.6e-05,0.911765,0.334119,16,SELU(),397,0.878151,0.729122,0.911765,0.80647,0.882353,0.738934,0.941176,0.871212,False,0.022409333333333354,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8622032297276387,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
209,1461836,1562636,16111436,3097,False,6,6,98,3.6e-05,0.897059,0.319403,18,SELU(),397,0.89916,0.776885,0.897059,0.774559,0.898693,0.77617,0.941176,0.871212,False,0.0014006666666666057,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8727027967135746,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
101,1469639,1570439,16119239,2797,False,3,3,98,3.5e-05,0.882353,0.44065,7,SELU(),397,0.861345,0.694183,0.882353,0.738934,0.866013,0.703901,0.911765,0.812032,False,0.01400533333333335,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.865397493817758,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
28,1477819,1578619,16127419,2497,False,0,0,98,3.6e-05,0.926471,0.330659,15,SELU(),397,0.878151,0.729018,0.926471,0.84314,0.888889,0.753564,0.941176,0.871212,False,0.03221333333333335,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8681595259462748,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
106,1479538,1580338,16129138,2697,False,2,2,98,3.6e-05,0.882353,0.378325,13,SELU(),397,0.89916,0.777526,0.882353,0.738934,0.895425,0.76895,0.911765,0.804824,False,0.011204666666666604,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8700891161759798,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
39,1484107,1584907,16133707,2797,False,3,3,98,3.5e-05,0.882353,0.35108,13,SELU(),397,0.882353,0.738934,0.882353,0.738934,0.882353,0.738934,0.941176,0.871212,False,0.0,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8731412201327066,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
223,1491433,1592233,16141033,2897,False,4,4,98,3.6e-05,0.897059,0.352247,13,SELU(),397,0.882353,0.73857,0.897059,0.771855,0.885621,0.745954,0.911765,0.812032,False,0.009803999999999998,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8602175988519817,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
27,1497610,1598410,16147210,3097,False,6,6,98,3.5e-05,0.911765,0.40045,6,SELU(),397,0.882353,0.739574,0.911765,0.80647,0.892157,0.761731,0.911765,0.812032,False,0.019607999999999997,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.8823951095821566,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
234,1501427,1602227,16151027,2797,False,3,3,98,3.5e-05,0.852941,0.531735,4,SELU(),397,0.857143,0.681622,0.852941,0.6729,0.859477,0.687043,0.911765,0.812032,False,0.004357333333333398,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.8659169480576341,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
335,1511668,1612468,16161268,2697,False,2,2,98,3.7e-05,0.838235,0.394166,23,SELU(),397,0.920168,0.825208,0.838235,0.639602,0.901961,0.784728,0.941176,0.871212,False,0.054622000000000025,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8523725182602141,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
49,1516841,1617641,16166441,2678,False,2,2,79,3.9e-05,0.809211,0.488796,4,SELU(),378,0.757519,0.436927,0.809211,0.560673,0.780702,0.492388,0.776316,0.478617,False,0.03446133333333331,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.879932360516842,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
49,1521095,1621895,16170695,3078,False,6,6,79,3.8e-05,0.796053,0.492501,4,SELU(),378,0.768797,0.467036,0.796053,0.534794,0.776316,0.485982,0.763158,0.450836,False,0.018170666666666706,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9087072306126588,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
221,1525444,1626244,16175044,2778,False,3,3,79,4e-05,0.802632,0.427297,17,SELU(),378,0.774436,0.477201,0.802632,0.548788,0.780702,0.493287,0.789474,0.511593,False,0.018797333333333333,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.7887541216286067,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
371,1533781,1634581,16183381,2878,False,4,4,79,3.8e-05,0.835526,0.515918,4,SELU(),378,0.734962,0.415155,0.835526,0.630108,0.763158,0.470679,0.75,0.439632,False,0.06704266666666665,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.8847145085738845,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
596,1535319,1636119,16184919,2878,False,4,4,79,3.8e-05,0.782895,0.458464,18,SELU(),378,0.789474,0.515459,0.782895,0.501535,0.789474,0.514622,0.776316,0.484757,False,0.004386000000000001,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.8757947512560831,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
6,1541471,1642271,16191071,2578,False,1,1,79,3.9e-05,0.796053,0.503119,5,SELU(),378,0.785714,0.516972,0.796053,0.528921,0.789474,0.519445,0.789474,0.524442,True,0.006892666666666658,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.8646998336236321,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
3,1547582,1648382,16197182,2878,False,4,4,79,3.8e-05,0.776316,0.52042,3,SELU(),378,0.759399,0.437037,0.776316,0.480384,0.770468,0.466151,0.802632,0.548301,True,0.011277999999999974,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.935905265222183,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
13,1552590,1653390,16202190,2778,False,3,3,79,3.9e-05,0.789474,0.470131,8,SELU(),378,0.770677,0.471878,0.789474,0.515768,0.785088,0.50492,0.789474,0.512022,False,0.012531333333333375,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.9240826416197127,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
42,1559854,1660654,16209454,2678,False,2,2,79,4.2e-05,0.756579,0.556276,11,SELU(),378,0.783835,0.503182,0.756579,0.439957,0.77924,0.492829,0.815789,0.576804,False,0.01817066666666663,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.921934456451397,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
221,1565080,1665880,16214680,2978,False,5,5,79,3.8e-05,0.782895,0.50526,7,SELU(),378,0.765038,0.468446,0.782895,0.504417,0.767544,0.47164,0.776316,0.484757,False,0.011904666666666675,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.9041881868716586,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
156,1568758,1669558,16218358,2778,False,3,3,79,4e-05,0.776316,0.48322,8,SELU(),378,0.770677,0.473611,0.776316,0.490925,0.776316,0.486626,0.763158,0.444335,False,0.0037593333333333736,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.906470310478171,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
14,1576170,1676970,16225770,2578,False,1,1,79,4.1e-05,0.763158,0.539886,6,SELU(),378,0.783835,0.501186,0.763158,0.469148,0.777778,0.48972,0.789474,0.512022,False,0.01378466666666663,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.9142969045908925,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
125,1580554,1681354,16230154,2478,False,0,0,79,4.1e-05,0.789474,0.480951,15,SELU(),378,0.783835,0.503182,0.789474,0.511593,0.782164,0.498005,0.789474,0.51382,False,0.004873333333333359,diabetes,12,exp0090_politica_1_oracle_1m1l,,,0.8946842971844332,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
86,1587342,1688142,16236942,3178,False,7,7,79,3.8e-05,0.802632,0.471227,16,SELU(),378,0.776316,0.483312,0.802632,0.545312,0.782164,0.497008,0.789474,0.51382,False,0.017544000000000004,diabetes,3,exp0090_politica_1_oracle_1m1l,,,0.8117445439710838,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
49,1592893,1693693,16242493,2578,False,1,1,79,4e-05,0.796053,0.475825,10,SELU(),378,0.780075,0.495949,0.796053,0.541097,0.783626,0.505934,0.789474,0.511593,False,0.010652000000000031,diabetes,15,exp0090_politica_1_oracle_1m1l,,,0.8244602363883778,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
192,1596845,1697645,16246445,2578,False,1,1,79,3.9e-05,0.789474,0.468306,14,SELU(),378,0.783835,0.504702,0.789474,0.515768,0.785088,0.507105,0.802632,0.546779,False,0.0037593333333333736,diabetes,1,exp0090_politica_1_oracle_1m1l,,,0.9086312076980735,Global,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
