,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
66,1414966,1515766,16064566,3444,False,2,2,45,5.6e-05,0.911765,0.237351,85,GELU(approximate=False),444,0.945378,0.879728,0.911765,0.80647,0.937908,0.863295,0.970588,0.938679,False,0.02240866666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9520986776026406,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
1368,1418062,1518862,16067662,3844,False,6,6,45,5.6e-05,0.926471,0.231455,65,GELU(approximate=False),444,0.941176,0.87083,0.926471,0.838462,0.937908,0.863643,0.941176,0.871212,False,0.009803333333333311,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8449939170199297,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
118,1424182,1524982,16073782,3444,False,2,2,45,6.4e-05,0.941176,0.160501,87,GELU(approximate=False),444,0.957983,0.907921,0.941176,0.874007,0.954248,0.900086,0.970588,0.938679,False,0.011204666666666677,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9621620582166547,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
33,1432651,1533451,16082251,3944,False,7,7,45,6e-05,0.911765,0.267796,89,GELU(approximate=False),444,0.957983,0.90763,0.911765,0.80647,0.947712,0.885063,0.941176,0.871212,False,0.03081199999999999,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9654061759049721,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
119,1435429,1536229,16085029,3844,False,6,6,45,6.1e-05,0.941176,0.217732,83,GELU(approximate=False),444,0.957983,0.907921,0.941176,0.874007,0.954248,0.900086,0.970588,0.938679,False,0.011204666666666677,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9485976362384384,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
237,1444594,1545394,16094194,3244,False,0,0,45,6.1e-05,0.882353,0.363167,85,GELU(approximate=False),444,0.957983,0.907663,0.882353,0.738934,0.941176,0.870388,0.941176,0.871212,False,0.050419999999999986,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9515021277802217,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
345,1449686,1550486,16099286,3444,False,2,2,45,5.7e-05,0.897059,0.34561,75,GELU(approximate=False),444,0.957983,0.907921,0.897059,0.781736,0.944444,0.878974,0.941176,0.871212,False,0.040615999999999985,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.89277853982722,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
108,1454962,1555762,16104562,3844,False,6,6,45,6e-05,0.897059,0.229569,82,GELU(approximate=False),444,0.957983,0.907921,0.897059,0.774559,0.944444,0.87834,0.970588,0.938679,False,0.040615999999999985,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9395752027372463,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
55,1458476,1559276,16108076,3244,False,0,0,45,6.1e-05,0.941176,0.175607,87,GELU(approximate=False),444,0.957983,0.90763,0.941176,0.874007,0.954248,0.899642,0.970588,0.938679,False,0.011204666666666677,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9639255826477044,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
61,1467095,1567895,16116695,3244,False,0,0,45,6.2e-05,0.882353,0.258956,89,GELU(approximate=False),444,0.953781,0.898399,0.882353,0.742652,0.937908,0.863643,0.970588,0.938679,False,0.04761866666666662,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9670521662420453,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
59,1469124,1569924,16118724,3644,False,4,4,45,6.4e-05,0.941176,0.227947,89,GELU(approximate=False),444,0.957983,0.90763,0.941176,0.870603,0.954248,0.899401,0.970588,0.938679,False,0.011204666666666677,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.966507916693046,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
72,1473963,1574763,16123563,3744,False,5,5,45,6.1e-05,0.941176,0.189864,86,GELU(approximate=False),444,0.94958,0.889189,0.941176,0.870603,0.947712,0.885063,0.970588,0.938679,False,0.005602666666666645,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9556266300972619,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
140,1482254,1583054,16131854,3744,False,5,5,45,5.9e-05,0.882353,0.277071,85,GELU(approximate=False),444,0.945378,0.88,0.882353,0.739045,0.934641,0.855904,0.970588,0.938679,False,0.04201666666666667,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9501088506485139,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
135,1488669,1589469,16138269,3744,False,5,5,45,6.3e-05,0.897059,0.236327,89,GELU(approximate=False),444,0.962185,0.916885,0.897059,0.774559,0.947712,0.885063,0.970588,0.938679,False,0.04341733333333327,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9624697530212205,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
287,1493626,1594426,16143226,3744,False,5,5,45,6.3e-05,0.911765,0.262779,86,GELU(approximate=False),444,0.953781,0.898399,0.911765,0.80647,0.947712,0.885063,0.941176,0.871212,False,0.028010666666666628,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9367686954303405,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
182,1495803,1596603,16145403,3944,False,7,7,45,5.9e-05,0.941176,0.214354,79,GELU(approximate=False),444,0.932773,0.851971,0.941176,0.874007,0.934641,0.856524,0.970588,0.938679,False,0.005602000000000033,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9187545092014695,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
329,1505698,1606498,16155298,3444,False,2,2,45,6.2e-05,0.882353,0.272376,77,GELU(approximate=False),444,0.953781,0.898329,0.882353,0.738934,0.937908,0.863141,0.970588,0.938679,False,0.04761866666666662,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9110503230553184,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
763,1510436,1611236,16160036,3944,False,7,7,45,5.6e-05,0.882353,0.285723,77,GELU(approximate=False),444,0.941176,0.870458,0.882353,0.751068,0.928105,0.842313,0.941176,0.871212,False,0.0392153333333333,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9091712593211945,Global,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
