,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
367,1414966,1515766,16064566,3444,False,2,2,45,5.6e-05,0.911765,0.237351,85,GELU(approximate=False),444,0.945378,0.879728,0.911765,0.80647,0.937908,0.863295,0.970588,0.938679,False,0.02240866666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9100544408734887,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
141,1420150,1520950,16069750,3644,False,4,4,45,6.4e-05,0.926471,0.288826,97,GELU(approximate=False),444,0.966387,0.926652,0.926471,0.84314,0.957516,0.907733,0.941176,0.871212,False,0.026610666666666633,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9665660123147406,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
318,1426910,1527710,16076510,3244,False,0,0,45,6e-05,0.897059,0.282201,95,GELU(approximate=False),444,0.945378,0.88,0.897059,0.774559,0.937908,0.863643,0.970588,0.938679,False,0.03221266666666667,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.947529441647977,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
198,1432651,1533451,16082251,3944,False,7,7,45,6e-05,0.911765,0.267796,89,GELU(approximate=False),444,0.957983,0.90763,0.911765,0.80647,0.947712,0.885063,0.941176,0.871212,False,0.03081199999999999,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9325082906786905,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
64,1436283,1537083,16085883,3944,False,7,7,45,6.7e-05,0.941176,0.220614,96,GELU(approximate=False),444,0.966387,0.926165,0.941176,0.874007,0.960784,0.913908,0.970588,0.938679,False,0.016807333333333323,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9650611954192003,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
748,1444594,1545394,16094194,3244,False,0,0,45,6.1e-05,0.882353,0.363167,85,GELU(approximate=False),444,0.957983,0.907663,0.882353,0.738934,0.941176,0.870388,0.941176,0.871212,False,0.050419999999999986,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9097136631768621,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
69,1449921,1550721,16099521,3244,False,0,0,45,6.5e-05,0.897059,0.322315,95,GELU(approximate=False),444,0.966387,0.926243,0.897059,0.774559,0.95098,0.89253,0.970588,0.938679,False,0.04621866666666663,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9589537225468522,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
43,1454692,1555492,16104292,3644,False,4,4,45,6.7e-05,0.911765,0.300993,98,GELU(approximate=False),444,0.966387,0.926243,0.911765,0.812404,0.954248,0.900086,0.970588,0.938679,False,0.03641466666666663,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9659105810953535,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
400,1457315,1558115,16106915,3944,False,7,7,45,5.8e-05,0.941176,0.209643,96,GELU(approximate=False),444,0.932773,0.851727,0.941176,0.874007,0.934641,0.856116,0.941176,0.871212,False,0.005602000000000033,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9324836930803682,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
86,1465601,1566401,16115201,3444,False,2,2,45,6.7e-05,0.926471,0.193032,94,GELU(approximate=False),444,0.962185,0.916885,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,False,0.023809333333333276,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9686583860905025,Global,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
