,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
71,1415051,1515851,16064651,3008,False,6,6,9,6.5e-05,0.926471,0.274689,68,SELU(),308,0.890756,0.759036,0.926471,0.84314,0.898693,0.777612,0.941176,0.871212,False,0.023810000000000036,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9029241909329118,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
64,1418560,1519360,16068160,2608,False,2,2,9,5.6e-05,0.911765,0.328912,56,SELU(),308,0.890756,0.757565,0.911765,0.80647,0.895425,0.768196,0.941176,0.871212,False,0.014006000000000038,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9097504882696293,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
72,1422525,1523325,16072125,2408,False,0,0,9,6.1e-05,0.897059,0.309573,85,SELU(),308,0.89916,0.777526,0.897059,0.774559,0.898693,0.776788,0.941176,0.871212,False,0.0014006666666666057,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8973817978887012,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
25,1429223,1530023,16078823,2908,False,5,5,9,6.8e-05,0.897059,0.318717,90,SELU(),308,0.907563,0.796026,0.897059,0.781736,0.905229,0.791846,0.941176,0.871212,False,0.007002666666666639,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9186743537076248,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
5,1435359,1536159,16084959,2608,False,2,2,9,6.6e-05,0.882353,0.287457,96,SELU(),308,0.89916,0.776885,0.882353,0.742652,0.898693,0.77617,0.970588,0.936382,False,0.011204666666666604,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9104492524260751,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
57,1439445,1540245,16089045,2708,False,3,3,9,4.7e-05,0.897059,0.444545,15,SELU(),308,0.894958,0.769341,0.897059,0.771855,0.898693,0.776788,0.941176,0.871212,False,0.0024899999999999554,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.912091033392871,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
49,1448201,1549001,16097801,2508,False,1,1,9,6.3e-05,0.867647,0.353979,70,SELU(),308,0.89916,0.777526,0.867647,0.720325,0.892157,0.763381,0.941176,0.871212,False,0.021008666666666675,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8968177769680941,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
39,1450502,1551302,16100102,2808,False,4,4,9,6.5e-05,0.897059,0.288865,75,SELU(),308,0.89916,0.77656,0.897059,0.781736,0.898693,0.77617,0.941176,0.871212,False,0.0014006666666666057,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8992387146772143,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
18,1456359,1557159,16105959,2608,False,2,2,9,6.1e-05,0.897059,0.302978,72,SELU(),308,0.894958,0.767049,0.897059,0.781736,0.895425,0.768478,0.970588,0.938679,False,0.0014006666666666796,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9080879834335619,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
27,1465389,1566189,16114989,2508,False,1,1,9,7e-05,0.882353,0.328213,88,SELU(),308,0.915966,0.815166,0.882353,0.751068,0.908497,0.799836,0.941176,0.871212,False,0.022408666666666594,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9189089099709984,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
30,1470432,1571232,16120032,2508,False,1,1,9,6.3e-05,0.867647,0.404769,74,SELU(),308,0.89916,0.776536,0.867647,0.705978,0.892157,0.760734,0.970588,0.938679,False,0.021008666666666675,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9057014316449373,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
49,1473208,1574008,16122808,2608,False,2,2,9,7e-05,0.897059,0.301914,90,SELU(),308,0.894958,0.767557,0.897059,0.774559,0.898693,0.776788,0.941176,0.871212,False,0.0024899999999999554,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8973817978887012,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
3,1481983,1582783,16131583,2808,False,4,4,9,7.3e-05,0.867647,0.319547,95,SELU(),308,0.92437,0.833545,0.867647,0.705978,0.915033,0.812666,0.941176,0.871212,False,0.03781533333333339,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9126713026087645,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
30,1484124,1584924,16133724,2808,False,4,4,9,6.2e-05,0.897059,0.255593,79,SELU(),308,0.89916,0.778499,0.897059,0.771855,0.898693,0.776788,0.941176,0.871212,False,0.0014006666666666057,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8992387146772143,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
