,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
180,1416770,1517570,16066370,2821,False,4,4,22,3.7e-05,0.926471,0.510413,11,SELU(),321,0.827731,0.626107,0.926471,0.838462,0.849673,0.670875,0.823529,0.660044,False,0.0658266666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.7959242345585666,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
105,1419609,1520409,16069209,2521,False,1,1,22,4.1e-05,0.852941,0.391197,22,SELU(),321,0.886555,0.748903,0.852941,0.6729,0.879085,0.732132,0.941176,0.871212,False,0.022409333333333354,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8297935977092445,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
50,1422986,1523786,16072586,2421,False,0,0,22,4e-05,0.867647,0.398325,19,SELU(),321,0.87395,0.720902,0.867647,0.705978,0.872549,0.717578,0.941176,0.871212,False,0.004202000000000039,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8283474076195693,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
382,1432027,1532827,16081627,2721,False,3,3,22,3.9e-05,0.897059,0.364389,26,SELU(),321,0.861345,0.691346,0.897059,0.771855,0.872549,0.716394,0.823529,0.632627,False,0.02380933333333335,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.7796782897988166,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
210,1435733,1536533,16085333,2821,False,4,4,22,4.2e-05,0.897059,0.376633,24,SELU(),321,0.878151,0.731325,0.897059,0.774559,0.882353,0.739268,0.882353,0.757681,False,0.012605333333333357,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8007915421879851,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
188,1441441,1542241,16091041,2721,False,3,3,22,4.3e-05,0.897059,0.327173,29,SELU(),321,0.87395,0.719637,0.897059,0.771855,0.879085,0.731289,0.941176,0.871212,False,0.01540600000000003,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8073379807477902,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
90,1447053,1547853,16096653,2421,False,0,0,22,4.1e-05,0.867647,0.398978,18,SELU(),321,0.886555,0.748903,0.867647,0.705978,0.882353,0.739404,0.911765,0.812032,False,0.012605333333333357,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8285168212410252,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
33,1452762,1553562,16102362,2521,False,1,1,22,4e-05,0.882353,0.451649,9,SELU(),321,0.857143,0.682369,0.882353,0.738934,0.862745,0.69497,0.911765,0.804824,False,0.01680666666666671,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8389280354127343,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
40,1459712,1560512,16109312,2421,False,0,0,22,4.2e-05,0.897059,0.365076,21,SELU(),321,0.869748,0.714322,0.897059,0.774559,0.875817,0.727773,0.941176,0.871212,False,0.01820733333333339,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8250147093435893,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
220,1462316,1563116,16111916,2821,False,4,4,22,4.2e-05,0.897059,0.37627,25,SELU(),321,0.890756,0.75807,0.897059,0.774559,0.892157,0.760767,0.882353,0.757681,False,0.004202000000000039,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8101738173368984,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
