,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
149,1415330,1516130,16064930,4511,False,5,5,12,9e-05,0.838235,0.453218,86,Sigmoid(),511,0.878151,0.736632,0.838235,0.64611,0.869281,0.716791,0.911765,0.804824,False,0.02661066666666671,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8799463430888648,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
130,1419410,1520210,16069010,4111,False,1,1,12,9.2e-05,0.838235,0.449454,89,Sigmoid(),511,0.869748,0.714322,0.838235,0.64611,0.862745,0.699193,0.911765,0.804824,False,0.021008666666666675,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8868511447888422,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
250,1423368,1524168,16072968,4011,False,0,0,12,8.2e-05,0.852941,0.457405,78,Sigmoid(),511,0.861345,0.69803,0.852941,0.689426,0.862745,0.702703,0.911765,0.804824,False,0.0065360000000000236,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8578647341141973,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
217,1428547,1529347,16078147,4311,False,3,3,12,8.8e-05,0.852941,0.417863,83,Sigmoid(),511,0.857143,0.686677,0.852941,0.689426,0.856209,0.686582,0.911765,0.804824,False,0.002801333333333359,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8783693186613396,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
133,1434270,1535070,16083870,4411,False,4,4,12,9.1e-05,0.867647,0.423906,82,Sigmoid(),511,0.87395,0.722028,0.867647,0.720325,0.872549,0.720639,0.911765,0.804824,False,0.004202000000000039,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8729499258719629,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
74,1442459,1543259,16092059,4411,False,4,4,12,8.2e-05,0.911765,0.409067,85,Sigmoid(),511,0.878151,0.73446,0.911765,0.804824,0.885621,0.749147,0.911765,0.804824,False,0.022409333333333354,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8962642531189355,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
82,1447971,1548771,16097571,4011,False,0,0,12,9.2e-05,0.897059,0.407377,83,Sigmoid(),511,0.869748,0.712758,0.897059,0.781736,0.875817,0.727773,0.911765,0.804824,False,0.01820733333333339,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8777549517277003,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
70,1453386,1554186,16102986,4511,False,5,5,12,8.7e-05,0.911765,0.356957,82,Sigmoid(),511,0.878151,0.736632,0.911765,0.812404,0.885621,0.753625,0.911765,0.804824,False,0.022409333333333354,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8793389232706721,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
176,1461361,1562161,16110961,4411,False,4,4,12,9.1e-05,0.911765,0.388019,88,Sigmoid(),511,0.84874,0.666197,0.911765,0.812404,0.862745,0.699193,0.911765,0.804824,False,0.04201666666666667,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8752252504634784,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
57,1464793,1565593,16114393,4611,False,6,6,12,9.3e-05,0.867647,0.39565,85,Sigmoid(),511,0.894958,0.769341,0.867647,0.710669,0.888889,0.756265,0.941176,0.871212,False,0.01820733333333339,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9068890837279843,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
100,1471331,1572131,16120931,4211,False,2,2,12,9.3e-05,0.823529,0.47369,84,Sigmoid(),511,0.869748,0.714322,0.823529,0.613321,0.859477,0.692027,0.941176,0.871212,False,0.030812666666666672,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8796230708345246,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
73,1476675,1577475,16126275,4611,False,6,6,12,9.9e-05,0.852941,0.41741,85,Sigmoid(),511,0.882353,0.741858,0.852941,0.678521,0.875817,0.727773,0.941176,0.871212,False,0.01960800000000007,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8888435458076145,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
128,1481727,1582527,16131327,4311,False,3,3,12,8.6e-05,0.838235,0.460611,77,Sigmoid(),511,0.890756,0.761687,0.838235,0.639602,0.882353,0.742026,0.911765,0.804824,False,0.035014000000000024,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.868242547780492,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
115,1484644,1585444,16134244,4511,False,5,5,12,9.8e-05,0.867647,0.445464,89,Sigmoid(),511,0.87395,0.73034,0.867647,0.710669,0.872549,0.725797,0.911765,0.804824,False,0.004202000000000039,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8809134305534662,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
131,1493848,1594648,16143448,4211,False,2,2,12,8.9e-05,0.911765,0.427505,80,Sigmoid(),511,0.865546,0.709613,0.911765,0.812404,0.875817,0.732762,0.911765,0.804824,False,0.030812666666666672,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8690854472941245,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
114,1500350,1601150,16149950,4111,False,1,1,12,7.7e-05,0.911765,0.457973,89,Sigmoid(),511,0.844538,0.656826,0.911765,0.812404,0.859477,0.692027,0.911765,0.804824,False,0.044818000000000024,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.8724958693862318,Global,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
