,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
23,1416743,1517543,16066343,2592,False,1,1,93,3.5e-05,0.955882,0.363853,9,SELU(),392,0.869748,0.710271,0.955882,0.905068,0.892157,0.760734,0.941176,0.871212,True,0.0574226666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8834200365742737,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
25,1420202,1521002,16069802,2692,False,2,2,93,3.6e-05,0.926471,0.315756,12,SELU(),392,0.886555,0.748442,0.926471,0.838462,0.901961,0.782835,0.882353,0.757681,False,0.02661066666666671,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8810630691370849,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
54,1425493,1526293,16075093,2792,False,3,3,93,3.5e-05,0.911765,0.365858,10,SELU(),392,0.882353,0.738934,0.911765,0.80647,0.888889,0.753942,0.911765,0.812032,False,0.019607999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8701729004772419,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
83,1431077,1531877,16080677,3192,False,7,7,93,3.5e-05,0.911765,0.372566,15,SELU(),392,0.886555,0.749791,0.911765,0.80647,0.892157,0.762452,0.941176,0.871212,False,0.01680666666666671,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8718829677345997,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
93,1435891,1536691,16085491,2892,False,4,4,93,3.6e-05,0.911765,0.332204,17,SELU(),392,0.890756,0.757565,0.911765,0.812404,0.895425,0.768478,0.911765,0.812032,False,0.014006000000000038,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8637083644069603,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
191,1439417,1540217,16089017,2692,False,2,2,93,3.6e-05,0.897059,0.266096,18,SELU(),392,0.894958,0.768281,0.897059,0.771855,0.895425,0.76895,0.941176,0.871212,False,0.0014006666666666796,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8593414270753221,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
105,1445640,1546440,16095240,3192,False,7,7,93,3.6e-05,0.897059,0.36715,12,SELU(),392,0.890756,0.760182,0.897059,0.772875,0.892157,0.761731,0.911765,0.804824,False,0.004202000000000039,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8771407776787368,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
363,1455933,1556733,16105533,2992,False,5,5,93,3.6e-05,0.955882,0.386557,7,SELU(),392,0.84874,0.661982,0.955882,0.905068,0.872549,0.716972,0.911765,0.812032,False,0.07142799999999998,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8591320809726258,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
231,1460058,1560858,16109658,2592,False,1,1,93,3.6e-05,0.897059,0.386215,13,SELU(),392,0.865546,0.702893,0.897059,0.771855,0.872549,0.717716,0.852941,0.707257,False,0.021008666666666675,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.845281932181455,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
50,1464016,1564816,16113616,2792,False,3,3,93,3.6e-05,0.897059,0.411126,6,SELU(),392,0.878151,0.731289,0.897059,0.774559,0.882353,0.740941,0.941176,0.871212,False,0.012605333333333357,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8711827164556516,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
60,1470679,1571479,16120279,3092,False,6,6,93,3.4e-05,0.911765,0.36831,11,SELU(),392,0.878151,0.729525,0.911765,0.80647,0.885621,0.746674,0.882353,0.742424,False,0.022409333333333354,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.865845919999808,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
35,1477943,1578743,16127543,2692,False,2,2,93,3.5e-05,0.926471,0.346622,12,SELU(),392,0.87395,0.722648,0.926471,0.838462,0.885621,0.747405,0.882353,0.757681,False,0.035014000000000024,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8625121805198328,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
283,1479876,1580676,16129476,2492,False,0,0,93,3.5e-05,0.852941,0.436812,8,SELU(),392,0.87395,0.720607,0.852941,0.673266,0.869281,0.710109,0.852941,0.707257,False,0.014006000000000038,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8525903047831856,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
41,1485765,1586565,16135365,2792,False,3,3,93,3.6e-05,0.897059,0.380647,10,SELU(),392,0.882353,0.738604,0.897059,0.772875,0.882353,0.738622,0.911765,0.812032,False,0.009803999999999998,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8652155104835287,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
53,1492725,1593525,16142325,2892,False,4,4,93,3.5e-05,0.911765,0.361526,12,SELU(),392,0.882353,0.739574,0.911765,0.80647,0.888889,0.754512,0.941176,0.871212,False,0.019607999999999997,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8641824398439657,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
54,1498837,1599637,16148437,3092,False,6,6,93,3.4e-05,0.911765,0.459421,5,SELU(),392,0.869748,0.710147,0.911765,0.80647,0.888889,0.753942,0.882353,0.742424,False,0.028011333333333388,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.8756863809365224,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
168,1501778,1602578,16151378,3192,False,7,7,93,3.5e-05,0.897059,0.314944,12,SELU(),392,0.886555,0.749791,0.897059,0.781736,0.892157,0.763381,0.941176,0.871212,False,0.0070026666666667126,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.8589461698557352,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
171,1506439,1607239,16156039,2492,False,0,0,93,3.6e-05,0.882353,0.433784,16,SELU(),392,0.882353,0.738819,0.882353,0.738934,0.882353,0.738622,0.911765,0.812032,False,0.0,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8526722633544654,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
55,1514873,1615673,16164473,3084,False,6,6,85,4e-05,0.802632,0.482894,11,SELU(),384,0.778196,0.488821,0.802632,0.545312,0.782164,0.496546,0.789474,0.51382,False,0.016290666666666676,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.8763209448877598,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
21,1520843,1621643,16170443,3084,False,6,6,85,3.8e-05,0.796053,0.47605,6,SELU(),384,0.770677,0.470283,0.796053,0.541097,0.77924,0.492829,0.776316,0.478157,False,0.016917333333333378,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9217957310187259,Global,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
