,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
120,1416448,1517248,16066048,1089,False,2,2,90,5e-05,0.911765,0.207684,80,ReLU(),189,0.97479,0.944667,0.911765,0.804824,0.960784,0.913793,0.941176,0.871212,False,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9375558227816069,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
61,1421105,1521905,16070705,1489,False,6,6,90,5.1e-05,0.926471,0.19142,84,ReLU(),189,0.978992,0.953997,0.926471,0.838462,0.96732,0.928414,0.941176,0.871212,False,0.035013999999999955,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9613564780030426,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
9,1426556,1527356,16076156,889,False,0,0,90,5.1e-05,0.941176,0.253009,89,ReLU(),189,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,False,0.028011333333333315,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9756132216526429,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
325,1433349,1534149,16082949,1089,False,2,2,90,5e-05,0.897059,0.29741,78,ReLU(),189,0.962185,0.91707,0.897059,0.781736,0.947712,0.886,0.941176,0.871212,False,0.04341733333333327,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9189557011135757,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
190,1439020,1539820,16088620,1389,False,5,5,90,5e-05,0.911765,0.245502,83,ReLU(),189,0.978992,0.953997,0.911765,0.812404,0.964052,0.921765,0.970588,0.938679,False,0.04481799999999995,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9491385667558466,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
84,1441256,1542056,16090856,1289,False,4,4,90,5.1e-05,0.941176,0.220598,83,ReLU(),189,0.962185,0.916885,0.941176,0.870603,0.957516,0.90659,0.970588,0.938679,False,0.014005999999999963,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9571160240618599,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
188,1450388,1551188,16099988,1089,False,2,2,90,5.1e-05,0.867647,0.338143,85,ReLU(),189,0.978992,0.95392,0.867647,0.710669,0.957516,0.907147,0.970588,0.938679,False,0.07423000000000002,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9330833318751176,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
442,1455723,1556523,16105323,989,False,1,1,90,5e-05,0.897059,0.266221,70,ReLU(),189,0.983193,0.963203,0.897059,0.774559,0.964052,0.921062,0.970588,0.938679,False,0.05742266666666662,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8812972672991102,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
15,1457778,1558578,16107378,1589,False,7,7,90,5.1e-05,0.955882,0.169365,88,ReLU(),189,0.966387,0.926243,0.955882,0.905068,0.96732,0.928801,0.941176,0.871212,False,0.007625333333333299,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.977474303752431,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
168,1466902,1567702,16116502,1489,False,6,6,90,5e-05,0.911765,0.224842,83,ReLU(),189,0.970588,0.935441,0.911765,0.812404,0.957516,0.907147,0.941176,0.871212,False,0.0392153333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9398972776499079,Global,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
