,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1412898,1513698,16062498,2500,False,1,1,1,0.000324,0.882353,0.392626,57,SELU(),300,0.869748,0.712758,0.882353,0.742652,0.872549,0.719401,0.882353,0.742424,True,0.008403333333333393,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8469906814239947,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
9,1419045,1519845,16068645,3100,False,7,7,1,0.00026,0.838235,0.469857,67,SELU(),300,0.865546,0.705122,0.838235,0.639602,0.859477,0.690592,0.941176,0.871212,False,0.01820733333333339,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.7389123689274465,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1427875,1528675,16077475,2600,False,2,2,1,0.000389,0.941176,0.438915,78,SELU(),300,0.865546,0.707157,0.941176,0.874007,0.882353,0.744881,0.911765,0.804824,True,0.050419999999999986,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.877664382471873,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1431717,1532517,16081317,2700,False,3,3,1,0.00035,0.882353,0.420446,65,SELU(),300,0.84874,0.663413,0.882353,0.751068,0.856209,0.682115,0.882353,0.742424,True,0.02240866666666667,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8398381714409596,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
4,1434245,1535045,16083845,2800,False,4,4,1,0.000281,0.867647,0.416591,89,SELU(),300,0.87395,0.719463,0.867647,0.710669,0.872549,0.716559,0.911765,0.804824,False,0.004202000000000039,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8045111692184973,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1443903,1544703,16093503,2900,False,5,5,1,0.000395,0.838235,0.438397,96,SELU(),300,0.890756,0.763574,0.838235,0.637397,0.879085,0.734902,0.941176,0.871212,True,0.035014000000000024,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8579385004802749,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
3,1447694,1548494,16097294,3100,False,7,7,1,0.000278,0.852941,0.433994,89,SELU(),300,0.878151,0.732687,0.852941,0.6729,0.872549,0.719401,0.941176,0.871212,True,0.01680666666666671,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.7857045320711789,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
5,1452890,1553690,16102490,2800,False,4,4,1,0.000276,0.867647,0.381885,97,SELU(),300,0.840336,0.656987,0.867647,0.707831,0.846405,0.667641,0.852941,0.707257,False,0.018207333333333315,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.7517862238766431,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1456486,1557286,16106086,3100,False,7,7,1,0.000453,0.882353,0.412933,92,SELU(),300,0.886555,0.749791,0.882353,0.742652,0.885621,0.748113,0.911765,0.804824,True,0.0028013333333332855,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8729458940279523,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
1,1463521,1564321,16113121,2900,False,5,5,1,0.000341,0.852941,0.424474,68,SELU(),300,0.869748,0.710854,0.852941,0.6729,0.866013,0.701614,0.882353,0.742424,True,0.011204666666666677,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8281232722617687,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
4,1471745,1572545,16121345,2400,False,0,0,1,0.000255,0.911765,0.364506,54,SELU(),300,0.857143,0.686677,0.911765,0.80647,0.872549,0.720639,0.911765,0.804824,True,0.036414666666666706,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8158296082800601,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
6,1472952,1573752,16122552,3000,False,6,6,1,0.000262,0.867647,0.449413,65,SELU(),300,0.869748,0.718631,0.867647,0.710669,0.869281,0.716791,0.911765,0.804824,False,0.0014006666666666796,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.7159929581641894,Global,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
