,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
342,1414654,1515454,16064254,3322,False,1,1,23,7.4e-05,0.911765,0.296002,90,GELU(approximate=False),422,0.941176,0.87083,0.911765,0.812404,0.934641,0.857136,0.970588,0.938679,False,0.01960733333333331,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8776924834032214,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
298,1420441,1521241,16070041,3722,False,5,5,23,6.8e-05,0.897059,0.259913,84,GELU(approximate=False),422,0.941176,0.870458,0.897059,0.774559,0.931373,0.848947,0.941176,0.871212,False,0.029411333333333307,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8701573256645025,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
316,1425023,1525823,16074623,3522,False,3,3,23,6.9e-05,0.911765,0.258284,84,GELU(approximate=False),422,0.936975,0.861057,0.911765,0.80647,0.931373,0.848677,0.941176,0.871212,False,0.016806666666666636,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8690381820342247,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
188,1430417,1531217,16080017,3822,False,6,6,23,7.5e-05,0.955882,0.245651,87,GELU(approximate=False),422,0.936975,0.861206,0.955882,0.905068,0.941176,0.870772,0.941176,0.871212,True,0.012604666666666672,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8858558680286437,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
176,1438111,1538911,16087711,3422,False,2,2,23,8.1e-05,0.911765,0.2495,98,GELU(approximate=False),422,0.957983,0.90763,0.911765,0.804824,0.947712,0.884895,0.911765,0.804824,False,0.03081199999999999,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8816701077331455,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
349,1440777,1541577,16090377,3822,False,6,6,23,7.2e-05,0.911765,0.254499,90,GELU(approximate=False),422,0.928571,0.842412,0.911765,0.806818,0.924837,0.834056,0.941176,0.871212,False,0.011203999999999992,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8703584903237215,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
159,1448854,1549654,16098454,3322,False,1,1,23,7.4e-05,0.911765,0.266383,95,GELU(approximate=False),422,0.953781,0.898329,0.911765,0.80647,0.944444,0.877683,0.911765,0.804824,True,0.028010666666666628,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8840835050215795,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
58,1450984,1551784,16100584,3522,False,3,3,23,8e-05,0.955882,0.204166,98,GELU(approximate=False),422,0.94958,0.889162,0.955882,0.905068,0.95098,0.892119,0.970588,0.938679,True,0.004201333333333353,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8854604579763318,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
178,1456704,1557504,16106304,3622,False,4,4,23,7.9e-05,0.941176,0.187886,91,GELU(approximate=False),422,0.936975,0.861217,0.941176,0.870603,0.941176,0.870481,0.970588,0.938679,False,0.0028006666666666735,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8792204065811998,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
288,1462318,1563118,16111918,3422,False,2,2,23,7.1e-05,0.926471,0.251736,94,GELU(approximate=False),422,0.932773,0.851793,0.926471,0.838462,0.931373,0.848598,0.911765,0.804824,False,0.004201333333333279,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8744636039908303,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
268,1467915,1568715,16117515,3222,False,0,0,23,6.9e-05,0.926471,0.248905,81,GELU(approximate=False),422,0.920168,0.823618,0.926471,0.837919,0.921569,0.826745,0.941176,0.871212,False,0.004202000000000039,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8663940647336428,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
419,1476082,1576882,16125682,3622,False,4,4,23,6.4e-05,0.941176,0.236014,83,GELU(approximate=False),422,0.915966,0.814264,0.941176,0.870603,0.921569,0.826745,0.882353,0.742424,False,0.01680666666666671,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.865652858514545,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
194,1481042,1581842,16130642,3622,False,4,4,23,7.4e-05,0.897059,0.321034,87,GELU(approximate=False),422,0.936975,0.861206,0.897059,0.771855,0.928105,0.841459,0.941176,0.871212,False,0.026610666666666633,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8739464449367409,Global,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
