,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
4,1416078,1516878,16065678,3797,False,5,5,98,5.5e-05,0.926471,0.225688,92,GELU(approximate=False),497,0.978992,0.95392,0.926471,0.838462,0.96732,0.928231,0.970588,0.938679,False,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9666348607784762,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
33,1421417,1522217,16071017,3297,False,0,0,98,5.7e-05,0.926471,0.259634,98,GELU(approximate=False),497,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9748229290463117,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
10,1424790,1525590,16074390,3897,False,6,6,98,5.2e-05,0.955882,0.169304,83,GELU(approximate=False),497,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,0.970588,0.938679,False,0.015406666666666643,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9730995949589152,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
200,1433219,1534019,16082819,3397,False,1,1,98,5.2e-05,0.911765,0.281649,94,GELU(approximate=False),497,0.970588,0.935441,0.911765,0.806818,0.957516,0.906607,0.941176,0.871212,False,0.0392153333333333,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.954895808884003,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
78,1434810,1535610,16084410,3997,False,7,7,98,5e-05,0.955882,0.205239,69,GELU(approximate=False),497,0.966387,0.926243,0.955882,0.905068,0.964052,0.921311,0.970588,0.938679,False,0.007003333333333324,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9701525986392023,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
29,1443970,1544770,16093570,3897,False,6,6,98,5.5e-05,0.926471,0.15963,92,GELU(approximate=False),497,0.978992,0.954412,0.926471,0.840953,0.96732,0.928231,0.970588,0.938679,False,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9743861565943972,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
10,1449398,1550198,16098998,3797,False,5,5,98,5.4e-05,0.926471,0.297226,93,GELU(approximate=False),497,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,False,0.035013999999999955,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9728216159566814,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
99,1452157,1552957,16101757,3597,False,3,3,98,4.8e-05,0.941176,0.20844,57,GELU(approximate=False),497,0.957983,0.908548,0.941176,0.874007,0.954248,0.900738,0.970588,0.938679,False,0.011204666666666677,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9540634802938942,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
23,1459125,1559925,16108725,3497,False,2,2,98,5.1e-05,0.955882,0.186973,78,GELU(approximate=False),497,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,0.970588,0.938679,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9735008934973886,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
17,1465533,1566333,16115133,3297,False,0,0,98,5.4e-05,0.941176,0.203136,85,GELU(approximate=False),497,0.97479,0.944667,0.941176,0.874007,0.96732,0.928414,0.970588,0.938679,False,0.022409333333333354,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9749106576238803,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
