,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
169,1416448,1517248,16066048,1089,False,2,2,90,5e-05,0.911765,0.207684,80,ReLU(),189,0.97479,0.944667,0.911765,0.804824,0.960784,0.913793,0.941176,0.871212,False,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9311178022885586,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
49,1421388,1522188,16070988,1089,False,2,2,90,4.9e-05,0.926471,0.225806,83,ReLU(),189,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9626680161050079,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
9,1426556,1527356,16076156,889,False,0,0,90,5.1e-05,0.941176,0.253009,89,ReLU(),189,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,False,0.028011333333333315,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9702881685860363,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
285,1433349,1534149,16082949,1089,False,2,2,90,5e-05,0.897059,0.29741,78,ReLU(),189,0.962185,0.91707,0.897059,0.781736,0.947712,0.886,0.941176,0.871212,False,0.04341733333333327,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9244398482090774,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
131,1439020,1539820,16088620,1389,False,5,5,90,5e-05,0.911765,0.245502,83,ReLU(),189,0.978992,0.953997,0.911765,0.812404,0.964052,0.921765,0.970588,0.938679,False,0.04481799999999995,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9501621854466799,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
74,1441256,1542056,16090856,1289,False,4,4,90,5.1e-05,0.941176,0.220598,83,ReLU(),189,0.962185,0.916885,0.941176,0.870603,0.957516,0.90659,0.970588,0.938679,False,0.014005999999999963,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9617746198108619,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
139,1450388,1551188,16099988,1089,False,2,2,90,5.1e-05,0.867647,0.338143,85,ReLU(),189,0.978992,0.95392,0.867647,0.710669,0.957516,0.907147,0.970588,0.938679,False,0.07423000000000002,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9367289956912666,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
395,1455723,1556523,16105323,989,False,1,1,90,5e-05,0.897059,0.266221,70,ReLU(),189,0.983193,0.963203,0.897059,0.774559,0.964052,0.921062,0.970588,0.938679,False,0.05742266666666662,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8917718835263547,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
21,1460417,1561217,16110017,989,False,1,1,90,5.2e-05,0.941176,0.216505,88,ReLU(),189,0.978992,0.953997,0.941176,0.871212,0.970588,0.935415,0.970588,0.938679,False,0.02521066666666664,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.969357912629685,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
174,1466902,1567702,16116502,1489,False,6,6,90,5e-05,0.911765,0.224842,83,ReLU(),189,0.970588,0.935441,0.911765,0.812404,0.957516,0.907147,0.941176,0.871212,False,0.0392153333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9421582731347038,Global,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
