,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
483,1416448,1517248,16066048,1089,False,2,2,90,5e-05,0.911765,0.207684,80,ReLU(),189,0.97479,0.944667,0.911765,0.804824,0.960784,0.913793,0.941176,0.871212,False,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9016916482565179,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
5,1421572,1522372,16071172,1389,False,5,5,90,5.2e-05,0.926471,0.250288,97,ReLU(),189,0.987395,0.972369,0.926471,0.84314,0.973856,0.942921,0.970588,0.938679,True,0.040615999999999985,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9764145954265581,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
152,1426715,1527515,16076315,1389,False,5,5,90,5.4e-05,0.926471,0.246899,96,ReLU(),189,0.970588,0.935471,0.926471,0.837919,0.964052,0.921011,0.970588,0.938679,False,0.029411333333333307,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9566499235198301,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
1,1432799,1533599,16082399,1589,False,7,7,90,5.1e-05,0.926471,0.223547,97,ReLU(),189,0.97479,0.944667,0.926471,0.84314,0.964052,0.921311,0.970588,0.938679,True,0.03221266666666667,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9759050018886404,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
78,1438266,1539066,16087866,989,False,1,1,90,5.4e-05,0.926471,0.186542,94,ReLU(),189,0.97479,0.944855,0.926471,0.838462,0.964052,0.921311,0.970588,0.938679,False,0.03221266666666667,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9605292618379375,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
122,1443761,1544561,16093361,1189,False,3,3,90,5.1e-05,0.926471,0.175549,91,ReLU(),189,0.97479,0.944855,0.926471,0.838462,0.964052,0.921311,0.941176,0.871212,False,0.03221266666666667,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9516832139737483,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
32,1450014,1550814,16099614,1389,False,5,5,90,5.4e-05,0.911765,0.233936,96,ReLU(),189,0.983193,0.963168,0.911765,0.804824,0.96732,0.928231,0.970588,0.938679,False,0.04761866666666662,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9665898198821035,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
59,1455523,1556323,16105123,1489,False,6,6,90,5.3e-05,0.911765,0.215837,95,ReLU(),189,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,0.970588,0.938679,False,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9497532196566632,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
106,1460779,1561579,16110379,1289,False,4,4,90,5.1e-05,0.926471,0.153181,97,ReLU(),189,0.970588,0.935441,0.926471,0.837919,0.960784,0.913793,0.970588,0.938679,False,0.029411333333333307,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9578531036531435,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
552,1466902,1567702,16116502,1489,False,6,6,90,5e-05,0.911765,0.224842,83,ReLU(),189,0.970588,0.935441,0.911765,0.812404,0.957516,0.907147,0.941176,0.871212,False,0.0392153333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9138429641165164,Global,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
