,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
143,1414654,1515454,16064254,3322,False,1,1,23,7.4e-05,0.911765,0.296002,90,GELU(approximate=False),422,0.941176,0.87083,0.911765,0.812404,0.934641,0.857136,0.970588,0.938679,False,0.01960733333333331,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8888483547309712,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
227,1420441,1521241,16070041,3722,False,5,5,23,6.8e-05,0.897059,0.259913,84,GELU(approximate=False),422,0.941176,0.870458,0.897059,0.774559,0.931373,0.848947,0.941176,0.871212,False,0.029411333333333307,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8821977567620753,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
220,1426268,1527068,16075868,3222,False,0,0,23,7.1e-05,0.897059,0.286074,87,GELU(approximate=False),422,0.936975,0.861206,0.897059,0.774559,0.928105,0.841787,0.970588,0.938679,False,0.026610666666666633,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.876590085377733,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
123,1430417,1531217,16080017,3822,False,6,6,23,7.5e-05,0.955882,0.245651,87,GELU(approximate=False),422,0.936975,0.861206,0.955882,0.905068,0.941176,0.870772,0.941176,0.871212,True,0.012604666666666672,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8954899249616599,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
64,1434075,1534875,16083675,3522,False,3,3,23,7.9e-05,0.941176,0.252122,95,GELU(approximate=False),422,0.936975,0.861206,0.941176,0.874007,0.941176,0.870772,0.970588,0.938679,False,0.0028006666666666735,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8919560236505298,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
233,1440777,1541577,16090377,3822,False,6,6,23,7.2e-05,0.911765,0.254499,90,GELU(approximate=False),422,0.928571,0.842412,0.911765,0.806818,0.924837,0.834056,0.941176,0.871212,False,0.011203999999999992,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8823771408353814,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
85,1449981,1550781,16099581,3222,False,0,0,23,7.8e-05,0.882353,0.322361,89,GELU(approximate=False),422,0.953781,0.898794,0.882353,0.739045,0.937908,0.863295,0.970588,0.938679,True,0.04761866666666662,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.886330076427033,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
19,1450984,1551784,16100584,3522,False,3,3,23,8e-05,0.955882,0.204166,98,GELU(approximate=False),422,0.94958,0.889162,0.955882,0.905068,0.95098,0.892119,0.970588,0.938679,True,0.004201333333333353,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8954271191036848,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
64,1456704,1557504,16106304,3622,False,4,4,23,7.9e-05,0.941176,0.187886,91,GELU(approximate=False),422,0.936975,0.861217,0.941176,0.870603,0.941176,0.870481,0.970588,0.938679,True,0.0028006666666666735,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8901371518310436,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
326,1466226,1567026,16115826,3222,False,0,0,23,7.4e-05,0.897059,0.258274,96,GELU(approximate=False),422,0.941176,0.870405,0.897059,0.774559,0.931373,0.848677,0.941176,0.871212,False,0.029411333333333307,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8799533974950406,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
188,1467915,1568715,16117515,3222,False,0,0,23,6.9e-05,0.926471,0.248905,81,GELU(approximate=False),422,0.920168,0.823618,0.926471,0.837919,0.921569,0.826745,0.941176,0.871212,False,0.004202000000000039,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8737517438748128,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
365,1472842,1573642,16122442,3422,False,2,2,23,6.8e-05,0.911765,0.280614,93,GELU(approximate=False),422,0.911765,0.805045,0.911765,0.80647,0.911765,0.804824,0.970588,0.938679,False,0.0,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8679182094985495,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
106,1483139,1583939,16132739,3422,False,2,2,23,7.2e-05,0.867647,0.284374,83,GELU(approximate=False),422,0.94958,0.889018,0.867647,0.705248,0.931373,0.848598,0.970588,0.938679,False,0.054622000000000025,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8803692819754916,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
81,1485629,1586429,16135229,3622,False,4,4,23,7.3e-05,0.926471,0.213531,88,GELU(approximate=False),422,0.941176,0.87083,0.926471,0.837919,0.937908,0.863295,0.941176,0.871212,False,0.009803333333333311,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8828854738235048,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
