,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
136,1414568,1515368,16064168,3021,False,6,6,22,4e-05,0.911765,0.340623,28,SELU(),321,0.882353,0.73857,0.911765,0.80647,0.892157,0.760734,0.882353,0.757681,False,0.019607999999999997,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8177780501469056,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
123,1421697,1522497,16071297,2821,False,4,4,22,3.9e-05,0.926471,0.349559,23,SELU(),321,0.861345,0.691822,0.926471,0.838462,0.875817,0.724857,0.911765,0.812032,False,0.04341733333333334,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8309688727263813,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
69,1426781,1527581,16076381,2521,False,1,1,22,3.9e-05,0.911765,0.373571,22,SELU(),321,0.865546,0.701262,0.911765,0.812404,0.875817,0.725618,0.941176,0.871212,False,0.030812666666666672,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8302283587773294,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
355,1432027,1532827,16081627,2721,False,3,3,22,3.9e-05,0.897059,0.364389,26,SELU(),321,0.861345,0.691346,0.897059,0.771855,0.872549,0.716394,0.823529,0.632627,False,0.02380933333333335,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8015514293176554,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
172,1435733,1536533,16085333,2821,False,4,4,22,4.2e-05,0.897059,0.376633,24,SELU(),321,0.878151,0.731325,0.897059,0.774559,0.882353,0.739268,0.882353,0.757681,False,0.012605333333333357,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8191435948781121,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
154,1441441,1542241,16091041,2721,False,3,3,22,4.3e-05,0.897059,0.327173,29,SELU(),321,0.87395,0.719637,0.897059,0.771855,0.879085,0.731289,0.941176,0.871212,False,0.01540600000000003,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8222608408349058,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
85,1447053,1547853,16096653,2421,False,0,0,22,4.1e-05,0.867647,0.398978,18,SELU(),321,0.886555,0.748903,0.867647,0.705978,0.882353,0.739404,0.911765,0.812032,False,0.012605333333333357,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8375957070617508,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
22,1454765,1555565,16104365,2721,False,3,3,22,3.6e-05,0.926471,0.384776,17,SELU(),321,0.869748,0.710691,0.926471,0.84314,0.882353,0.74007,0.941176,0.871212,False,0.03781533333333339,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8448782101682638,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
43,1459712,1560512,16109312,2421,False,0,0,22,4.2e-05,0.897059,0.365076,21,SELU(),321,0.869748,0.714322,0.897059,0.774559,0.875817,0.727773,0.941176,0.871212,False,0.01820733333333339,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8313790773571659,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
143,1462316,1563116,16111916,2821,False,4,4,22,4.2e-05,0.897059,0.37627,25,SELU(),321,0.890756,0.75807,0.897059,0.774559,0.892157,0.760767,0.882353,0.757681,False,0.004202000000000039,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.827166643368888,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
