,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
287,1412918,1513718,16062518,3429,False,2,2,30,6.3e-05,0.911765,0.237701,84,GELU(approximate=False),429,0.92437,0.833545,0.911765,0.80647,0.921569,0.827489,0.941176,0.871212,False,0.008403333333333318,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8639979543547319,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
121,1418418,1519218,16068018,3829,False,6,6,30,6.6e-05,0.926471,0.248523,89,GELU(approximate=False),429,0.945378,0.88,0.926471,0.838462,0.944444,0.877912,0.941176,0.871212,True,0.012604666666666672,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.878078480904414,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
199,1426904,1527704,16076504,3229,False,0,0,30,7e-05,0.897059,0.285355,84,GELU(approximate=False),429,0.945378,0.88,0.897059,0.774559,0.934641,0.856524,0.970588,0.938679,False,0.03221266666666667,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8661238614844812,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
193,1428994,1529794,16078594,3829,False,6,6,30,6.8e-05,0.941176,0.240259,87,GELU(approximate=False),429,0.932773,0.851971,0.941176,0.874007,0.937908,0.863643,0.941176,0.871212,False,0.005602000000000033,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8782456956948296,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
112,1434932,1535732,16084532,3529,False,3,3,30,7.1e-05,0.941176,0.213354,83,GELU(approximate=False),429,0.953781,0.898329,0.941176,0.874007,0.95098,0.892226,0.970588,0.938679,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8779341070789209,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
199,1441347,1542147,16090947,3829,False,6,6,30,6.5e-05,0.911765,0.225346,85,GELU(approximate=False),429,0.932773,0.851793,0.911765,0.806818,0.934641,0.856044,0.941176,0.871212,False,0.015250666666666671,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8712287584440224,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
84,1448864,1549664,16098464,3829,False,6,6,30,7.4e-05,0.911765,0.299399,86,GELU(approximate=False),429,0.953781,0.898329,0.911765,0.812404,0.944444,0.877912,0.941176,0.871212,True,0.028010666666666628,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8742520286795262,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
97,1455199,1555999,16104799,3829,False,6,6,30,7e-05,0.882353,0.285469,88,GELU(approximate=False),429,0.94958,0.889189,0.882353,0.738934,0.934641,0.856116,0.970588,0.938679,True,0.04481799999999995,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8655556512910866,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
155,1458174,1558974,16107774,3629,False,4,4,30,6.9e-05,0.926471,0.205522,88,GELU(approximate=False),429,0.941176,0.870458,0.926471,0.838462,0.941176,0.870483,0.970588,0.938679,False,0.009803333333333311,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8751554297670524,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
194,1465836,1566636,16115436,3429,False,2,2,30,6.7e-05,0.911765,0.233887,85,GELU(approximate=False),429,0.94958,0.889189,0.911765,0.80647,0.941176,0.870772,0.970588,0.938679,True,0.025209999999999955,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8750137903111963,Global,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
