,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
35,1414907,1515707,16064507,1899,False,2,2,100,4.5e-05,0.926471,0.206274,58,LeakyReLU(negative_slope=0.01),299,0.957983,0.90763,0.926471,0.838462,0.95098,0.892226,0.970588,0.938679,False,0.02100799999999999,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9605701657634514,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
2,1421580,1522380,16071180,1899,False,2,2,100,4.7e-05,0.926471,0.231925,70,LeakyReLU(negative_slope=0.01),299,0.987395,0.972369,0.926471,0.84314,0.973856,0.942921,0.941176,0.871212,True,0.040615999999999985,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.970481867650733,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
3,1424795,1525595,16074395,2299,False,6,6,100,5e-05,0.955882,0.16024,95,LeakyReLU(negative_slope=0.01),299,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,0.970588,0.938679,False,0.015406666666666643,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9732587590284666,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
374,1432170,1532970,16081770,1699,False,0,0,100,4.4e-05,0.911765,0.276677,54,LeakyReLU(negative_slope=0.01),299,0.94958,0.889162,0.911765,0.80647,0.941176,0.870388,0.941176,0.871212,False,0.025209999999999955,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9485948252913239,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
5,1436592,1537392,16086192,2299,False,6,6,100,5.2e-05,0.955882,0.176936,98,LeakyReLU(negative_slope=0.01),299,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,False,0.018207333333333315,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.973564787476808,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
2,1439700,1540500,16089300,1999,False,3,3,100,4.6e-05,0.955882,0.159542,66,LeakyReLU(negative_slope=0.01),299,0.962185,0.91707,0.955882,0.902963,0.960784,0.913908,0.941176,0.871212,True,0.004201999999999965,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9713614643016324,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1449400,1550200,16099000,2399,False,7,7,100,5e-05,0.926471,0.245197,94,LeakyReLU(negative_slope=0.01),299,0.978992,0.953997,0.926471,0.838462,0.96732,0.928414,0.970588,0.938679,True,0.035013999999999955,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9735311018596006,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
5,1453131,1553931,16102731,1999,False,3,3,100,4.6e-05,0.941176,0.208714,67,LeakyReLU(negative_slope=0.01),299,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.941176,0.871212,True,0.019607999999999997,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9647493631464462,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
109,1460439,1561239,16110039,1799,False,1,1,100,5e-05,0.941176,0.222607,90,LeakyReLU(negative_slope=0.01),299,0.978992,0.953997,0.941176,0.870603,0.970588,0.935533,0.970588,0.938679,False,0.02521066666666664,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9684735397951427,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
115,1466307,1567107,16115907,1899,False,2,2,100,4.7e-05,0.926471,0.203269,71,LeakyReLU(negative_slope=0.01),299,0.970588,0.935441,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,False,0.029411333333333307,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9576034915529849,Global,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
