,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1416055,1516855,16065655,3459,False,2,2,60,5.9e-05,0.926471,0.211515,89,GELU(approximate=False),459,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,True,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.97383360952115,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1421411,1522211,16071011,1096,False,2,2,97,5e-05,0.926471,0.20453,89,ReLU(),196,0.983193,0.963168,0.926471,0.84314,0.973856,0.942921,0.970588,0.938679,True,0.03781466666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,1.0,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1426846,1527646,16076446,885,False,0,0,86,5.1e-05,0.941176,0.235708,89,ReLU(),185,0.987395,0.972369,0.941176,0.874007,0.977124,0.950004,0.970588,0.938679,True,0.030812666666666672,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9738396134768457,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1432540,1533340,16082140,3975,False,7,7,76,5.6e-05,0.926471,0.247344,87,GELU(approximate=False),475,0.970588,0.935441,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,True,0.029411333333333307,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9841654334608674,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1438432,1539232,16088032,1264,False,4,4,65,5.7e-05,0.926471,0.315306,86,ReLU(),164,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,1.0,1.0,True,0.035013999999999955,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9786384896501192,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1443965,1544765,16093565,988,False,1,1,89,5.2e-05,0.926471,0.173579,89,ReLU(),188,0.978992,0.953997,0.926471,0.838462,0.96732,0.928414,0.970588,0.938679,True,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9939382250957925,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1449215,1550015,16098815,3765,False,5,5,66,6e-05,0.926471,0.269008,89,GELU(approximate=False),465,0.97479,0.944855,0.926471,0.84314,0.964052,0.921765,0.970588,0.938679,True,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9724264821048294,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1453736,1554536,16103336,1981,False,3,3,82,5e-05,0.941176,0.18247,89,LeakyReLU(negative_slope=0.01),281,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9732957345440835,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1460670,1561470,16110270,1778,False,1,1,79,5.1e-05,0.941176,0.223457,89,LeakyReLU(negative_slope=0.01),278,0.983193,0.963168,0.941176,0.871212,0.977124,0.949835,0.970588,0.938679,True,0.028011333333333315,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9740504773726953,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1465528,1566328,16115128,2094,False,4,4,95,5.1e-05,0.941176,0.160025,88,LeakyReLU(negative_slope=0.01),294,0.97479,0.944855,0.941176,0.874007,0.96732,0.928801,0.970588,0.938679,True,0.022409333333333354,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9911254626731818,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1472772,1573572,16122372,1899,False,2,2,100,5e-05,0.882353,0.298605,89,LeakyReLU(negative_slope=0.01),299,0.983193,0.963168,0.882353,0.751068,0.960784,0.914742,1.0,1.0,True,0.06722666666666662,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9849830780454818,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1475434,1576234,16125034,1594,False,7,7,95,4.9e-05,0.955882,0.155365,88,ReLU(),194,0.97479,0.944667,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.012605333333333357,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9716292393324046,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1482030,1582830,16131630,3285,False,0,0,86,5.6e-05,0.926471,0.285928,89,GELU(approximate=False),485,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,True,0.03781466666666663,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9740504773726953,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1487645,1588445,16137245,2396,False,7,7,97,5.1e-05,0.941176,0.177622,89,LeakyReLU(negative_slope=0.01),296,0.978992,0.95392,0.941176,0.870603,0.970588,0.935415,0.970588,0.938679,True,0.02521066666666664,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9732957345440835,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1493750,1594550,16143350,1960,False,3,3,61,5.5e-05,0.926471,0.195856,89,LeakyReLU(negative_slope=0.01),260,0.970588,0.935741,0.926471,0.84314,0.964052,0.921765,1.0,1.0,True,0.029411333333333307,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9850607860611239,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1496182,1596982,16145782,1956,False,3,3,57,5.4e-05,0.955882,0.183951,89,LeakyReLU(negative_slope=0.01),256,0.970588,0.935471,0.955882,0.905068,0.96732,0.928231,0.970588,0.938679,True,0.009803999999999998,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9713306541638267,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1502733,1603533,16152333,2386,False,7,7,87,5.2e-05,0.955882,0.159723,89,LeakyReLU(negative_slope=0.01),286,0.978992,0.95392,0.955882,0.905068,0.973856,0.942668,0.970588,0.938679,True,0.015406666666666643,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9738376422118326,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1511303,1612103,16160903,1898,False,2,2,99,5e-05,0.911765,0.237923,88,LeakyReLU(negative_slope=0.01),298,0.983193,0.963203,0.911765,0.804824,0.96732,0.928245,0.970588,0.938679,True,0.04761866666666662,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9928416156428896,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1513953,1614753,16163553,5187,False,3,3,88,4.2e-05,0.776316,0.464608,89,Tanh(),687,0.793233,0.524929,0.776316,0.478157,0.789474,0.514208,0.815789,0.576804,True,0.011277999999999974,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9516201611715013,Individual,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
