,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1413984,1514784,16063584,1903,False,3,3,4,0.000116,0.897059,0.327551,81,LeakyReLU(negative_slope=0.01),203,0.920168,0.823826,0.897059,0.771855,0.915033,0.812311,0.970588,0.938679,True,0.015405999999999956,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9395957572576141,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1419406,1520206,16069006,3904,False,7,7,5,0.000109,0.897059,0.363222,82,GELU(approximate=False),404,0.928571,0.843417,0.897059,0.771855,0.921569,0.827489,0.970588,0.938679,True,0.02100799999999999,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9467671555633005,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1424091,1524891,16073691,3703,False,5,5,4,0.000121,0.911765,0.361377,90,GELU(approximate=False),403,0.928571,0.842412,0.911765,0.812404,0.924837,0.834634,0.970588,0.938679,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9402694772957836,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1428733,1529533,16078333,3607,False,4,4,8,0.000103,0.926471,0.312753,87,GELU(approximate=False),407,0.932773,0.851971,0.926471,0.838462,0.931373,0.848947,0.970588,0.938679,True,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9457134662363816,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1435357,1536157,16084957,3907,False,7,7,8,9.8e-05,0.941176,0.283626,87,GELU(approximate=False),407,0.92437,0.833113,0.941176,0.874007,0.931373,0.849414,0.970588,0.938679,True,0.011203999999999992,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9356951144176642,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1440570,1541370,16090170,1909,False,3,3,10,7.6e-05,0.955882,0.351489,94,LeakyReLU(negative_slope=0.01),209,0.941176,0.870458,0.955882,0.904776,0.947712,0.884919,0.970588,0.938679,True,0.009803999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9429686084860116,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9335893627706772,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1453623,1554423,16103223,1307,False,5,5,8,0.00011,0.955882,0.268294,95,ReLU(),107,0.920168,0.824351,0.955882,0.905068,0.931373,0.850086,0.970588,0.938679,True,0.02380933333333335,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9356951144176642,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1458348,1559148,16107948,3503,False,3,3,4,0.000128,0.941176,0.345442,95,GELU(approximate=False),403,0.92437,0.832995,0.941176,0.870603,0.928105,0.841324,0.970588,0.938679,True,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9449884916281022,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1462285,1563085,16111885,903,False,1,1,4,0.000107,0.926471,0.405382,88,ReLU(),103,0.932773,0.851727,0.926471,0.837919,0.931373,0.848598,0.941176,0.882735,True,0.004201333333333279,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9489212558931757,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1470696,1571496,16120296,1904,False,3,3,5,0.00014,0.897059,0.34438,96,LeakyReLU(negative_slope=0.01),204,0.932773,0.851971,0.897059,0.771855,0.924837,0.83425,0.941176,0.871212,True,0.023809333333333276,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9251866889595388,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1472958,1573758,16122558,3804,False,6,6,5,0.000113,0.926471,0.376047,88,GELU(approximate=False),404,0.928571,0.842661,0.926471,0.838462,0.928105,0.841375,0.970588,0.938679,True,0.001399999999999994,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9406373452760705,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1482533,1583333,16132133,3104,False,7,7,5,8.8e-05,0.838235,0.391699,67,SELU(),304,0.907563,0.796822,0.838235,0.642787,0.892157,0.76088,0.970588,0.938679,True,0.046218666666666706,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9196108981444326,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1486812,1587612,16136412,3805,False,6,6,6,8.5e-05,0.897059,0.355865,74,GELU(approximate=False),405,0.92437,0.834307,0.897059,0.771855,0.918301,0.820351,0.941176,0.871212,True,0.018207333333333315,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9191896018486658,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1490735,1591535,16140335,5406,False,6,6,7,7.1e-05,0.897059,0.362007,69,Tanh(),606,0.907563,0.795395,0.897059,0.771855,0.905229,0.79016,0.970588,0.938679,True,0.007002666666666639,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9187457891286488,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1495590,1596390,16145190,1602,False,0,0,3,0.000122,0.926471,0.470665,82,LeakyReLU(negative_slope=0.01),202,0.920168,0.826934,0.926471,0.838462,0.921569,0.828283,0.941176,0.882735,True,0.004202000000000039,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9243600448610284,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1502195,1602995,16151795,1209,False,4,4,10,9.3e-05,0.911765,0.270014,96,ReLU(),109,0.928571,0.842386,0.911765,0.804824,0.924837,0.834056,0.970588,0.938679,True,0.011203999999999992,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9241750128526715,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1510300,1611100,16159900,3406,False,2,2,7,9e-05,0.867647,0.358004,72,GELU(approximate=False),406,0.92437,0.834307,0.867647,0.705248,0.915033,0.812666,0.941176,0.871212,True,0.03781533333333339,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9317818386895649,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1516791,1617591,16166391,2306,False,7,7,7,8.6e-05,0.75,0.495862,95,LeakyReLU(negative_slope=0.01),206,0.800752,0.545827,0.75,0.419343,0.789474,0.51821,0.802632,0.546779,True,0.03383466666666668,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.924721420232565,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1523015,1623815,16172615,5502,False,7,7,3,0.000127,0.743421,0.506466,84,Tanh(),602,0.796992,0.533217,0.743421,0.413286,0.785088,0.505966,0.802632,0.546779,True,0.035714000000000024,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9536910035586009,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1527808,1628608,16177408,2904,False,5,5,5,8.2e-05,0.835526,0.430463,89,SELU(),304,0.770677,0.468831,0.835526,0.625925,0.78655,0.508136,0.802632,0.546779,True,0.0432326666666667,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.855680570784668,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1530180,1630980,16179780,2705,False,3,3,6,7.3e-05,0.822368,0.423046,96,SELU(),305,0.781955,0.495281,0.822368,0.593902,0.792398,0.520818,0.802632,0.544436,True,0.02694200000000002,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9476932125338564,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1534873,1635673,16184473,3503,False,3,3,4,0.000149,0.789474,0.437829,97,GELU(approximate=False),403,0.785714,0.509474,0.789474,0.515768,0.78655,0.510811,0.815789,0.579365,True,0.002506666666666657,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.9588428136738559,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1544710,1645510,16194310,2501,False,1,1,2,0.000141,0.756579,0.489832,89,SELU(),301,0.795113,0.529059,0.756579,0.427538,0.78655,0.506822,0.802632,0.544436,True,0.025689333333333304,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.8890348014394976,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
