,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1415448,1516248,16065048,805,False,0,0,6,0.000103,0.882353,0.334221,89,ReLU(),105,0.92437,0.832995,0.882353,0.751068,0.915033,0.812666,0.941176,0.871212,True,0.028011333333333315,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9320421696167785,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1419406,1520206,16069006,3904,False,7,7,5,0.000109,0.897059,0.363222,82,GELU(approximate=False),404,0.928571,0.843417,0.897059,0.771855,0.921569,0.827489,0.970588,0.938679,True,0.02100799999999999,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9396017866197943,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1424086,1524886,16073686,902,False,1,1,3,0.00013,0.911765,0.40147,89,ReLU(),102,0.928571,0.842661,0.911765,0.812404,0.924837,0.834059,0.941176,0.882735,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9367119645742392,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1430004,1530804,16079604,1404,False,6,6,5,0.00012,0.911765,0.338118,89,ReLU(),104,0.928571,0.842751,0.911765,0.80647,0.924837,0.834634,0.941176,0.871212,True,0.011203999999999992,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9519550548561654,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1435357,1536157,16084957,3907,False,7,7,8,9.8e-05,0.941176,0.283626,87,GELU(approximate=False),407,0.92437,0.833113,0.941176,0.874007,0.931373,0.849414,0.970588,0.938679,True,0.011203999999999992,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.943349867060732,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1441141,1541941,16090741,3605,False,4,4,6,0.000111,0.882353,0.33689,87,GELU(approximate=False),405,0.903361,0.78603,0.882353,0.742424,0.898693,0.775886,0.941176,0.882735,True,0.014005333333333278,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9300971421214044,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.940157921027156,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1453803,1554603,16103403,1709,False,1,1,10,9.3e-05,0.897059,0.298201,85,LeakyReLU(negative_slope=0.01),209,0.936975,0.861206,0.897059,0.771855,0.928105,0.841459,0.941176,0.871212,True,0.026610666666666633,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9215867438429494,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1460700,1561500,16110300,3507,False,3,3,8,9.3e-05,0.867647,0.32668,89,GELU(approximate=False),407,0.911765,0.8049,0.867647,0.705978,0.901961,0.783019,0.970588,0.938679,True,0.029412000000000067,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9276784896571629,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1462285,1563085,16111885,903,False,1,1,4,0.000107,0.926471,0.405382,88,ReLU(),103,0.932773,0.851727,0.926471,0.837919,0.931373,0.848598,0.941176,0.882735,True,0.004201333333333279,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9555433402679024,Individual,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
