,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1412191,1512991,16061791,2161,False,5,5,62,3.6e-05,0.926471,0.539429,5,LeakyReLU(negative_slope=0.01),261,0.92437,0.833545,0.926471,0.837919,0.931373,0.849414,0.970588,0.938679,True,0.004668666666666654,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9337046701022274,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1420101,1520901,16069701,842,False,0,0,43,3.6e-05,0.897059,0.576719,4,ReLU(),142,0.936975,0.862484,0.897059,0.774559,0.924837,0.837018,0.970588,0.938679,True,0.026610666666666633,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9216742561687613,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1424720,1525520,16074320,3790,False,5,5,91,3.5e-05,0.941176,0.509107,6,GELU(approximate=False),490,0.920168,0.824351,0.941176,0.870603,0.924837,0.834634,0.882353,0.738934,True,0.01400533333333335,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9212199667425284,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1430318,1531118,16079918,1041,False,2,2,42,3.4e-05,0.926471,0.523482,8,ReLU(),141,0.907563,0.796654,0.926471,0.838462,0.908497,0.797586,0.882353,0.757681,True,0.012605333333333357,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9108471189182369,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1435342,1536142,16084942,1393,False,5,5,94,3.6e-05,0.911765,0.482221,4,ReLU(),193,0.89916,0.777343,0.911765,0.804824,0.895425,0.768427,0.882353,0.757681,True,0.010893333333333347,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8967231723345499,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1444143,1544943,16093743,3760,False,5,5,61,3.5e-05,0.955882,0.574218,3,GELU(approximate=False),460,0.89916,0.786115,0.955882,0.905068,0.918301,0.826052,0.970588,0.936382,True,0.0378146666666667,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9176591407868727,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1447100,1547900,16096700,3666,False,4,4,67,3.5e-05,0.926471,0.524881,7,GELU(approximate=False),466,0.907563,0.796654,0.926471,0.838462,0.915033,0.812362,0.911765,0.812032,True,0.012605333333333357,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.913544986830259,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1453797,1554597,16103397,3991,False,7,7,92,3.6e-05,0.941176,0.557762,3,GELU(approximate=False),491,0.903361,0.78603,0.941176,0.870603,0.915033,0.812146,0.852941,0.685385,True,0.025210000000000028,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9113649744073998,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1459667,1560467,16109267,3477,False,2,2,78,3.6e-05,0.926471,0.54848,4,GELU(approximate=False),477,0.89916,0.77656,0.926471,0.84314,0.911765,0.805074,0.882353,0.742424,True,0.01820733333333339,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9045414265980177,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
0,1464906,1565706,16114506,1766,False,1,1,67,3.6e-05,0.926471,0.479956,7,LeakyReLU(negative_slope=0.01),266,0.89916,0.77656,0.926471,0.838462,0.905229,0.790294,0.941176,0.871212,True,0.01820733333333339,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9002818358377437,Individual,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
