,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1416055,1516855,16065655,3459,False,2,2,60,5.9e-05,0.926471,0.211515,89,GELU(approximate=False),459,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,True,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9754814780966745,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1419992,1520792,16069592,3885,False,6,6,86,5.7e-05,0.941176,0.222886,89,GELU(approximate=False),485,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.941176,0.871212,True,0.02521066666666664,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9841501900425632,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1424382,1525182,16073982,966,False,1,1,67,5.5e-05,0.955882,0.142762,88,ReLU(),166,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,True,0.012605333333333357,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9817630390728975,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1431854,1532654,16081454,1683,False,0,0,84,5.2e-05,0.941176,0.233976,87,LeakyReLU(negative_slope=0.01),283,0.97479,0.944667,0.941176,0.874007,0.96732,0.928414,0.941176,0.871212,True,0.022409333333333354,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9829177923359999,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1437523,1538323,16087123,3692,False,4,4,93,5.5e-05,0.941176,0.280535,89,GELU(approximate=False),492,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9852100189068578,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1441808,1542608,16091408,3591,False,3,3,92,5.4e-05,0.941176,0.169611,89,GELU(approximate=False),491,0.966387,0.926652,0.941176,0.871212,0.960784,0.913908,0.970588,0.938679,True,0.016807333333333323,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9769810159650308,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1449215,1550015,16098815,3765,False,5,5,66,6e-05,0.926471,0.269008,89,GELU(approximate=False),465,0.97479,0.944855,0.926471,0.84314,0.964052,0.921765,0.970588,0.938679,True,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9822366235367458,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1453736,1554536,16103336,1981,False,3,3,82,5e-05,0.941176,0.18247,89,LeakyReLU(negative_slope=0.01),281,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.973882718061873,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1456789,1557589,16106389,3281,False,0,0,82,5.7e-05,0.970588,0.115764,88,GELU(approximate=False),481,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9883222561395354,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1462260,1563060,16111860,2368,False,7,7,69,5.2e-05,0.955882,0.169912,88,LeakyReLU(negative_slope=0.01),268,0.962185,0.91707,0.955882,0.902963,0.960784,0.913908,0.941176,0.871212,True,0.004201999999999965,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9763290280468513,Individual,TTVHC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
