,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1415251,1516051,16064851,3489,False,2,2,90,5.9e-05,0.941176,0.221944,96,GELU(approximate=False),489,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9803546424663148,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1420355,1521155,16069955,3869,False,6,6,70,5.9e-05,0.941176,0.208177,98,GELU(approximate=False),469,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.941176,0.871212,True,0.028011333333333315,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9852937060099731,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1422887,1523687,16072487,3365,False,1,1,66,6.1e-05,0.970588,0.118382,99,GELU(approximate=False),465,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9888247805697373,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1432493,1533293,16082093,3937,False,7,7,38,7e-05,0.926471,0.214738,98,GELU(approximate=False),437,0.970588,0.935441,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,True,0.029411333333333307,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9731472181034891,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1436579,1537379,16086179,3891,False,6,6,92,5.9e-05,0.955882,0.186146,98,GELU(approximate=False),491,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,True,0.018207333333333315,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9939719143998911,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1442975,1543775,16092575,1998,False,3,3,99,5.1e-05,0.941176,0.186411,98,LeakyReLU(negative_slope=0.01),298,0.978992,0.953997,0.941176,0.870603,0.973856,0.942668,0.941176,0.871212,True,0.02521066666666664,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9852745906005239,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1449716,1550516,16099316,2199,False,5,5,100,5.3e-05,0.926471,0.245794,99,LeakyReLU(negative_slope=0.01),299,0.987395,0.972369,0.926471,0.84314,0.973856,0.942921,0.970588,0.938679,True,0.040615999999999985,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9875791019989805,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1454057,1554857,16103657,1399,False,5,5,100,5.2e-05,0.941176,0.188719,99,ReLU(),199,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,True,0.028011333333333315,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9753692759792396,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1457149,1557949,16106749,3391,False,1,1,92,5.8e-05,0.970588,0.206916,98,GELU(approximate=False),491,0.97479,0.944855,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,True,0.004357333333333324,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9888970151679608,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1463345,1564145,16112945,2069,False,4,4,70,5.3e-05,0.955882,0.152873,97,LeakyReLU(negative_slope=0.01),269,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.941176,0.871212,True,0.009803999999999998,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9807393273248777,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1467801,1568601,16117401,2186,False,5,5,87,5.4e-05,0.970588,0.137067,98,LeakyReLU(negative_slope=0.01),286,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9885832603598229,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1473492,1574292,16123092,1384,False,5,5,85,5.3e-05,0.970588,0.138569,98,ReLU(),184,0.97479,0.944667,0.970588,0.936382,0.973856,0.942668,0.970588,0.938679,True,0.002801333333333359,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.984773978170208,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1481835,1582635,16131435,1499,False,6,6,100,5.2e-05,0.926471,0.234404,99,ReLU(),199,0.978992,0.953997,0.926471,0.840953,0.96732,0.928245,0.970588,0.938679,True,0.035013999999999955,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9856605118712526,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1484519,1585319,16134119,3577,False,3,3,78,6e-05,0.970588,0.158947,98,GELU(approximate=False),477,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9912504476722688,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1490662,1591462,16140262,3682,False,4,4,83,5.7e-05,0.970588,0.183463,99,GELU(approximate=False),482,0.978992,0.953997,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,True,0.005602666666666645,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9898344806864717,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
0,1497691,1598491,16147291,1099,False,2,2,100,5.1e-05,0.955882,0.219346,97,ReLU(),199,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9899501332680861,Individual,TTVHE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', 1)]"
