,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1412898,1513698,16062498,2500,False,1,1,1,0.000324,0.882353,0.392626,57,SELU(),300,0.869748,0.712758,0.882353,0.742652,0.872549,0.719401,0.882353,0.742424,True,0.008403333333333393,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8469906814239947,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1419404,1520204,16069004,3200,False,0,0,1,0.000423,0.838235,0.45187,84,GELU(approximate=False),400,0.869748,0.714084,0.838235,0.642787,0.862745,0.698297,0.852941,0.707257,True,0.021008666666666675,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8409411677753301,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1427875,1528675,16077475,2600,False,2,2,1,0.000389,0.941176,0.438915,78,SELU(),300,0.865546,0.707157,0.941176,0.874007,0.882353,0.744881,0.911765,0.804824,True,0.050419999999999986,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.877664382471873,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1431717,1532517,16081317,2700,False,3,3,1,0.00035,0.882353,0.420446,65,SELU(),300,0.84874,0.663413,0.882353,0.751068,0.856209,0.682115,0.882353,0.742424,True,0.02240866666666667,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8398381714409596,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1434244,1535044,16083844,0,False,0,0,1,0.000327,0.897059,0.397359,62,Identity(),0,0.890756,0.75807,0.897059,0.772875,0.892157,0.761343,0.882353,0.757681,True,0.004202000000000039,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.868266564855737,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1443903,1544703,16093503,2900,False,5,5,1,0.000395,0.838235,0.438397,96,SELU(),300,0.890756,0.763574,0.838235,0.637397,0.879085,0.734902,0.941176,0.871212,True,0.035014000000000024,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8579385004802749,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1446393,1547193,16095993,900,False,1,1,1,0.0004,0.852941,0.404379,70,ReLU(),100,0.865546,0.703477,0.852941,0.678521,0.862745,0.697807,0.882353,0.738934,True,0.008403333333333393,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8524179991792504,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1451836,1552636,16101436,1900,False,3,3,1,0.000345,0.867647,0.427503,74,LeakyReLU(negative_slope=0.01),200,0.852941,0.682459,0.867647,0.720325,0.856209,0.690849,0.882353,0.738934,True,0.009803999999999998,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8122301464818854,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1456486,1557286,16106086,3100,False,7,7,1,0.000453,0.882353,0.412933,92,SELU(),300,0.886555,0.749791,0.882353,0.742652,0.885621,0.748113,0.911765,0.804824,True,0.0028013333333332855,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8729458940279523,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1462750,1563550,16112350,1500,False,7,7,1,0.000391,0.852941,0.41853,99,ReLU(),100,0.857143,0.694645,0.852941,0.678521,0.862745,0.704857,0.882353,0.738934,True,0.0065360000000000236,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.839646591048826,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
0,1471643,1572443,16121243,1800,False,2,2,1,0.000326,0.838235,0.437266,84,LeakyReLU(negative_slope=0.01),200,0.890756,0.763574,0.838235,0.64611,0.879085,0.737867,0.882353,0.738934,True,0.035014000000000024,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.850730067850837,Individual,TTVHM,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', 1)]"
