,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1414192,1514992,16063792,3807,False,6,6,8,9.1e-05,0.941176,0.277227,85,GELU(approximate=False),407,0.915966,0.814254,0.941176,0.874007,0.921569,0.827049,0.911765,0.804824,True,0.01680666666666671,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9293270911308673,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1419070,1519870,16068670,3414,False,2,2,15,8.7e-05,0.926471,0.260714,84,GELU(approximate=False),414,0.953781,0.898794,0.926471,0.84314,0.947712,0.886,0.970588,0.938679,True,0.01820666666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9222507707921983,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1424086,1524886,16073686,902,False,1,1,3,0.00013,0.911765,0.40147,89,ReLU(),102,0.928571,0.842661,0.911765,0.812404,0.924837,0.834059,0.941176,0.882735,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9289697870033529,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1428733,1529533,16078333,3607,False,4,4,8,0.000103,0.926471,0.312753,87,GELU(approximate=False),407,0.932773,0.851971,0.926471,0.838462,0.931373,0.848947,0.970588,0.938679,True,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9412590829208177,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1435357,1536157,16084957,3907,False,7,7,8,9.8e-05,0.941176,0.283626,87,GELU(approximate=False),407,0.92437,0.833113,0.941176,0.874007,0.931373,0.849414,0.970588,0.938679,True,0.011203999999999992,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.935173816866811,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1440406,1541206,16090006,3813,False,6,6,14,9e-05,0.911765,0.243485,88,GELU(approximate=False),413,0.92437,0.833113,0.911765,0.806818,0.921569,0.826745,0.941176,0.871212,True,0.008403333333333318,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9118022442533539,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9319178668435035,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1453803,1554603,16103403,1709,False,1,1,10,9.3e-05,0.897059,0.298201,85,LeakyReLU(negative_slope=0.01),209,0.936975,0.861206,0.897059,0.771855,0.928105,0.841459,0.941176,0.871212,True,0.026610666666666633,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9132068717050741,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1460789,1561589,16110389,1904,False,3,3,5,0.000123,0.955882,0.314462,85,LeakyReLU(negative_slope=0.01),204,0.911765,0.805284,0.955882,0.902963,0.921569,0.827049,0.911765,0.804824,True,0.029411333333333307,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9281074623087772,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1462285,1563085,16111885,903,False,1,1,4,0.000107,0.926471,0.405382,88,ReLU(),103,0.932773,0.851727,0.926471,0.837919,0.931373,0.848598,0.941176,0.882735,True,0.004201333333333279,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.941697632487696,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1469255,1570055,16118855,3205,False,0,0,6,0.000114,0.926471,0.274438,88,GELU(approximate=False),405,0.907563,0.795533,0.926471,0.837919,0.911765,0.804971,0.882353,0.757681,True,0.012605333333333357,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9177707919579933,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1473860,1574660,16123460,3707,False,5,5,8,0.000101,0.941176,0.293884,87,GELU(approximate=False),407,0.932773,0.851793,0.941176,0.874007,0.934641,0.855904,0.941176,0.871212,True,0.005602000000000033,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9337671529514564,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1478886,1579686,16128486,3407,False,2,2,8,0.000101,0.911765,0.306443,87,GELU(approximate=False),407,0.920168,0.823618,0.911765,0.804824,0.918301,0.819442,0.911765,0.812032,True,0.005601999999999959,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9277965571842316,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1486811,1587611,16136411,1005,False,2,2,6,9.8e-05,0.897059,0.355984,89,ReLU(),105,0.92437,0.832995,0.897059,0.771855,0.918301,0.819442,0.911765,0.812032,True,0.018207333333333315,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9181686479235694,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1493844,1594644,16143444,3804,False,6,6,5,9.3e-05,0.882353,0.43089,88,GELU(approximate=False),404,0.928571,0.846574,0.882353,0.742424,0.918301,0.823507,0.911765,0.831209,True,0.03081199999999999,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9099464060022833,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1497870,1598670,16147470,2011,False,4,4,12,8.1e-05,0.911765,0.266782,89,LeakyReLU(negative_slope=0.01),211,0.945378,0.880603,0.911765,0.80647,0.937908,0.864194,0.941176,0.871212,True,0.02240866666666667,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9276946119595417,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1502750,1603550,16152350,906,False,1,1,7,8.8e-05,0.926471,0.274019,86,ReLU(),106,0.903361,0.785974,0.926471,0.838462,0.911765,0.804857,0.911765,0.812032,True,0.015406666666666716,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9074469788591761,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1507736,1608536,16157336,1309,False,5,5,10,8.5e-05,0.897059,0.305905,87,ReLU(),109,0.92437,0.833113,0.897059,0.774559,0.918301,0.819854,0.941176,0.871212,True,0.018207333333333315,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9177739923083548,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1517279,1618079,16166879,405,False,4,4,6,7.7e-05,0.842105,0.419056,89,Identity(),5,0.770677,0.468831,0.842105,0.639789,0.78655,0.506822,0.776316,0.480384,True,0.0476186666666667,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9214756268301338,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1521162,1621962,16170762,3609,False,4,4,10,7.8e-05,0.815789,0.429602,88,GELU(approximate=False),409,0.787594,0.509578,0.815789,0.590769,0.795322,0.530245,0.75,0.422734,True,0.018796666666666646,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9453397893968842,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1527302,1628102,16176902,3605,False,4,4,6,9.6e-05,0.828947,0.405311,88,GELU(approximate=False),405,0.776316,0.484757,0.828947,0.609943,0.789474,0.516529,0.776316,0.478157,True,0.035087333333333325,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.8693947805879364,Individual,TTVHNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
