,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1416055,1516855,16065655,3459,False,2,2,60,5.9e-05,0.926471,0.211515,89,GELU(approximate=False),459,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,True,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9702097922644433,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1420011,1520811,16069611,3894,False,6,6,95,5.6e-05,0.941176,0.205243,89,GELU(approximate=False),494,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9858346804614679,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1424382,1525182,16073982,966,False,1,1,67,5.5e-05,0.955882,0.142762,88,ReLU(),166,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,True,0.012605333333333357,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9740067663319255,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1432540,1533340,16082140,3975,False,7,7,76,5.6e-05,0.926471,0.247344,87,GELU(approximate=False),475,0.970588,0.935441,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,True,0.029411333333333307,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9743931094463485,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1437523,1538323,16087123,3692,False,4,4,93,5.5e-05,0.941176,0.280535,89,GELU(approximate=False),492,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.975863304968356,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1441808,1542608,16091408,3591,False,3,3,92,5.4e-05,0.941176,0.169611,89,GELU(approximate=False),491,0.966387,0.926652,0.941176,0.871212,0.960784,0.913908,0.970588,0.938679,True,0.016807333333333323,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.979442025440881,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1449215,1550015,16098815,3765,False,5,5,66,6e-05,0.926471,0.269008,89,GELU(approximate=False),465,0.97479,0.944855,0.926471,0.84314,0.964052,0.921765,0.970588,0.938679,True,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9742944736363808,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1453736,1554536,16103336,1981,False,3,3,82,5e-05,0.941176,0.18247,89,LeakyReLU(negative_slope=0.01),281,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9691143655909857,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1456789,1557589,16106389,3281,False,0,0,82,5.7e-05,0.970588,0.115764,88,GELU(approximate=False),481,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9772836855701509,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1465528,1566328,16115128,2094,False,4,4,95,5.1e-05,0.941176,0.160025,88,LeakyReLU(negative_slope=0.01),294,0.97479,0.944855,0.941176,0.874007,0.96732,0.928801,0.970588,0.938679,True,0.022409333333333354,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9769932164684999,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1467807,1568607,16117407,2198,False,5,5,99,4.9e-05,0.970588,0.15056,87,LeakyReLU(negative_slope=0.01),298,0.97479,0.944855,0.970588,0.936382,0.973856,0.942921,0.970588,0.938679,True,0.002801333333333359,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9756783090617749,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1473365,1574165,16122965,3998,False,7,7,99,5.1e-05,0.970588,0.115499,88,GELU(approximate=False),498,0.966387,0.926243,0.970588,0.936382,0.96732,0.928414,0.970588,0.938679,True,0.0028006666666666735,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9722166606343127,Individual,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
