,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1413984,1514784,16063584,1903,False,3,3,4,0.000116,0.897059,0.327551,81,LeakyReLU(negative_slope=0.01),203,0.920168,0.823826,0.897059,0.771855,0.915033,0.812311,0.970588,0.938679,True,0.015405999999999956,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9201287546455246,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1419070,1519870,16068670,3414,False,2,2,15,8.7e-05,0.926471,0.260714,84,GELU(approximate=False),414,0.953781,0.898794,0.926471,0.84314,0.947712,0.886,0.970588,0.938679,True,0.01820666666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9293733407725843,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1424086,1524886,16073686,902,False,1,1,3,0.00013,0.911765,0.40147,89,ReLU(),102,0.928571,0.842661,0.911765,0.812404,0.924837,0.834059,0.941176,0.882735,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9253972452257666,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1428733,1529533,16078333,3607,False,4,4,8,0.000103,0.926471,0.312753,87,GELU(approximate=False),407,0.932773,0.851971,0.926471,0.838462,0.931373,0.848947,0.970588,0.938679,True,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9466096225557105,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1435357,1536157,16084957,3907,False,7,7,8,9.8e-05,0.941176,0.283626,87,GELU(approximate=False),407,0.92437,0.833113,0.941176,0.874007,0.931373,0.849414,0.970588,0.938679,True,0.011203999999999992,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9379715213905853,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1440406,1541206,16090006,3813,False,6,6,14,9e-05,0.911765,0.243485,88,GELU(approximate=False),413,0.92437,0.833113,0.911765,0.806818,0.921569,0.826745,0.941176,0.871212,True,0.008403333333333318,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9172047762256983,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9351643887248984,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1453803,1554603,16103403,1709,False,1,1,10,9.3e-05,0.897059,0.298201,85,LeakyReLU(negative_slope=0.01),209,0.936975,0.861206,0.897059,0.771855,0.928105,0.841459,0.941176,0.871212,True,0.026610666666666633,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9125127843889185,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1459973,1560773,16109573,1212,False,4,4,13,8.3e-05,0.955882,0.22393,88,ReLU(),112,0.92437,0.832995,0.955882,0.905068,0.931373,0.848677,0.941176,0.871212,True,0.02100799999999999,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9203976869577631,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1462285,1563085,16111885,903,False,1,1,4,0.000107,0.926471,0.405382,88,ReLU(),103,0.932773,0.851727,0.926471,0.837919,0.931373,0.848598,0.941176,0.882735,True,0.004201333333333279,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9433277099987633,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1467328,1568128,16116928,1612,False,0,0,13,8.4e-05,0.926471,0.265975,84,LeakyReLU(negative_slope=0.01),212,0.928571,0.842412,0.926471,0.837919,0.928105,0.841324,0.970588,0.938679,True,0.001399999999999994,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9189129297881224,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1472958,1573758,16122558,3804,False,6,6,5,0.000113,0.926471,0.376047,88,GELU(approximate=False),404,0.928571,0.842661,0.926471,0.838462,0.928105,0.841375,0.970588,0.938679,True,0.001399999999999994,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9334961764877531,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1480804,1581604,16130404,2011,False,4,4,12,8.8e-05,0.897059,0.370389,87,LeakyReLU(negative_slope=0.01),211,0.932773,0.851971,0.897059,0.774559,0.924837,0.834634,0.941176,0.871212,True,0.023809333333333276,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9191297210282383,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1485507,1586307,16135107,3512,False,3,3,13,8.3e-05,0.911765,0.248285,89,GELU(approximate=False),412,0.92437,0.833113,0.911765,0.80647,0.924837,0.83425,0.941176,0.882735,True,0.008714666666666648,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9116035990500136,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1490248,1591048,16139848,3918,False,7,7,19,7.3e-05,0.926471,0.261918,85,GELU(approximate=False),418,0.932773,0.851727,0.926471,0.84314,0.931373,0.848947,0.970588,0.938679,True,0.004201333333333279,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9039096578993694,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1497870,1598670,16147470,2011,False,4,4,12,8.1e-05,0.911765,0.266782,89,LeakyReLU(negative_slope=0.01),211,0.945378,0.880603,0.911765,0.80647,0.937908,0.864194,0.941176,0.871212,True,0.02240866666666667,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9243569714271673,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1504190,1604990,16153790,1708,False,1,1,9,9.4e-05,0.941176,0.258452,84,LeakyReLU(negative_slope=0.01),208,0.89916,0.776801,0.941176,0.874007,0.908497,0.79749,0.970588,0.938679,True,0.0280106666666667,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9096691588486217,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1507736,1608536,16157336,1309,False,5,5,10,8.5e-05,0.897059,0.305905,87,ReLU(),109,0.92437,0.833113,0.897059,0.774559,0.918301,0.819854,0.941176,0.871212,True,0.018207333333333315,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9225092342439348,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1517442,1618242,16167042,2808,False,4,4,9,6e-05,0.848684,0.418694,78,SELU(),308,0.766917,0.460581,0.848684,0.655928,0.785088,0.503532,0.802632,0.544436,True,0.054511333333333356,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.8990532756859947,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1518338,1619138,16167938,4802,False,0,0,3,0.000122,0.789474,0.448393,85,Tanh(),602,0.781955,0.495824,0.789474,0.515768,0.783626,0.500261,0.802632,0.544436,True,0.005012666666666703,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9381009862251688,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1527808,1628608,16177408,2904,False,5,5,5,8.2e-05,0.835526,0.430463,89,SELU(),304,0.770677,0.468831,0.835526,0.625925,0.78655,0.508136,0.802632,0.546779,True,0.0432326666666667,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.8636863996955125,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1534043,1634843,16183643,2505,False,1,1,6,6.3e-05,0.868421,0.380672,89,SELU(),305,0.757519,0.43776,0.868421,0.701676,0.782164,0.497495,0.789474,0.51382,True,0.07393466666666663,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9292728904901628,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1538093,1638893,16187693,2105,False,5,5,6,9.3e-05,0.815789,0.432418,84,LeakyReLU(negative_slope=0.01),205,0.781955,0.497035,0.815789,0.577791,0.789474,0.515062,0.789474,0.51821,True,0.02255600000000002,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.9349288812493589,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1541248,1642048,16190848,1505,False,7,7,6,8.9e-05,0.802632,0.465624,83,ReLU(),105,0.793233,0.524338,0.802632,0.544211,0.795322,0.528155,0.789474,0.512022,True,0.006266000000000031,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.8787731699253333,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1549628,1650428,16199228,802,False,0,0,3,0.000136,0.815789,0.473028,83,ReLU(),102,0.778196,0.489562,0.815789,0.584109,0.78655,0.510811,0.776316,0.484757,True,0.02506199999999999,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.9245740320298277,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1555791,1656591,16205391,5006,False,2,2,7,8.1e-05,0.861842,0.399273,87,Tanh(),606,0.766917,0.462184,0.861842,0.68768,0.789474,0.514622,0.789474,0.51382,True,0.06328333333333336,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.93454612558496,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1559574,1660374,16209174,5505,False,7,7,6,8.1e-05,0.809211,0.447934,87,Tanh(),605,0.783835,0.505518,0.809211,0.567732,0.790936,0.52314,0.776316,0.484757,True,0.016917333333333378,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.9317836696382737,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1566690,1667490,16216290,4805,False,0,0,6,8.7e-05,0.809211,0.490165,89,Tanh(),605,0.774436,0.485129,0.809211,0.560395,0.785088,0.506524,0.789474,0.511593,True,0.023183333333333334,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.9305653988964034,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1572894,1673694,16222494,805,False,0,0,6,8.5e-05,0.815789,0.450164,87,ReLU(),105,0.778196,0.486827,0.815789,0.577791,0.78655,0.507235,0.789474,0.511593,True,0.02506199999999999,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.9380556586170566,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1575258,1676058,16224858,3002,False,6,6,3,0.000137,0.796053,0.440677,88,SELU(),302,0.781955,0.49641,0.796053,0.530353,0.785088,0.50397,0.802632,0.546779,True,0.009398666666666703,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.9363382728044425,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1584556,1685356,16234156,1508,False,7,7,9,8.5e-05,0.828947,0.440035,88,ReLU(),108,0.778196,0.492884,0.828947,0.613943,0.789474,0.520095,0.789474,0.51821,True,0.033833999999999996,diabetes,12,exp0090_politica_1_oracle_1m1l,,,0.936229977081295,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1587303,1688103,16236903,3319,False,1,1,20,6.6e-05,0.815789,0.465623,86,GELU(approximate=False),419,0.789474,0.516756,0.815789,0.576461,0.795322,0.529332,0.776316,0.484757,True,0.017543333333333317,diabetes,3,exp0090_politica_1_oracle_1m1l,,,0.8343732126096643,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1594927,1695727,16244527,5211,False,4,4,12,7.1e-05,0.822368,0.424613,81,Tanh(),611,0.780075,0.492914,0.822368,0.593902,0.790936,0.519214,0.802632,0.546779,True,0.02819533333333335,diabetes,15,exp0090_politica_1_oracle_1m1l,,,0.8727984225570884,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1596209,1697009,16245809,1706,False,1,1,7,9.5e-05,0.789474,0.477214,85,LeakyReLU(negative_slope=0.01),206,0.787594,0.512005,0.789474,0.51821,0.788012,0.513371,0.802632,0.546779,True,0.0012533333333333285,diabetes,1,exp0090_politica_1_oracle_1m1l,,,0.941125510292503,Individual,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
