,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1413852,1514652,16063452,2284,False,6,6,85,4.8e-05,0.941176,0.208285,75,LeakyReLU(negative_slope=0.01),284,0.962185,0.916885,0.941176,0.874007,0.957516,0.906768,0.941176,0.871212,True,0.014005999999999963,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9680692365500019,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1420004,1520804,16069604,3891,False,6,6,92,5.2e-05,0.941176,0.218386,83,GELU(approximate=False),491,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.941176,0.871212,True,0.02521066666666664,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.972042408280071,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1424763,1525563,16074363,2282,False,6,6,83,4.9e-05,0.955882,0.165187,83,LeakyReLU(negative_slope=0.01),282,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,0.970588,0.938679,True,0.015406666666666643,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9744130561627692,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1429830,1530630,16079430,2292,False,6,6,93,5e-05,0.955882,0.189977,76,LeakyReLU(negative_slope=0.01),292,0.970588,0.935441,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.009803999999999998,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9766378768574475,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1435190,1535990,16084790,1187,False,3,3,88,4.6e-05,0.955882,0.205841,67,ReLU(),187,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.970588,0.938679,True,0.009803999999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9766369408136593,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1442975,1543775,16092575,1998,False,3,3,99,5.1e-05,0.941176,0.186411,98,LeakyReLU(negative_slope=0.01),298,0.978992,0.953997,0.941176,0.870603,0.973856,0.942668,0.941176,0.871212,True,0.02521066666666664,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9717197800558297,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1449400,1550200,16099000,2399,False,7,7,100,5e-05,0.926471,0.245197,94,LeakyReLU(negative_slope=0.01),299,0.978992,0.953997,0.926471,0.838462,0.96732,0.928414,0.970588,0.938679,True,0.035013999999999955,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9735311018596006,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1454045,1554845,16103645,1193,False,3,3,94,5.1e-05,0.941176,0.187274,90,ReLU(),193,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,True,0.028011333333333315,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.965717075220863,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1457151,1557951,16106751,1696,False,0,0,97,5e-05,0.970588,0.157172,82,LeakyReLU(negative_slope=0.01),296,0.97479,0.944855,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,True,0.004357333333333324,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9786298689141079,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1462715,1563515,16112315,1296,False,4,4,97,4.6e-05,0.970588,0.159712,63,ReLU(),196,0.962185,0.91707,0.970588,0.936382,0.964052,0.921311,0.941176,0.871212,True,0.005602000000000033,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9751573071381865,Individual,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
