,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
153,1416612,1517412,16066212,3253,False,0,0,54,5.8e-05,0.897059,0.232893,88,GELU(approximate=False),453,0.970588,0.935471,0.897059,0.774559,0.954248,0.899401,0.970588,0.938679,False,0.049019333333333304,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9628586721582395,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
117,1421067,1521867,16070667,3675,False,4,4,76,5.3e-05,0.926471,0.242688,71,GELU(approximate=False),475,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,False,0.035013999999999955,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9925730057070259,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
13,1424796,1525596,16074396,3799,False,5,5,100,5.8e-05,0.955882,0.199068,99,GELU(approximate=False),499,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,0.970588,0.938679,False,0.015406666666666643,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9671958140005188,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
20,1430561,1531361,16080161,873,False,0,0,74,5e-05,0.941176,0.245966,72,ReLU(),173,0.962185,0.91707,0.941176,0.874007,0.957516,0.907147,0.970588,0.938679,False,0.014005999999999963,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9851008059395868,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
76,1435194,1535994,16084794,2393,False,7,7,94,4.9e-05,0.955882,0.230376,78,LeakyReLU(negative_slope=0.01),293,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.970588,0.938679,False,0.009803999999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9661136511253763,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
4,1444155,1544955,16093755,999,False,1,1,100,5.1e-05,0.926471,0.187614,93,ReLU(),199,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.970588,0.938679,False,0.03781466666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.996282420626868,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
32,1449228,1550028,16098828,3976,False,7,7,77,5.9e-05,0.926471,0.223593,96,GELU(approximate=False),476,0.97479,0.944667,0.926471,0.84314,0.964052,0.921311,0.970588,0.938679,False,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9660938108934362,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
43,1455529,1556329,16105129,1794,False,1,1,95,4.9e-05,0.911765,0.234808,70,LeakyReLU(negative_slope=0.01),294,0.987395,0.972369,0.911765,0.80647,0.970588,0.935533,0.970588,0.938679,False,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.967186598693529,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
19,1459114,1559914,16108714,2290,False,6,6,91,5.1e-05,0.955882,0.15624,83,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.904776,0.973856,0.942761,0.970588,0.938679,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9678778215734657,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
47,1465110,1565910,16114710,3794,False,5,5,95,5.2e-05,0.941176,0.1834,75,GELU(approximate=False),494,0.970588,0.935441,0.941176,0.870603,0.964052,0.921062,0.970588,0.938679,False,0.019607999999999997,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9888718064102153,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
2,1470177,1570977,16119777,3697,False,4,4,98,5.7e-05,0.955882,0.21836,95,GELU(approximate=False),497,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,True,0.018207333333333315,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9681666258653012,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
61,1474776,1575576,16124376,3694,False,4,4,95,5.3e-05,0.955882,0.162123,77,GELU(approximate=False),494,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.970588,0.938679,False,0.009803999999999998,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9647241816004969,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
3,1482033,1582833,16131633,893,False,0,0,94,5.2e-05,0.926471,0.270908,96,ReLU(),193,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9681666258653012,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
54,1488333,1589133,16137933,1897,False,2,2,98,4.8e-05,0.926471,0.208461,83,LeakyReLU(negative_slope=0.01),297,0.978992,0.95392,0.926471,0.84314,0.96732,0.928414,0.970588,0.938679,False,0.035013999999999955,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9661136511253763,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
106,1494293,1595093,16143893,3999,False,7,7,100,5.1e-05,0.926471,0.23715,72,GELU(approximate=False),499,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,False,0.035013999999999955,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9647241816004969,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
