,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
6,1416743,1517543,16066343,2592,False,1,1,93,3.5e-05,0.955882,0.363853,9,SELU(),392,0.869748,0.710271,0.955882,0.905068,0.892157,0.760734,0.941176,0.871212,False,0.0574226666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8958327282019348,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
85,1417560,1518360,16067160,2989,False,5,5,90,3.6e-05,0.882353,0.418205,8,SELU(),389,0.87395,0.719637,0.882353,0.742652,0.879085,0.731616,0.911765,0.812032,False,0.005602000000000033,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8866833328511201,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
19,1427554,1528354,16077154,2695,False,2,2,96,3.6e-05,0.941176,0.341314,11,SELU(),395,0.882353,0.738604,0.941176,0.870603,0.895425,0.768196,0.941176,0.871212,False,0.0392153333333333,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8862463266559651,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
122,1430394,1531194,16079994,95,False,0,0,96,3.6e-05,0.867647,0.433041,8,Identity(),95,0.886555,0.748084,0.867647,0.705978,0.882353,0.738651,0.882353,0.757681,False,0.012605333333333357,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8748665609445784,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
94,1438884,1539684,16088484,5180,False,3,3,81,3.5e-05,0.911765,0.412455,10,Tanh(),680,0.84874,0.661724,0.911765,0.80647,0.869281,0.709188,0.911765,0.812032,False,0.04201666666666667,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8606815621438146,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
84,1442129,1542929,16091729,254,False,2,2,55,3.7e-05,0.911765,0.374675,8,Identity(),54,0.882353,0.738934,0.911765,0.806818,0.892157,0.76088,0.882353,0.742424,False,0.019607999999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8789667379731767,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
25,1445003,1545803,16094603,90,False,0,0,91,3.6e-05,0.897059,0.375361,12,Identity(),90,0.89916,0.77656,0.897059,0.771855,0.898693,0.775514,0.941176,0.871212,False,0.0014006666666666057,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8881464860344407,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
11,1451105,1551905,16100705,498,False,4,4,99,3.5e-05,0.897059,0.384854,8,Identity(),98,0.890756,0.757565,0.897059,0.774559,0.895425,0.768196,0.941176,0.871212,False,0.004202000000000039,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8971015529540464,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
95,1457718,1558518,16107318,2575,False,1,1,76,3.6e-05,0.897059,0.364703,18,SELU(),375,0.886555,0.749032,0.897059,0.771855,0.888889,0.753847,0.941176,0.882735,False,0.0070026666666667126,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8578621397286358,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
4,1463502,1564302,16113102,691,False,6,6,92,3.5e-05,0.897059,0.450934,5,Identity(),91,0.882353,0.738934,0.897059,0.774559,0.885621,0.746674,0.941176,0.871212,False,0.009803999999999998,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9097982892341174,Local,THTB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
