,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
139,1416043,1516843,16065643,1541,False,7,7,42,5.6e-05,0.897059,0.346045,82,ReLU(),141,0.94958,0.889018,0.897059,0.781736,0.937908,0.863643,0.970588,0.938679,False,0.035013999999999955,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9394135885130186,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
44,1421925,1522725,16071525,3375,False,1,1,76,5.7e-05,0.911765,0.209792,89,GELU(approximate=False),475,0.983193,0.963168,0.911765,0.80647,0.96732,0.928414,0.941176,0.871212,False,0.04761866666666662,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9720940095440814,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
22,1425441,1526241,16075041,1867,False,2,2,68,5.6e-05,0.941176,0.18972,89,LeakyReLU(negative_slope=0.01),267,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.970588,0.938679,False,0.019607999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9699527720631751,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
14,1432119,1532919,16081719,3935,False,7,7,36,6.1e-05,0.911765,0.26638,87,GELU(approximate=False),435,0.94958,0.889189,0.911765,0.812404,0.941176,0.871262,0.970588,0.938679,False,0.025209999999999955,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9698175926336339,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
82,1436311,1537111,16085911,1156,False,3,3,57,5.5e-05,0.941176,0.204991,84,ReLU(),156,0.966387,0.926243,0.941176,0.874007,0.960784,0.914222,0.970588,0.938679,False,0.016807333333333323,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9557063054031684,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
38,1444380,1545180,16093980,1199,False,3,3,100,5e-05,0.911765,0.187287,86,ReLU(),199,0.97479,0.944855,0.911765,0.80647,0.960784,0.914222,0.970588,0.938679,False,0.04201666666666667,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9771642277768692,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
23,1448449,1549249,16098049,3788,False,5,5,89,5.5e-05,0.941176,0.219646,85,GELU(approximate=False),488,0.97479,0.944855,0.941176,0.874007,0.96732,0.928801,0.970588,0.938679,True,0.022409333333333354,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9627425164638992,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
176,1455940,1556740,16105540,1855,False,2,2,56,5.4e-05,0.852941,0.425726,84,LeakyReLU(negative_slope=0.01),255,0.962185,0.916885,0.852941,0.689426,0.937908,0.864194,0.941176,0.871212,False,0.07282933333333334,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9285500663868189,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
49,1461152,1561952,16110752,1270,False,4,4,71,5.3e-05,0.911765,0.188946,88,ReLU(),170,0.966387,0.926165,0.911765,0.804824,0.954248,0.899356,0.970588,0.938679,False,0.03641466666666663,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9657840825157763,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
3,1466246,1567046,16115846,1852,False,2,2,53,5.6e-05,0.926471,0.226521,88,LeakyReLU(negative_slope=0.01),252,0.970588,0.935441,0.926471,0.838462,0.960784,0.913908,0.970588,0.938679,False,0.029411333333333307,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9862643183174309,Local,THTC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
