,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
15,1416457,1517257,16066057,1341,False,5,5,42,6.2e-05,0.897059,0.245702,99,ReLU(),141,0.962185,0.916885,0.897059,0.774559,0.95098,0.892226,0.970588,0.938679,False,0.04341733333333327,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9681952572851975,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
54,1422308,1523108,16071908,3275,False,0,0,76,6e-05,0.882353,0.268061,97,GELU(approximate=False),475,0.978992,0.953997,0.882353,0.742652,0.957516,0.907147,0.970588,0.938679,False,0.06442599999999994,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9809166161986234,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
27,1427209,1528009,16076809,1461,False,6,6,62,5.5e-05,0.926471,0.18723,99,ReLU(),161,0.978992,0.953997,0.926471,0.84314,0.96732,0.928801,0.970588,0.938679,False,0.035013999999999955,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9713306541638267,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
159,1430311,1531111,16079911,3535,False,3,3,36,6.8e-05,0.926471,0.249801,91,GELU(approximate=False),435,0.945378,0.879728,0.926471,0.84314,0.941176,0.870772,0.941176,0.871212,False,0.012604666666666672,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.939399988147175,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
64,1436283,1537083,16085883,3944,False,7,7,45,6.7e-05,0.941176,0.220614,96,GELU(approximate=False),444,0.966387,0.926165,0.941176,0.874007,0.960784,0.913908,0.970588,0.938679,False,0.016807333333333323,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9650611954192003,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
3,1443972,1544772,16093572,1099,False,2,2,100,5.1e-05,0.926471,0.140146,98,ReLU(),199,0.978992,0.953997,0.926471,0.837919,0.96732,0.928231,0.970588,0.938679,False,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9915902152676996,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
29,1449235,1550035,16098835,3988,False,7,7,89,5.7e-05,0.926471,0.253328,97,GELU(approximate=False),488,0.97479,0.944667,0.926471,0.84314,0.964052,0.921311,0.970588,0.938679,False,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9699614886462565,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
0,1455491,1556291,16105091,1655,False,0,0,56,6e-05,0.911765,0.255461,98,LeakyReLU(negative_slope=0.01),255,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,1.0,1.0,True,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9916130706403052,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
65,1461289,1562089,16110889,1065,False,2,2,66,5.6e-05,0.911765,0.203404,97,ReLU(),165,0.970588,0.935441,0.911765,0.812404,0.957516,0.907147,0.970588,0.938679,False,0.0392153333333333,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9660902784782219,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
71,1465041,1565841,16114641,2052,False,4,4,53,5.7e-05,0.941176,0.164021,94,LeakyReLU(negative_slope=0.01),252,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.970588,0.938679,False,0.019607999999999997,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9697120102430713,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
36,1470311,1571111,16119911,989,False,1,1,90,5.2e-05,0.941176,0.20428,98,ReLU(),189,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.970588,0.938679,False,0.019607999999999997,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9706425752072148,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
50,1476158,1576958,16125758,3954,False,7,7,55,6.2e-05,0.941176,0.163816,97,GELU(approximate=False),454,0.966387,0.926243,0.941176,0.870603,0.960784,0.913908,0.970588,0.938679,False,0.016807333333333323,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9661406845350764,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
13,1483702,1584502,16133302,2294,False,6,6,95,5.2e-05,0.882353,0.255004,99,LeakyReLU(negative_slope=0.01),294,0.983193,0.963168,0.882353,0.742424,0.960784,0.913873,0.970588,0.938679,False,0.06722666666666662,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9724104048111964,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
9,1489261,1590061,16138861,3384,False,1,1,85,5.7e-05,0.897059,0.26081,99,GELU(approximate=False),484,0.983193,0.963168,0.897059,0.771855,0.964052,0.921062,0.970588,0.938679,False,0.05742266666666662,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9713042519778133,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
20,1494818,1595618,16144418,873,False,0,0,74,5.6e-05,0.911765,0.237191,99,ReLU(),173,0.978992,0.95392,0.911765,0.804824,0.96732,0.928245,0.970588,0.938679,False,0.04481799999999995,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9713306541638267,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
104,1499996,1600796,16149596,3834,False,6,6,35,7.6e-05,0.911765,0.209645,99,GELU(approximate=False),434,0.970588,0.935741,0.911765,0.80647,0.957516,0.907147,0.941176,0.871212,False,0.0392153333333333,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9442756410748471,Local,THTE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
