,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
96,1413324,1514124,16062924,3615,False,4,4,16,7.9e-05,0.911765,0.284566,83,GELU(approximate=False),415,0.928571,0.842751,0.911765,0.812404,0.924837,0.835219,0.970588,0.938679,False,0.011203999999999992,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9003104036675976,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
151,1418887,1519687,16068487,3215,False,0,0,16,3.9e-05,0.926471,0.575139,8,GELU(approximate=False),415,0.907563,0.797619,0.926471,0.837919,0.931373,0.848705,0.941176,0.882735,False,0.015873333333333333,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.901318029088943,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
389,1426238,1527038,16075838,3921,False,7,7,22,8.3e-05,0.911765,0.253681,97,GELU(approximate=False),421,0.94958,0.889162,0.911765,0.80647,0.941176,0.870388,0.970588,0.938679,True,0.025209999999999955,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8730569577320125,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
31,1428730,1529530,16078330,605,False,6,6,6,7.5e-05,0.897059,0.350131,63,Identity(),5,0.890756,0.760182,0.897059,0.781736,0.892157,0.764528,0.941176,0.871212,False,0.004202000000000039,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9172127430615944,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
246,1436786,1537586,16086386,3220,False,0,0,21,7.9e-05,0.911765,0.247632,97,GELU(approximate=False),420,0.941176,0.870458,0.911765,0.806818,0.934641,0.855882,0.970588,0.938679,False,0.01960733333333331,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8770242089360704,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
93,1440406,1541206,16090006,3813,False,6,6,14,9e-05,0.911765,0.243485,88,GELU(approximate=False),413,0.92437,0.833113,0.911765,0.806818,0.921569,0.826745,0.941176,0.871212,False,0.008403333333333318,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9064969197481572,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9335893627706772,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
19,1454837,1555637,16104437,504,False,5,5,5,8.2e-05,0.941176,0.262668,68,Identity(),4,0.882353,0.740542,0.941176,0.874007,0.895425,0.770496,0.941176,0.871212,False,0.0392153333333333,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9058589561600697,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
76,1457802,1558602,16107402,2909,False,5,5,10,6.8e-05,0.911765,0.31154,89,SELU(),309,0.89916,0.777526,0.911765,0.812404,0.901961,0.784728,0.941176,0.871212,False,0.008403333333333393,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8984065132672486,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
1,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9480262378678403,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
6,1470334,1571134,16119934,812,False,0,0,13,8.9e-05,0.911765,0.265499,95,ReLU(),112,0.941176,0.87083,0.911765,0.804824,0.934641,0.856116,0.970588,0.938679,True,0.01960733333333331,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9161245795746411,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
2,1473860,1574660,16123460,3707,False,5,5,8,0.000101,0.941176,0.293884,87,GELU(approximate=False),407,0.932773,0.851793,0.941176,0.874007,0.934641,0.855904,0.941176,0.871212,False,0.005602000000000033,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9213451688711857,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
51,1480123,1580923,16129723,5311,False,5,5,12,6.4e-05,0.882353,0.311984,78,Tanh(),611,0.907563,0.796822,0.882353,0.738934,0.901961,0.783958,0.941176,0.871212,False,0.016806666666666636,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.895240112683655,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
