,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
82,1414564,1515364,16064164,3118,False,7,7,19,4.5e-05,0.911765,0.351137,26,SELU(),318,0.882353,0.73857,0.911765,0.812404,0.888889,0.753564,0.911765,0.804824,False,0.019607999999999997,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8158747714308653,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
2,1419250,1520050,16068850,2615,False,2,2,16,4e-05,0.911765,0.41835,12,SELU(),315,0.882353,0.738934,0.911765,0.80647,0.888889,0.753942,0.941176,0.871212,False,0.019607999999999997,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8798423818122425,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
50,1422986,1523786,16072586,2421,False,0,0,22,4e-05,0.867647,0.398325,19,SELU(),321,0.87395,0.720902,0.867647,0.705978,0.872549,0.717578,0.941176,0.871212,False,0.004202000000000039,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8283474076195693,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
18,1432239,1533039,16081839,2307,False,7,7,8,5.1e-05,0.926471,0.512479,22,LeakyReLU(negative_slope=0.01),207,0.886555,0.752325,0.926471,0.837919,0.895425,0.769421,0.911765,0.831209,True,0.02661066666666671,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8620972988665246,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
33,1439096,1539896,16088696,611,False,6,6,12,4.2e-05,0.911765,0.498408,15,Identity(),11,0.836134,0.642824,0.911765,0.812404,0.859477,0.695645,0.882353,0.738934,False,0.05042066666666667,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8394023678318728,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
8,1443229,1544029,16092829,610,False,6,6,11,4.8e-05,0.882353,0.442934,10,Identity(),10,0.840336,0.658645,0.882353,0.742652,0.849673,0.676794,0.911765,0.812404,False,0.028011333333333388,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8693281636524546,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
61,1446608,1547408,16096208,5119,False,3,3,20,3.9e-05,0.897059,0.446778,14,Tanh(),619,0.882353,0.738934,0.897059,0.774559,0.888889,0.753942,0.882353,0.742424,False,0.009803999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8355675521404612,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
40,1453064,1553864,16102664,2723,False,3,3,24,3.8e-05,0.911765,0.451034,11,SELU(),323,0.882353,0.73857,0.911765,0.80647,0.885621,0.746012,0.911765,0.812032,False,0.019607999999999997,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8381523204537719,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
27,1461568,1562368,16111168,2424,False,0,0,25,3.8e-05,0.941176,0.444604,9,SELU(),324,0.861345,0.691822,0.941176,0.874007,0.879085,0.732846,0.911765,0.804824,False,0.05322066666666666,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8357754753511437,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
126,1465269,1566069,16114869,223,False,2,2,24,3.7e-05,0.897059,0.522535,11,Identity(),23,0.865546,0.702199,0.897059,0.771855,0.879085,0.732846,0.852941,0.673266,False,0.021008666666666675,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8238215612949721,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
