,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
34,1412908,1513708,16062508,1212,False,4,4,13,8.4e-05,0.911765,0.278445,82,ReLU(),112,0.92437,0.832995,0.911765,0.812404,0.921569,0.827049,0.941176,0.871212,False,0.008403333333333318,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9060354772057362,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
107,1417897,1518697,16067497,2220,False,6,6,21,7.1e-05,0.911765,0.250267,89,LeakyReLU(negative_slope=0.01),220,0.92437,0.833113,0.911765,0.804824,0.921569,0.826803,0.941176,0.871212,False,0.008403333333333318,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8914329490257908,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
73,1422939,1523739,16072539,2216,False,6,6,17,7.6e-05,0.897059,0.28143,89,LeakyReLU(negative_slope=0.01),216,0.903361,0.786374,0.897059,0.781736,0.901961,0.782835,0.941176,0.871212,False,0.004201333333333279,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8903157786792572,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
154,1429456,1530256,16079056,1416,False,6,6,17,7.3e-05,0.897059,0.289259,79,ReLU(),116,0.907563,0.795533,0.897059,0.774559,0.908497,0.79749,0.941176,0.871212,False,0.007625333333333299,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.887898941021409,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
125,1434291,1535091,16083891,3320,False,1,1,21,7.3e-05,0.926471,0.248043,80,GELU(approximate=False),420,0.932773,0.851727,0.926471,0.838462,0.931373,0.848677,0.941176,0.871212,False,0.004201333333333279,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8743192483816213,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
57,1444034,1544834,16093634,2304,False,7,7,5,0.000111,0.852941,0.455714,85,LeakyReLU(negative_slope=0.01),204,0.907563,0.800316,0.852941,0.67803,0.895425,0.773266,0.882353,0.783349,False,0.036414666666666706,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9012214728667275,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
6,1448060,1548860,16097660,2701,False,3,3,2,0.000135,0.882353,0.371556,87,SELU(),301,0.911765,0.8049,0.882353,0.738934,0.905229,0.790294,0.911765,0.812032,True,0.019607999999999997,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9131427646132164,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
138,1455051,1555851,16104651,3100,False,7,7,1,0.000275,0.882353,0.397531,80,SELU(),300,0.819328,0.612973,0.882353,0.751068,0.833333,0.644422,0.911765,0.812404,False,0.04201666666666674,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8610796004706067,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
181,1458395,1559195,16107995,2318,False,7,7,19,6.7e-05,0.911765,0.272197,78,LeakyReLU(negative_slope=0.01),218,0.928571,0.842386,0.911765,0.80647,0.924837,0.834059,0.941176,0.871212,False,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8747584290962416,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
118,1464318,1565118,16113918,3519,False,3,3,20,7.7e-05,0.897059,0.357525,89,GELU(approximate=False),419,0.920168,0.824105,0.897059,0.774559,0.915033,0.812165,0.941176,0.871212,True,0.015405999999999956,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8934388706869134,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
12,1468399,1569199,16117999,3712,False,5,5,13,8.3e-05,0.897059,0.31039,87,GELU(approximate=False),412,0.907563,0.795533,0.897059,0.774559,0.905229,0.79016,0.970588,0.938679,True,0.007002666666666639,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9136950650269327,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
198,1473559,1574359,16123159,3819,False,6,6,20,6.3e-05,0.897059,0.283028,88,GELU(approximate=False),419,0.903361,0.78603,0.897059,0.771855,0.901961,0.782833,0.911765,0.804824,False,0.004201333333333279,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8691804063227254,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
180,1483143,1583943,16132743,3825,False,6,6,26,7.2e-05,0.867647,0.292401,79,GELU(approximate=False),425,0.94958,0.889018,0.867647,0.713309,0.931373,0.848991,0.970588,0.938679,False,0.054622000000000025,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.8604245877028113,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
146,1486641,1587441,16136241,2922,False,5,5,23,5.1e-05,0.882353,0.309454,88,SELU(),322,0.907563,0.796026,0.882353,0.751068,0.901961,0.784728,0.970588,0.938679,False,0.016806666666666636,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.8754986150473338,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
60,1492059,1592859,16141659,4306,False,3,3,7,0.000107,0.838235,0.476611,81,Sigmoid(),506,0.861345,0.700579,0.838235,0.658281,0.859477,0.697858,0.941176,0.874007,False,0.015406666666666716,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.8819311590892674,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
11,1496822,1597622,16146422,2214,False,6,6,15,8.3e-05,0.911765,0.275871,87,LeakyReLU(negative_slope=0.01),214,0.932773,0.851971,0.911765,0.80647,0.931373,0.849414,0.941176,0.871212,False,0.014005333333333278,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9076576079413137,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
3,1501223,1602023,16150823,1309,False,5,5,10,8.3e-05,0.897059,0.314229,88,ReLU(),109,0.89916,0.776536,0.897059,0.781736,0.901961,0.783019,0.941176,0.871212,True,0.0032679999999999745,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9126861615185177,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
169,1508010,1608810,16157610,2022,False,4,4,23,6.9e-05,0.897059,0.254202,87,LeakyReLU(negative_slope=0.01),222,0.928571,0.842386,0.897059,0.771855,0.924837,0.834059,0.941176,0.871212,False,0.02100799999999999,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.8836507943371228,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
4,1512084,1612884,16161684,5103,False,3,3,4,0.000106,0.776316,0.477411,85,Tanh(),603,0.778196,0.495732,0.776316,0.482328,0.777778,0.492424,0.789474,0.51382,False,0.0012533333333333285,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9095607500238608,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
25,1517639,1618439,16167239,3709,False,5,5,10,7.2e-05,0.782895,0.449767,89,GELU(approximate=False),409,0.783835,0.500057,0.782895,0.504417,0.783626,0.500723,0.776316,0.480384,False,0.0006266666666666273,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9244022383038882,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
12,1524956,1625756,16174556,2703,False,3,3,4,7.2e-05,0.802632,0.425457,81,SELU(),303,0.780075,0.492914,0.802632,0.548788,0.785088,0.505431,0.789474,0.51382,True,0.015038000000000032,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.8445395729183576,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
17,1531544,1632344,16181144,2009,False,4,4,10,6.8e-05,0.835526,0.434525,85,LeakyReLU(negative_slope=0.01),209,0.778196,0.488118,0.835526,0.624089,0.790936,0.518308,0.789474,0.51382,True,0.03822,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9296100407980818,Local,THTNC,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
