,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
3,1416719,1517519,16066319,1312,False,5,5,13,8.6e-05,0.852941,0.334189,99,ReLU(),112,0.936975,0.861206,0.852941,0.671397,0.918301,0.819554,0.970588,0.938679,True,0.0560226666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9238488024045663,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
173,1418006,1518806,16067606,4518,False,5,5,19,9.5e-05,0.867647,0.380303,97,Sigmoid(),518,0.882353,0.741858,0.867647,0.710669,0.882353,0.742026,0.941176,0.871212,False,0.009804000000000071,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8828605834050752,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
25,1424119,1524919,16073719,2116,False,5,5,17,8.2e-05,0.911765,0.28994,99,LeakyReLU(negative_slope=0.01),216,0.928571,0.842412,0.911765,0.80647,0.928105,0.841459,0.970588,0.938679,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9083922206902367,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
47,1432176,1532976,16081776,1316,False,5,5,17,7.3e-05,0.897059,0.279383,97,ReLU(),116,0.936975,0.861057,0.897059,0.781736,0.928105,0.841787,0.941176,0.871212,False,0.026610666666666633,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9101135397647043,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
264,1438560,1539360,16088160,1528,False,7,7,29,6.9e-05,0.911765,0.250672,96,ReLU(),128,0.966387,0.926243,0.911765,0.80647,0.954248,0.899642,0.970588,0.938679,True,0.03641466666666663,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.862071125680688,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
2,1444349,1545149,16093949,1604,False,0,0,5,0.000126,0.852941,0.39783,97,LeakyReLU(negative_slope=0.01),204,0.915966,0.814254,0.852941,0.671397,0.901961,0.782835,0.941176,0.871212,True,0.04201666666666667,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9341897049598109,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
2,1445749,1546549,16095349,2601,False,2,2,2,0.000166,0.882353,0.352208,94,SELU(),301,0.890756,0.757744,0.882353,0.742652,0.888889,0.753942,0.941176,0.871212,True,0.005601999999999959,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9152022346000966,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
44,1454149,1554949,16103749,2900,False,5,5,1,0.00021,0.897059,0.364853,95,SELU(),300,0.852941,0.689426,0.897059,0.781736,0.862745,0.710047,0.941176,0.874007,True,0.029412000000000067,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.898600091169084,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
301,1457259,1558059,16106859,3926,False,7,7,27,7.4e-05,0.941176,0.199134,97,GELU(approximate=False),426,0.94958,0.889189,0.941176,0.870603,0.947712,0.885063,0.970588,0.938679,True,0.005602666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8704013069928864,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
130,1463842,1564642,16113442,3919,False,7,7,20,8e-05,0.926471,0.235774,95,GELU(approximate=False),419,0.945378,0.88,0.926471,0.838462,0.941176,0.870772,0.941176,0.871212,True,0.012604666666666672,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8980876615024794,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
