,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
1,1415251,1516051,16064851,3489,False,2,2,90,5.9e-05,0.941176,0.221944,96,GELU(approximate=False),489,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.970588,0.938679,True,0.02521066666666664,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9854642814862016,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
6,1419990,1520790,16069590,3884,False,6,6,85,5.5e-05,0.941176,0.203719,83,GELU(approximate=False),484,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.941176,0.871212,False,0.02521066666666664,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9816676702749765,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
32,1424404,1525204,16074004,3779,False,5,5,80,5.8e-05,0.955882,0.195963,94,GELU(approximate=False),479,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,False,0.012605333333333357,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9799577630560727,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
1,1431858,1532658,16081458,3286,False,0,0,87,5.3e-05,0.941176,0.266671,80,GELU(approximate=False),486,0.97479,0.944667,0.941176,0.874007,0.96732,0.928414,0.970588,0.938679,False,0.022409333333333354,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9851207482061463,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
19,1435688,1536488,16085288,3881,False,6,6,82,5.7e-05,0.955882,0.195781,93,GELU(approximate=False),481,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,False,0.012605333333333357,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9870711516921241,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
22,1444155,1544955,16093755,999,False,1,1,100,5.1e-05,0.926471,0.187614,93,ReLU(),199,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.970588,0.938679,False,0.03781466666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9716597704673005,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
22,1449226,1550026,16098826,3476,False,2,2,77,5.6e-05,0.926471,0.277585,91,GELU(approximate=False),476,0.97479,0.944855,0.926471,0.84314,0.964052,0.921765,0.941176,0.871212,False,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9794407157904356,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
57,1455004,1555804,16104604,3292,False,0,0,93,5.6e-05,0.926471,0.254655,98,GELU(approximate=False),492,0.987395,0.972369,0.926471,0.84314,0.973856,0.942921,0.941176,0.871212,False,0.040615999999999985,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9590606041063613,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
15,1459114,1559914,16108714,2290,False,6,6,91,5.1e-05,0.955882,0.15624,83,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.904776,0.973856,0.942761,0.970588,0.938679,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9840131728671344,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
3,1462715,1563515,16112315,1296,False,4,4,97,4.6e-05,0.970588,0.159712,63,ReLU(),196,0.962185,0.91707,0.970588,0.936382,0.964052,0.921311,0.941176,0.871212,True,0.005602000000000033,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9788116509786368,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
2,1470177,1570977,16119777,3697,False,4,4,98,5.7e-05,0.955882,0.21836,95,GELU(approximate=False),497,0.983193,0.963168,0.955882,0.905068,0.977124,0.950004,0.970588,0.938679,True,0.018207333333333315,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9857908628744267,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
14,1473361,1574161,16122961,2396,False,7,7,97,5e-05,0.970588,0.155442,87,LeakyReLU(negative_slope=0.01),296,0.966387,0.926165,0.970588,0.936382,0.96732,0.928231,0.941176,0.871212,False,0.0028006666666666735,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9762969167274991,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
1,1480772,1581572,16130372,1293,False,4,4,94,4.9e-05,0.941176,0.261631,77,ReLU(),193,0.97479,0.944667,0.941176,0.874007,0.96732,0.928414,0.970588,0.938679,False,0.022409333333333354,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9881713369359605,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
30,1485178,1585978,16134778,3996,False,7,7,97,5.4e-05,0.955882,0.159943,89,GELU(approximate=False),496,0.966387,0.926165,0.955882,0.902963,0.964052,0.921011,0.970588,0.938679,False,0.007003333333333324,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9760824883254627,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
2,1490410,1591210,16140010,3498,False,2,2,99,5.7e-05,0.970588,0.173043,99,GELU(approximate=False),498,0.97479,0.944855,0.970588,0.936382,0.977124,0.950004,0.970588,0.938679,False,0.004357333333333324,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9845893771555182,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
66,1495584,1596384,16145184,3981,False,7,7,82,5.2e-05,0.955882,0.162883,71,GELU(approximate=False),481,0.962185,0.916885,0.955882,0.905068,0.960784,0.913908,0.970588,0.938679,False,0.004201999999999965,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9709787881480122,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
33,1502049,1602849,16151649,3984,False,7,7,85,5.1e-05,0.955882,0.144119,66,GELU(approximate=False),484,0.970588,0.935441,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,False,0.009803999999999998,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9666776644366655,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
