,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
15,1415032,1515832,16064632,3891,False,6,6,92,3.5e-05,0.911765,0.518196,4,GELU(approximate=False),491,0.878151,0.729525,0.911765,0.812404,0.885621,0.747292,0.852941,0.673266,False,0.022409333333333354,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8856108424245996,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
158,1416875,1517675,16066475,2983,False,5,5,84,3.5e-05,0.882353,0.369937,9,SELU(),383,0.882353,0.738819,0.882353,0.742652,0.882353,0.738549,0.882353,0.742424,False,0.0,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8643982018335112,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
55,1425491,1526291,16075091,5591,False,7,7,92,3.5e-05,0.911765,0.412272,10,Tanh(),691,0.882353,0.738819,0.911765,0.804824,0.888889,0.75352,0.852941,0.685385,False,0.019607999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8701729004772419,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
150,1432543,1533343,16082143,2777,False,3,3,78,3.7e-05,0.926471,0.325443,18,SELU(),377,0.882353,0.740542,0.926471,0.84314,0.895425,0.770496,0.941176,0.871212,False,0.029411999999999994,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8653758379375884,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
11,1439173,1539973,16088773,2785,False,3,3,86,3.5e-05,0.955882,0.524479,3,SELU(),385,0.865546,0.70058,0.955882,0.905068,0.879085,0.731174,0.911765,0.812032,True,0.06022399999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8791090861659336,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
136,1441106,1541906,16090706,260,False,2,2,61,3.7e-05,0.897059,0.32382,12,Identity(),60,0.878151,0.730241,0.897059,0.772875,0.882353,0.738934,0.911765,0.804824,False,0.012605333333333357,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8630004134650975,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
88,1445718,1546518,16095318,2998,False,5,5,99,3.5e-05,0.897059,0.34015,14,SELU(),398,0.903361,0.787659,0.897059,0.771855,0.895425,0.76962,0.911765,0.812032,False,0.0052906666666666284,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.878808196422724,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
68,1451105,1551905,16100705,498,False,4,4,99,3.5e-05,0.897059,0.384854,8,Identity(),98,0.890756,0.757565,0.897059,0.774559,0.895425,0.768196,0.941176,0.871212,False,0.004202000000000039,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8751772263383665,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
120,1457073,1557873,16106673,2775,False,3,3,76,3.5e-05,0.897059,0.335034,17,SELU(),375,0.890756,0.757678,0.897059,0.771855,0.895425,0.768176,0.911765,0.812032,False,0.004202000000000039,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8553321673061998,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
15,1465109,1565909,16114709,3093,False,6,6,94,3.6e-05,0.911765,0.378049,7,SELU(),393,0.882353,0.73857,0.911765,0.804824,0.888889,0.75336,0.852941,0.685385,False,0.019607999999999997,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8798731257729445,Local,TTVHB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('epoch', -1)]"
