,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
69,1414564,1515364,16064164,3118,False,7,7,19,4.5e-05,0.911765,0.351137,26,SELU(),318,0.882353,0.73857,0.911765,0.812404,0.888889,0.753564,0.911765,0.804824,False,0.019607999999999997,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.828879838877579,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
6,1419250,1520050,16068850,2615,False,2,2,16,4e-05,0.911765,0.41835,12,SELU(),315,0.882353,0.738934,0.911765,0.80647,0.888889,0.753942,0.941176,0.871212,False,0.019607999999999997,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8657424287803962,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
22,1427783,1528583,16077383,2913,False,5,5,14,4.1e-05,0.926471,0.437111,19,SELU(),313,0.857143,0.684873,0.926471,0.84314,0.875817,0.727773,0.852941,0.6729,False,0.046218666666666706,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8407024185724401,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
4,1431580,1532380,16081180,2007,False,4,4,8,4.6e-05,0.926471,0.611413,21,LeakyReLU(negative_slope=0.01),207,0.894958,0.770675,0.926471,0.838462,0.901961,0.784527,0.852941,0.707257,True,0.021008666666666675,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8732733012223102,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
31,1436623,1537423,16086223,711,False,7,7,12,4.7e-05,0.911765,0.436078,24,Identity(),11,0.882353,0.738819,0.911765,0.806818,0.888889,0.753847,0.882353,0.742424,False,0.019607999999999997,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8445602079066972,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
53,1443808,1544608,16093408,2722,False,3,3,23,4.1e-05,0.911765,0.431823,14,SELU(),322,0.861345,0.694213,0.911765,0.804824,0.872549,0.718462,0.823529,0.632627,False,0.03361333333333335,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8337828122810489,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
25,1446608,1547408,16096208,5119,False,3,3,20,3.9e-05,0.897059,0.446778,14,Tanh(),619,0.882353,0.738934,0.897059,0.774559,0.888889,0.753942,0.882353,0.742424,False,0.009803999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8535224165823909,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
65,1453050,1553850,16102650,4813,False,0,0,14,4.3e-05,0.911765,0.398358,26,Tanh(),613,0.882353,0.738819,0.911765,0.812404,0.892157,0.76088,0.911765,0.812032,False,0.019607999999999997,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8328161005884166,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
17,1461027,1561827,16110627,3024,False,6,6,25,3.9e-05,0.926471,0.376624,10,SELU(),324,0.87395,0.719637,0.926471,0.837919,0.885621,0.746012,0.882353,0.757681,False,0.035014000000000024,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8424574544135794,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
42,1465770,1566570,16115370,2626,False,2,2,27,3.9e-05,0.911765,0.43549,10,SELU(),326,0.87395,0.71996,0.911765,0.804824,0.885621,0.74607,0.911765,0.812032,False,0.025210000000000028,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8358349312837904,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
24,1467904,1568704,16117504,2416,False,0,0,17,4.3e-05,0.897059,0.397319,20,SELU(),316,0.890756,0.759036,0.897059,0.771855,0.892157,0.761731,0.911765,0.804824,True,0.004202000000000039,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.8437262698719555,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
5,1476894,1577694,16126494,3113,False,7,7,14,4.2e-05,0.911765,0.42307,18,SELU(),313,0.878151,0.729648,0.911765,0.80647,0.885621,0.74607,0.911765,0.812032,False,0.022409333333333354,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8490580520874753,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
5,1478733,1579533,16128333,1811,False,2,2,12,4.3e-05,0.897059,0.557588,18,LeakyReLU(negative_slope=0.01),211,0.890756,0.760182,0.897059,0.771855,0.892157,0.762452,0.911765,0.804824,True,0.004202000000000039,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.866338998370963,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
