,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
4,1411344,1512144,16060944,1012,False,2,2,13,9.5e-05,0.926471,0.23948,99,ReLU(),112,0.92437,0.833545,0.926471,0.837919,0.924837,0.83425,0.941176,0.871212,True,0.0014006666666666796,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9218956791639008,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
100,1419419,1520219,16069019,2120,False,5,5,21,7.2e-05,0.897059,0.301656,91,LeakyReLU(negative_slope=0.01),220,0.928571,0.842386,0.897059,0.774559,0.921569,0.826803,0.941176,0.871212,False,0.02100799999999999,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8797893251426553,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
19,1424119,1524919,16073719,2116,False,5,5,17,8.2e-05,0.911765,0.28994,99,LeakyReLU(negative_slope=0.01),216,0.928571,0.842412,0.911765,0.80647,0.928105,0.841459,0.970588,0.938679,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9008191066709803,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
22,1428747,1529547,16078347,3517,False,3,3,18,8.5e-05,0.926471,0.259232,95,GELU(approximate=False),417,0.932773,0.85254,0.926471,0.84314,0.931373,0.850086,0.911765,0.804824,True,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9085918886701891,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
204,1438560,1539360,16088160,1528,False,7,7,29,6.9e-05,0.911765,0.250672,96,ReLU(),128,0.966387,0.926243,0.911765,0.80647,0.954248,0.899642,0.970588,0.938679,True,0.03641466666666663,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8728031510028464,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
14,1443239,1544039,16092839,3819,False,6,6,20,8.1e-05,0.911765,0.235835,99,GELU(approximate=False),419,0.953781,0.898794,0.911765,0.806818,0.944444,0.877683,0.970588,0.938679,True,0.028010666666666628,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9052945792260269,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1446403,1547203,16096003,3408,False,2,2,9,0.000111,0.911765,0.325943,95,GELU(approximate=False),408,0.92437,0.833113,0.911765,0.80647,0.921569,0.827049,0.911765,0.804824,True,0.008403333333333318,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9259437989464672,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
10,1452181,1552981,16101781,805,False,0,0,6,9.2e-05,0.897059,0.38383,95,ReLU(),105,0.915966,0.814264,0.897059,0.781736,0.911765,0.805074,0.882353,0.738934,True,0.012604666666666597,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9075527586166394,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
173,1457259,1558059,16106859,3926,False,7,7,27,7.4e-05,0.941176,0.199134,97,GELU(approximate=False),426,0.94958,0.889189,0.941176,0.870603,0.947712,0.885063,0.970588,0.938679,True,0.005602666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8804982193204725,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
28,1463842,1564642,16113442,3919,False,7,7,20,8e-05,0.926471,0.235774,95,GELU(approximate=False),419,0.945378,0.88,0.926471,0.838462,0.941176,0.870772,0.941176,0.871212,True,0.012604666666666672,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9018608923156289,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
