,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
135,1416160,1516960,16065760,3986,False,7,7,87,5e-05,0.911765,0.303932,66,GELU(approximate=False),486,0.966387,0.926243,0.911765,0.812404,0.954248,0.900086,0.970588,0.938679,False,0.03641466666666663,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9532120146085066,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
14,1421398,1522198,16070998,3391,False,1,1,92,5.5e-05,0.926471,0.221728,94,GELU(approximate=False),491,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9748229290463117,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
35,1424404,1525204,16074004,3779,False,5,5,80,5.8e-05,0.955882,0.195963,94,GELU(approximate=False),479,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,False,0.012605333333333357,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9714704080823716,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
72,1432314,1533114,16081914,3389,False,1,1,90,5.4e-05,0.926471,0.264795,83,GELU(approximate=False),489,0.966387,0.926243,0.926471,0.837919,0.957516,0.90659,0.941176,0.871212,False,0.026610666666666633,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9630198197178017,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
15,1435688,1536488,16085288,3881,False,6,6,82,5.7e-05,0.955882,0.195781,93,GELU(approximate=False),481,0.97479,0.944855,0.955882,0.905068,0.970588,0.935853,0.970588,0.938679,False,0.012605333333333357,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9748147588523031,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
16,1444155,1544955,16093755,999,False,1,1,100,5.1e-05,0.926471,0.187614,93,ReLU(),199,0.983193,0.963168,0.926471,0.838462,0.970588,0.935533,0.970588,0.938679,False,0.03781466666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.975486102411495,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
17,1449227,1550027,16098827,3776,False,5,5,77,5.7e-05,0.926471,0.252171,88,GELU(approximate=False),476,0.97479,0.944855,0.926471,0.84314,0.964052,0.921765,0.970588,0.938679,False,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9711943784420877,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
61,1454822,1555622,16104422,3892,False,6,6,93,5.3e-05,0.926471,0.248794,82,GELU(approximate=False),492,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,False,0.03781466666666663,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9571985451807976,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
20,1459114,1559914,16108714,2290,False,6,6,91,5.1e-05,0.955882,0.15624,83,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.904776,0.973856,0.942761,0.970588,0.938679,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9735008934973886,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
40,1465087,1565887,16114687,3683,False,4,4,84,5.4e-05,0.941176,0.177202,84,GELU(approximate=False),483,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.970588,0.938679,False,0.019607999999999997,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9731648682389935,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
