,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
273,1412886,1513686,16062486,3991,False,7,7,92,4e-05,0.911765,0.319509,24,GELU(approximate=False),491,0.89916,0.777343,0.911765,0.812404,0.901961,0.782833,0.941176,0.871212,False,0.008403333333333393,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8589352665363396,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
97,1418658,1519458,16068258,2689,False,2,2,90,3.6e-05,0.911765,0.301996,18,SELU(),389,0.890756,0.761687,0.911765,0.80647,0.898693,0.778649,0.941176,0.871212,False,0.014006000000000038,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.874780023524504,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
22,1427948,1528748,16077548,5096,False,2,2,97,3.6e-05,0.955882,0.302985,13,Tanh(),696,0.87395,0.719575,0.955882,0.905068,0.895425,0.768196,0.941176,0.871212,True,0.054621333333333334,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8779962089744451,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
62,1432543,1533343,16082143,2777,False,3,3,78,3.7e-05,0.926471,0.325443,18,SELU(),377,0.882353,0.740542,0.926471,0.84314,0.895425,0.770496,0.941176,0.871212,False,0.029411999999999994,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8781870333591331,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
13,1439173,1539973,16088773,2785,False,3,3,86,3.5e-05,0.955882,0.524479,3,SELU(),385,0.865546,0.70058,0.955882,0.905068,0.879085,0.731174,0.911765,0.812032,True,0.06022399999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8760483626605308,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
42,1442129,1542929,16091729,254,False,2,2,55,3.7e-05,0.911765,0.374675,8,Identity(),54,0.882353,0.738934,0.911765,0.806818,0.892157,0.76088,0.882353,0.742424,False,0.019607999999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8766365132642028,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
76,1448656,1549456,16098256,2890,False,4,4,91,3.6e-05,0.911765,0.375247,11,SELU(),390,0.87395,0.720112,0.911765,0.80647,0.882353,0.739404,0.941176,0.871212,False,0.025210000000000028,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8772213865789762,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
23,1451105,1551905,16100705,498,False,4,4,99,3.5e-05,0.897059,0.384854,8,Identity(),98,0.890756,0.757565,0.897059,0.774559,0.895425,0.768196,0.941176,0.871212,False,0.004202000000000039,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8812523343336918,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
82,1459879,1560679,16109479,5099,False,2,2,100,3.5e-05,0.911765,0.323457,15,Tanh(),699,0.882353,0.738604,0.911765,0.812404,0.885621,0.746674,0.911765,0.804824,False,0.019607999999999997,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8592480632638141,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
14,1461878,1562678,16111478,3181,False,7,7,82,3.6e-05,0.897059,0.37961,11,SELU(),381,0.894958,0.768281,0.897059,0.771855,0.895425,0.76895,0.941176,0.871212,False,0.0014006666666666796,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8871483304327157,Local,TTVHTB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', -1)]"
