,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
157,1415097,1515897,16064697,941,False,1,1,42,5.6e-05,0.926471,0.25846,80,ReLU(),141,0.962185,0.91707,0.926471,0.84314,0.954248,0.900086,0.941176,0.871212,False,0.023809333333333276,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9331648368207036,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
65,1421925,1522725,16071525,3375,False,1,1,76,5.7e-05,0.911765,0.209792,89,GELU(approximate=False),475,0.983193,0.963168,0.911765,0.80647,0.96732,0.928414,0.941176,0.871212,False,0.04761866666666662,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9606796995194663,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
44,1425131,1525931,16074731,3780,False,5,5,81,5.7e-05,0.941176,0.223215,88,GELU(approximate=False),480,0.966387,0.926243,0.941176,0.874007,0.960784,0.914222,0.970588,0.938679,False,0.016807333333333323,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9639432522491331,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
48,1432119,1532919,16081719,3935,False,7,7,36,6.1e-05,0.911765,0.26638,87,GELU(approximate=False),435,0.94958,0.889189,0.911765,0.812404,0.941176,0.871262,0.970588,0.938679,False,0.025209999999999955,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9548878643535673,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
55,1436311,1537111,16085911,1156,False,3,3,57,5.5e-05,0.941176,0.204991,84,ReLU(),156,0.966387,0.926243,0.941176,0.874007,0.960784,0.914222,0.970588,0.938679,False,0.016807333333333323,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9610933271708074,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
71,1444380,1545180,16093980,1199,False,3,3,100,5e-05,0.911765,0.187287,86,ReLU(),199,0.97479,0.944855,0.911765,0.80647,0.960784,0.914222,0.970588,0.938679,False,0.04201666666666667,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9620594914054883,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
5,1448449,1549249,16098049,3788,False,5,5,89,5.5e-05,0.941176,0.219646,85,GELU(approximate=False),488,0.97479,0.944855,0.941176,0.874007,0.96732,0.928801,0.970588,0.938679,True,0.022409333333333354,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9698863727628773,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
130,1453880,1554680,16103480,1955,False,3,3,56,5.5e-05,0.926471,0.192926,86,LeakyReLU(negative_slope=0.01),255,0.966387,0.926407,0.926471,0.84314,0.957516,0.90659,0.911765,0.812032,False,0.026610666666666633,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9269060034495392,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
91,1457654,1558454,16107254,2398,False,7,7,99,4.8e-05,0.955882,0.154576,88,LeakyReLU(negative_slope=0.01),298,0.966387,0.926243,0.955882,0.905068,0.964052,0.921311,0.941176,0.871212,False,0.007003333333333324,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9546537267265964,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
16,1466246,1567046,16115846,1852,False,2,2,53,5.6e-05,0.926471,0.226521,88,LeakyReLU(negative_slope=0.01),252,0.970588,0.935441,0.926471,0.838462,0.960784,0.913908,0.970588,0.938679,False,0.029411333333333307,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9655126773831351,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
122,1471514,1572314,16121114,1289,False,4,4,90,5.1e-05,0.926471,0.220542,83,ReLU(),189,0.97479,0.944667,0.926471,0.838462,0.964052,0.921062,0.970588,0.938679,False,0.03221266666666667,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9501728686393053,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
96,1473821,1574621,16123421,3254,False,0,0,55,6.2e-05,0.955882,0.218643,86,GELU(approximate=False),454,0.962185,0.916885,0.955882,0.905068,0.964052,0.921311,0.941176,0.871212,False,0.0054466666666666734,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9486225900086374,Local,TTVHTC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
