,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
51,1416457,1517257,16066057,1341,False,5,5,42,6.2e-05,0.897059,0.245702,99,ReLU(),141,0.962185,0.916885,0.897059,0.774559,0.95098,0.892226,0.970588,0.938679,False,0.04341733333333327,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9482320211940573,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
66,1419976,1520776,16069576,3875,False,6,6,76,5.9e-05,0.941176,0.188425,94,GELU(approximate=False),475,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,0.941176,0.871212,False,0.02521066666666664,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9660148239686042,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
22,1423926,1524726,16073526,3361,False,1,1,62,5.9e-05,0.955882,0.129442,96,GELU(approximate=False),461,0.970588,0.935741,0.955882,0.905068,0.96732,0.928801,0.970588,0.938679,False,0.009803999999999998,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.969421726257924,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
104,1430311,1531111,16079911,3535,False,3,3,36,6.8e-05,0.926471,0.249801,91,GELU(approximate=False),435,0.945378,0.879728,0.926471,0.84314,0.941176,0.870772,0.941176,0.871212,False,0.012604666666666672,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9429426985309087,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
38,1436283,1537083,16085883,3944,False,7,7,45,6.7e-05,0.941176,0.220614,96,GELU(approximate=False),444,0.966387,0.926165,0.941176,0.874007,0.960784,0.913908,0.970588,0.938679,False,0.016807333333333323,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.967284456606444,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
4,1443972,1544772,16093572,1099,False,2,2,100,5.1e-05,0.926471,0.140146,98,ReLU(),199,0.978992,0.953997,0.926471,0.837919,0.96732,0.928231,0.970588,0.938679,False,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9766395019749675,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
7,1449235,1550035,16098835,3988,False,7,7,89,5.7e-05,0.926471,0.253328,97,GELU(approximate=False),488,0.97479,0.944667,0.926471,0.84314,0.964052,0.921311,0.970588,0.938679,False,0.03221266666666667,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9726974806540987,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
28,1455491,1556291,16105091,1655,False,0,0,56,6e-05,0.911765,0.255461,98,LeakyReLU(negative_slope=0.01),255,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,1.0,1.0,True,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9576341827244927,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
32,1460149,1560949,16109749,968,False,1,1,69,5.6e-05,0.941176,0.213407,99,ReLU(),168,0.97479,0.944855,0.941176,0.871212,0.96732,0.928231,0.970588,0.938679,False,0.022409333333333354,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9686434806971269,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
22,1465041,1565841,16114641,2052,False,4,4,53,5.7e-05,0.941176,0.164021,94,LeakyReLU(negative_slope=0.01),252,0.970588,0.935441,0.941176,0.874007,0.964052,0.921311,0.970588,0.938679,False,0.019607999999999997,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9671442220894741,Local,TTVHTE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('epoch', 1)]"
