,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
12,1413324,1514124,16062924,3615,False,4,4,16,7.9e-05,0.911765,0.284566,83,GELU(approximate=False),415,0.928571,0.842751,0.911765,0.812404,0.924837,0.835219,0.970588,0.938679,False,0.011203999999999992,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9075673543073164,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
150,1417897,1518697,16067497,2220,False,6,6,21,7.1e-05,0.911765,0.250267,89,LeakyReLU(negative_slope=0.01),220,0.92437,0.833113,0.911765,0.804824,0.921569,0.826803,0.941176,0.871212,False,0.008403333333333318,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8862364210826692,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
772,1425209,1526009,16074809,3832,False,6,6,33,6.6e-05,0.926471,0.209316,86,GELU(approximate=False),432,0.953781,0.898399,0.926471,0.84314,0.95098,0.89253,0.970588,0.938679,False,0.01820666666666663,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.854705877526279,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
56,1431744,1532544,16081344,3219,False,0,0,20,8.1e-05,0.911765,0.284706,80,GELU(approximate=False),419,0.945378,0.879773,0.911765,0.80647,0.937908,0.863141,0.941176,0.871212,True,0.02240866666666667,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9016249759485968,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
344,1438560,1539360,16088160,1528,False,7,7,29,6.9e-05,0.911765,0.250672,96,ReLU(),128,0.966387,0.926243,0.911765,0.80647,0.954248,0.899642,0.970588,0.938679,True,0.03641466666666663,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8716964984075524,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
20,1443239,1544039,16092839,3819,False,6,6,20,8.1e-05,0.911765,0.235835,99,GELU(approximate=False),419,0.953781,0.898794,0.911765,0.806818,0.944444,0.877683,0.970588,0.938679,True,0.028010666666666628,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9052945792260269,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9304971856287768,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
13,1451201,1552001,16100801,1105,False,3,3,6,9.3e-05,0.911765,0.360823,95,ReLU(),105,0.903361,0.786374,0.911765,0.80647,0.905229,0.790207,0.941176,0.871212,True,0.005602666666666718,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8982608167603188,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
17,1457238,1558038,16106838,3617,False,4,4,18,7.8e-05,0.941176,0.22204,88,GELU(approximate=False),417,0.932773,0.851727,0.941176,0.870603,0.937908,0.863141,0.941176,0.871212,True,0.005602000000000033,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8996892693868715,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9485821079339454,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
