,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
49,1414564,1515364,16064164,3118,False,7,7,19,4.5e-05,0.911765,0.351137,26,SELU(),318,0.882353,0.73857,0.911765,0.812404,0.888889,0.753564,0.911765,0.804824,True,0.019607999999999997,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.8341432769853372,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
3,1419250,1520050,16068850,2615,False,2,2,16,4e-05,0.911765,0.41835,12,SELU(),315,0.882353,0.738934,0.911765,0.80647,0.888889,0.753942,0.941176,0.871212,False,0.019607999999999997,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8764213658974679,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
69,1426781,1527581,16076381,2521,False,1,1,22,3.9e-05,0.911765,0.373571,22,SELU(),321,0.865546,0.701262,0.911765,0.812404,0.875817,0.725618,0.941176,0.871212,False,0.030812666666666672,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8302283587773294,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
17,1432993,1533793,16082593,3912,False,7,7,13,3.8e-05,0.897059,0.527153,7,GELU(approximate=False),412,0.844538,0.655183,0.897059,0.774559,0.859477,0.689387,0.882353,0.738934,False,0.035014000000000024,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8552779022297302,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
95,1438513,1539313,16088113,5123,False,3,3,24,3.9e-05,0.911765,0.438608,16,Tanh(),623,0.857143,0.682369,0.911765,0.812404,0.869281,0.711146,0.911765,0.812032,False,0.036414666666666706,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8302783663257025,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
26,1443229,1544029,16092829,610,False,6,6,11,4.8e-05,0.882353,0.442934,10,Identity(),10,0.840336,0.658645,0.882353,0.742652,0.849673,0.676794,0.911765,0.812404,False,0.028011333333333388,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.8500341081954002,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
31,1446608,1547408,16096208,5119,False,3,3,20,3.9e-05,0.897059,0.446778,14,Tanh(),619,0.882353,0.738934,0.897059,0.774559,0.888889,0.753942,0.882353,0.742424,False,0.009803999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.8472296936734958,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
18,1453064,1553864,16102664,2723,False,3,3,24,3.8e-05,0.911765,0.451034,11,SELU(),323,0.882353,0.73857,0.911765,0.80647,0.885621,0.746012,0.911765,0.812032,False,0.019607999999999997,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8458727916553688,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
14,1461568,1562368,16111168,2424,False,0,0,25,3.8e-05,0.941176,0.444604,9,SELU(),324,0.861345,0.691822,0.941176,0.874007,0.879085,0.732846,0.911765,0.804824,False,0.05322066666666666,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8433391257166925,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
42,1464058,1564858,16113658,2622,False,2,2,23,4.3e-05,0.911765,0.352454,24,SELU(),322,0.890756,0.757744,0.911765,0.804824,0.895425,0.768196,0.941176,0.871212,False,0.014006000000000038,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.8410737182415227,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
