,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
10,1412908,1513708,16062508,1212,False,4,4,13,8.4e-05,0.911765,0.278445,82,ReLU(),112,0.92437,0.832995,0.911765,0.812404,0.921569,0.827049,0.941176,0.871212,True,0.008403333333333318,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9093036395417803,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
31,1417897,1518697,16067497,2220,False,6,6,21,7.1e-05,0.911765,0.250267,89,LeakyReLU(negative_slope=0.01),220,0.92437,0.833113,0.911765,0.804824,0.921569,0.826803,0.941176,0.871212,True,0.008403333333333318,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8969135877282588,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
194,1425209,1526009,16074809,3832,False,6,6,33,6.6e-05,0.926471,0.209316,86,GELU(approximate=False),432,0.953781,0.898399,0.926471,0.84314,0.95098,0.89253,0.970588,0.938679,True,0.01820666666666663,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8665957885692358,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
89,1428985,1529785,16078585,1425,False,6,6,26,6.8e-05,0.941176,0.243803,87,ReLU(),125,0.932773,0.851971,0.941176,0.874007,0.941176,0.870772,0.941176,0.871212,False,0.005602000000000033,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8922980034818666,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
191,1437547,1538347,16087147,1028,False,2,2,29,6.7e-05,0.911765,0.277111,84,ReLU(),128,0.94958,0.889018,0.911765,0.80647,0.941176,0.870483,0.911765,0.804824,False,0.025209999999999955,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.866274045688804,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
135,1443925,1544725,16093525,3319,False,1,1,20,6.7e-05,0.867647,0.282139,82,GELU(approximate=False),419,0.920168,0.824105,0.867647,0.705978,0.908497,0.797586,0.941176,0.871212,False,0.035014000000000024,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.879452685888493,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9351643887248984,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
57,1455634,1556434,16105234,1305,False,5,5,6,0.000104,0.955882,0.290882,76,ReLU(),105,0.87395,0.719463,0.955882,0.905068,0.892157,0.76088,0.911765,0.812032,True,0.054621333333333334,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.8757096281789207,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
56,1458168,1558968,16107768,3226,False,0,0,27,6.7e-05,0.955882,0.170102,85,GELU(approximate=False),426,0.941176,0.870458,0.955882,0.905068,0.944444,0.877912,0.970588,0.938679,True,0.009803999999999998,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8874476166130914,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
66,1464318,1565118,16113918,3519,False,3,3,20,7.7e-05,0.897059,0.357525,89,GELU(approximate=False),419,0.920168,0.824105,0.897059,0.774559,0.915033,0.812165,0.941176,0.871212,True,0.015405999999999956,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.892361755200397,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
5,1468399,1569199,16117999,3712,False,5,5,13,8.3e-05,0.897059,0.31039,87,GELU(approximate=False),412,0.907563,0.795533,0.897059,0.774559,0.905229,0.79016,0.970588,0.938679,True,0.007002666666666639,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9005349406339485,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
174,1475745,1576545,16125345,3725,False,5,5,26,6.6e-05,0.911765,0.224987,82,GELU(approximate=False),425,0.932773,0.851793,0.911765,0.80647,0.928105,0.841324,0.941176,0.871212,False,0.014005333333333278,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.8699431032562405,Local,TTVHTNC,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
