,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
2,1411344,1512144,16060944,1012,False,2,2,13,9.5e-05,0.926471,0.23948,99,ReLU(),112,0.92437,0.833545,0.926471,0.837919,0.924837,0.83425,0.941176,0.871212,True,0.0014006666666666796,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9196779588457675,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
87,1419419,1520219,16069019,2120,False,5,5,21,7.2e-05,0.897059,0.301656,91,LeakyReLU(negative_slope=0.01),220,0.928571,0.842386,0.897059,0.774559,0.921569,0.826803,0.941176,0.871212,False,0.02100799999999999,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.8888162428850543,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
556,1426330,1527130,16075930,840,False,0,0,41,5.9e-05,0.926471,0.234982,96,ReLU(),140,0.966387,0.926652,0.926471,0.84314,0.957516,0.907733,0.970588,0.938679,False,0.026610666666666633,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.8419657711017919,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
138,1433085,1533885,16082685,1025,False,2,2,26,7.3e-05,0.897059,0.306913,97,ReLU(),125,0.953781,0.898329,0.897059,0.774559,0.941176,0.870483,0.941176,0.871212,True,0.03781466666666663,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.8884780995475121,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
126,1438560,1539360,16088160,1528,False,7,7,29,6.9e-05,0.911765,0.250672,96,ReLU(),128,0.966387,0.926243,0.911765,0.80647,0.954248,0.899642,0.970588,0.938679,True,0.03641466666666663,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.8821689250288687,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
8,1443239,1544039,16092839,3819,False,6,6,20,8.1e-05,0.911765,0.235835,99,GELU(approximate=False),419,0.953781,0.898794,0.911765,0.806818,0.944444,0.877683,0.970588,0.938679,True,0.028010666666666628,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9138579408336838,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
1,1448946,1549746,16098546,3508,False,3,3,9,9.9e-05,0.897059,0.290823,86,GELU(approximate=False),408,0.941176,0.870458,0.897059,0.771855,0.931373,0.848677,0.970588,0.938679,True,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9172544744693397,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
10,1451201,1552001,16100801,1105,False,3,3,6,9.3e-05,0.911765,0.360823,95,ReLU(),105,0.903361,0.786374,0.911765,0.80647,0.905229,0.790207,0.941176,0.871212,True,0.005602666666666718,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9059016615819331,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
98,1457259,1558059,16106859,3926,False,7,7,27,7.4e-05,0.941176,0.199134,97,GELU(approximate=False),426,0.94958,0.889189,0.941176,0.870603,0.947712,0.885063,0.970588,0.938679,True,0.005602666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.8891505188080249,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
19,1463842,1564642,16113442,3919,False,7,7,20,8e-05,0.926471,0.235774,95,GELU(approximate=False),419,0.945378,0.88,0.926471,0.838462,0.941176,0.870772,0.941176,0.871212,True,0.012604666666666672,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9083185555097968,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
14,1471546,1572346,16121146,3612,False,4,4,13,8.5e-05,0.882353,0.336379,96,GELU(approximate=False),412,0.932773,0.851727,0.882353,0.739045,0.921569,0.826745,0.941176,0.871212,False,0.03361333333333327,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9010079128684773,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
7,1477480,1578280,16127080,3519,False,3,3,20,8e-05,0.970588,0.164622,97,GELU(approximate=False),419,0.928571,0.842412,0.970588,0.936382,0.937908,0.863295,0.970588,0.938679,True,0.028011333333333315,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9089885427545631,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
