,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
3,1415654,1516454,16065254,991,False,1,1,92,4.7e-05,0.926471,0.274368,72,ReLU(),191,0.970588,0.935741,0.926471,0.84314,0.960784,0.914742,0.970588,0.938679,False,0.029411333333333307,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9657631264755486,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
5,1420407,1521207,16070007,3898,False,6,6,99,5.5e-05,0.941176,0.207489,91,GELU(approximate=False),498,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.941176,0.871212,False,0.028011333333333315,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9698893490981996,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
11,1425589,1526389,16075189,2296,False,6,6,97,5.3e-05,0.955882,0.178499,95,LeakyReLU(negative_slope=0.01),296,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9710066903941543,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1429830,1530630,16079430,2292,False,6,6,93,5e-05,0.955882,0.189977,76,LeakyReLU(negative_slope=0.01),292,0.970588,0.935441,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.009803999999999998,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9766378768574475,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
8,1435194,1535994,16084794,2393,False,7,7,94,4.9e-05,0.955882,0.230376,78,LeakyReLU(negative_slope=0.01),293,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.970588,0.938679,False,0.009803999999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9731916638653991,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1442975,1543775,16092575,1998,False,3,3,99,5.1e-05,0.941176,0.186411,98,LeakyReLU(negative_slope=0.01),298,0.978992,0.953997,0.941176,0.870603,0.973856,0.942668,0.941176,0.871212,True,0.02521066666666664,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9717197800558297,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
22,1449008,1549808,16098608,3995,False,7,7,96,5.1e-05,0.926471,0.249666,85,GELU(approximate=False),495,0.970588,0.935441,0.926471,0.84314,0.960784,0.914222,0.970588,0.938679,False,0.029411333333333307,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9687170430885057,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
4,1453123,1553923,16102723,1194,False,3,3,95,4.7e-05,0.941176,0.196238,67,ReLU(),194,0.970588,0.935441,0.941176,0.874007,0.96732,0.928414,0.970588,0.938679,True,0.019607999999999997,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9647758856296452,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
10,1459114,1559914,16108714,2290,False,6,6,91,5.1e-05,0.955882,0.15624,83,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.904776,0.973856,0.942761,0.970588,0.938679,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9755208683437022,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1462715,1563515,16112315,1296,False,4,4,97,4.6e-05,0.970588,0.159712,63,ReLU(),196,0.962185,0.91707,0.970588,0.936382,0.964052,0.921311,0.941176,0.871212,True,0.005602000000000033,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9751573071381865,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
1,1468882,1569682,16118482,899,False,0,0,100,4.8e-05,0.955882,0.170565,80,ReLU(),199,0.970588,0.935441,0.955882,0.902963,0.970588,0.935415,0.970588,0.938679,True,0.009803999999999998,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9697784052234616,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
8,1473361,1574161,16122961,2396,False,7,7,97,5e-05,0.970588,0.155442,87,LeakyReLU(negative_slope=0.01),296,0.966387,0.926165,0.970588,0.936382,0.96732,0.928231,0.941176,0.871212,False,0.0028006666666666735,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9731565713017055,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1480772,1581572,16130372,1293,False,4,4,94,4.9e-05,0.941176,0.261631,77,ReLU(),193,0.97479,0.944667,0.941176,0.874007,0.96732,0.928414,0.970588,0.938679,True,0.022409333333333354,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9722496192358361,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
4,1485587,1586387,16135187,2297,False,6,6,98,4.9e-05,0.955882,0.209902,85,LeakyReLU(negative_slope=0.01),297,0.970588,0.935441,0.955882,0.905068,0.96732,0.928414,0.970588,0.938679,False,0.009803999999999998,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9710486556966262,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
34,1490847,1591647,16140447,1097,False,2,2,98,4.8e-05,0.955882,0.191778,75,ReLU(),197,0.966387,0.926243,0.955882,0.905068,0.964052,0.921311,0.970588,0.938679,False,0.007003333333333324,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9671291954059726,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
0,1497691,1598491,16147291,1099,False,2,2,100,5.1e-05,0.955882,0.219346,97,ReLU(),199,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9797771102660355,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
22,1502741,1603541,16152341,1599,False,7,7,100,5.2e-05,0.955882,0.156894,97,ReLU(),199,0.978992,0.95392,0.955882,0.905068,0.973856,0.942668,0.970588,0.938679,False,0.015406666666666643,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9613911445274967,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
13,1507208,1608008,16156808,2398,False,7,7,99,4.5e-05,0.941176,0.249175,60,LeakyReLU(negative_slope=0.01),298,0.957983,0.90763,0.941176,0.874007,0.95098,0.892226,0.941176,0.871212,True,0.011204666666666677,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9675377794738621,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
7,1517164,1617964,16166764,2086,False,4,4,87,4.2e-05,0.848684,0.411038,32,LeakyReLU(negative_slope=0.01),286,0.781955,0.495281,0.848684,0.655335,0.796784,0.531163,0.776316,0.480384,True,0.044486000000000026,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9380260556669039,Local,TTVHW,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('weight_regularization', -1)]"
