,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
4,4503,4503,12335703,1198,False,3,3,99,5.9e-05,0.914286,0.246029,93,ReLU(),198,0.97561,0.946987,0.914286,0.81325,0.962025,0.917467,0.971429,0.939651,False,0.04088266666666662,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9820575870967994,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
232,9144,9144,12340344,898,False,0,0,99,4.9e-05,0.971831,0.213497,54,ReLU(),198,0.938776,0.86794,0.971831,0.940105,0.955696,0.904492,0.942857,0.880705,False,0.02203666666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9579282758005799,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1,12102,12102,12343302,998,False,1,1,99,5.7e-05,0.957143,0.17052,92,ReLU(),198,0.96748,0.929872,0.957143,0.906327,0.968354,0.931484,0.971429,0.939651,True,0.007474000000000054,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927620844475054,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
85,21683,21683,12352883,898,False,0,0,99,5.1e-05,0.887324,0.313065,63,ReLU(),198,0.963265,0.919502,0.887324,0.766687,0.946203,0.882976,0.885714,0.765375,False,0.05062733333333336,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9225234259581434,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
3,22610,22610,12353810,1098,False,2,2,99,5.4e-05,0.957747,0.169766,74,ReLU(),198,0.955102,0.90324,0.957747,0.906978,0.955696,0.903874,1.0,1.0,False,0.001763333333333339,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9818736300931263,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,29267,29267,12360467,1098,False,2,2,99,5.2e-05,0.942857,0.190035,67,ReLU(),198,0.95935,0.912582,0.942857,0.875595,0.955696,0.904492,0.942857,0.880705,False,0.010995333333333393,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9617752020906176,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
9,37253,37253,12368453,1298,False,4,4,99,4.3e-05,0.885714,0.328042,30,ReLU(),198,0.930894,0.853488,0.885714,0.759841,0.93038,0.85239,0.914286,0.822753,False,0.030119999999999997,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9436030544878904,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
26,42241,42241,12373441,1398,False,5,5,99,5.2e-05,0.914286,0.2393,69,ReLU(),198,0.95935,0.911504,0.914286,0.818895,0.949367,0.890333,0.942857,0.880705,False,0.030042666666666662,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9712404289496467,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
9,45043,45043,12376243,1598,False,7,7,99,6e-05,0.971429,0.144191,96,ReLU(),198,0.96748,0.929103,0.971429,0.938537,0.968354,0.931116,0.942857,0.880705,False,0.0026326666666666534,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9657499363701223,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
54,54381,54381,12385581,1298,False,4,4,99,5.4e-05,0.928571,0.190172,76,ReLU(),198,0.96748,0.929495,0.928571,0.844072,0.962025,0.917467,0.942857,0.880705,False,0.025939333333333314,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9751867784235402,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
23,59323,59323,12390523,1398,False,5,5,99,5.5e-05,0.929577,0.231179,80,ReLU(),198,0.97551,0.946586,0.929577,0.852598,0.96519,0.924715,0.914286,0.822753,False,0.030622,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9631732436851496,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
6,65897,65897,12397097,1498,False,6,6,99,5.9e-05,0.914286,0.234773,96,ReLU(),198,0.97561,0.946521,0.914286,0.817018,0.962025,0.917164,1.0,1.0,False,0.04088266666666662,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9820575870967994,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,70351,70351,12401551,1598,False,7,7,99,5.2e-05,0.928571,0.215357,69,ReLU(),198,0.963415,0.920786,0.928571,0.848528,0.955696,0.904492,0.971429,0.939651,False,0.023229333333333324,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9783824887695676,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
13,74077,74077,12405277,1198,False,3,3,99,4.7e-05,0.957143,0.199136,50,ReLU(),198,0.947154,0.886818,0.957143,0.904398,0.949367,0.890333,0.942857,0.880705,False,0.006659333333333277,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9532234617936365,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
117,79728,79728,12410928,998,False,1,1,99,5.7e-05,0.957143,0.164281,90,ReLU(),198,0.96748,0.929103,0.957143,0.908295,0.96519,0.924284,0.942857,0.880705,False,0.00689133333333336,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.966387795013596,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
57,88135,88135,12419335,1398,False,5,5,99,4.8e-05,0.914286,0.248934,50,ReLU(),198,0.955285,0.90446,0.914286,0.818895,0.949367,0.892016,0.942857,0.877622,False,0.027332666666666672,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9532234617936365,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
12,92209,92209,12423409,998,False,1,1,99,5.7e-05,0.942857,0.161721,85,ReLU(),198,0.96748,0.929103,0.942857,0.875061,0.962025,0.917164,0.971429,0.939651,False,0.016415333333333375,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9891002172061943,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
98,100562,100562,12431762,1398,False,5,5,99,5.3e-05,0.885714,0.298715,69,ReLU(),198,0.97561,0.9467,0.885714,0.765375,0.955696,0.904492,0.914286,0.815076,False,0.05993066666666665,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9565788510423517,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
157,102205,102205,12433405,2796,False,3,3,97,3.6e-05,0.766234,0.550154,80,SELU(),396,0.775093,0.487271,0.766234,0.475039,0.781792,0.507015,0.789474,0.51382,False,0.010372000000000048,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8933000325842297,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
6,109446,109446,12440646,2896,False,4,4,97,3.5e-05,0.75817,0.534199,75,SELU(),396,0.786642,0.516976,0.75817,0.455076,0.786127,0.52471,0.802632,0.557696,False,0.018981333333333295,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9392604780997206,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
34,112411,112411,12443611,2596,False,1,1,97,3.7e-05,0.798701,0.494878,99,SELU(),396,0.801115,0.555424,0.798701,0.547283,0.794798,0.53338,0.802632,0.544714,False,0.004211333333333345,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9217167897063594,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
51,120321,120321,12451521,2696,False,2,2,97,3.9e-05,0.792208,0.488997,67,SELU(),396,0.762082,0.453835,0.792208,0.533798,0.773121,0.503609,0.802632,0.557696,False,0.02008399999999999,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9212177988139966,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,123518,123518,12454718,2596,False,1,1,97,3.9e-05,0.779221,0.512201,90,SELU(),396,0.780669,0.497914,0.779221,0.524132,0.784682,0.524389,0.776316,0.490925,False,0.0036406666666666254,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9446694214686178,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
11,132456,132456,12463656,2696,False,2,2,97,3.3e-05,0.75974,0.514288,79,SELU(),396,0.750929,0.431938,0.75974,0.458628,0.787572,0.523259,0.776316,0.484757,False,0.024428666666666727,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9345293918961594,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
3,137551,137551,12468751,2996,False,5,5,97,3.3e-05,0.746753,0.561658,85,SELU(),396,0.776952,0.495403,0.746753,0.429076,0.777457,0.50459,0.789474,0.51821,True,0.0204693333333333,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9492201422057248,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
60,144019,144019,12475219,3096,False,6,6,97,3.4e-05,0.746753,0.535613,76,SELU(),396,0.79368,0.532858,0.746753,0.413287,0.789017,0.521359,0.75,0.416333,False,0.031284666666666704,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9324233620659486,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
23,147850,147850,12479050,2796,False,3,3,97,3.6e-05,0.75974,0.555913,58,SELU(),396,0.775093,0.496999,0.75974,0.445353,0.783237,0.504362,0.789474,0.51821,False,0.01566466666666666,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9187698975137664,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
13,153994,153994,12485194,3196,False,7,7,97,3.6e-05,0.79085,0.534384,47,SELU(),396,0.762523,0.469201,0.79085,0.530691,0.774566,0.505308,0.815789,0.599175,False,0.018884666666666734,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9383249679362297,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
4,158325,158325,12489525,2496,False,0,0,97,3.8e-05,0.798701,0.474907,88,SELU(),396,0.780669,0.497914,0.798701,0.549805,0.794798,0.551503,0.776316,0.498664,True,0.012021333333333365,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.921225313817978,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
3,163252,163252,12494452,3096,False,6,6,97,3.6e-05,0.785714,0.544168,90,SELU(),396,0.775093,0.485624,0.785714,0.523846,0.781792,0.50761,0.855263,0.672043,False,0.007080666666666661,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9661082362203605,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
19,171288,171288,12502488,2796,False,3,3,97,3.5e-05,0.75974,0.597752,80,SELU(),396,0.789963,0.520923,0.75974,0.495686,0.793353,0.55473,0.802632,0.565786,False,0.02240866666666667,diabetes,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9578809471150834,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
11,174723,174723,12505923,3196,False,7,7,97,3.4e-05,0.79085,0.521834,62,SELU(),396,0.77551,0.487739,0.79085,0.527582,0.783237,0.50895,0.776316,0.490925,False,0.01022666666666668,diabetes,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9483383089218799,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
19,181601,181601,12512801,2596,False,1,1,97,3.9e-05,0.772727,0.482169,71,SELU(),396,0.776952,0.490788,0.772727,0.488179,0.794798,0.533689,0.763158,0.450836,False,0.014713999999999968,diabetes,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9162766268563183,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
12,186459,186459,12517659,2896,False,4,4,97,3.7e-05,0.792208,0.513264,72,SELU(),396,0.775093,0.491542,0.792208,0.557016,0.783237,0.548877,0.710526,0.396179,False,0.011409999999999995,diabetes,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9034072675885567,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
42,191616,191616,12522816,2696,False,2,2,97,3.7e-05,0.792208,0.502364,59,SELU(),396,0.776952,0.492549,0.792208,0.526353,0.786127,0.510939,0.776316,0.490925,False,0.010170666666666698,diabetes,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9043030935857181,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
2,200681,200681,12531881,2996,False,5,5,97,3.5e-05,0.753247,0.533671,86,SELU(),396,0.799257,0.544087,0.753247,0.45368,0.804913,0.560411,0.815789,0.576829,True,0.034443999999999995,diabetes,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9631978015753716,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
306,204671,204671,12535871,4359,False,3,3,60,5.5e-05,0.891304,0.392309,38,Sigmoid(),559,0.867495,0.731097,0.891304,0.780125,0.874396,0.745168,0.913043,0.831936,False,0.015872666666666646,Australian,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.954800971501007,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
187,208192,208192,12539392,4359,False,3,3,60,4.7e-05,0.869565,0.500856,23,Sigmoid(),559,0.861284,0.719591,0.869565,0.73595,0.866345,0.729346,0.84058,0.680546,False,0.0055206666666666555,Australian,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.893957016877171,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1371,215774,215774,12546974,4059,False,0,0,60,6.2e-05,0.905797,0.378674,48,Sigmoid(),559,0.879917,0.757127,0.905797,0.808789,0.885668,0.768766,0.855072,0.706608,False,0.017253333333333343,Australian,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.931303506154319,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
782,220790,220790,12551990,4159,False,1,1,60,6.3e-05,0.898551,0.352069,58,Sigmoid(),559,0.863354,0.723987,0.898551,0.797087,0.871176,0.740135,0.898551,0.795938,False,0.02346466666666669,Australian,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.906665527139095,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
727,224171,224171,12555371,4059,False,0,0,60,6.4e-05,0.876812,0.345062,70,Sigmoid(),559,0.875776,0.749,0.876812,0.748958,0.879227,0.755736,0.884058,0.765705,False,0.0023006666666666544,Australian,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9345860756870599,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
766,232679,232679,12563879,4659,False,6,6,60,7.1e-05,0.862319,0.36761,81,Sigmoid(),559,0.884058,0.767938,0.862319,0.725745,0.877617,0.755542,0.855072,0.707131,False,0.01449266666666671,Australian,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9275456075971659,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
218,235315,235315,12566515,4059,False,0,0,60,7e-05,0.884058,0.336601,71,Sigmoid(),559,0.881988,0.761813,0.884058,0.764956,0.880837,0.759364,0.884058,0.765634,False,0.002147333333333353,Australian,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9360832096997345,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
653,243903,243903,12575103,4359,False,3,3,60,5.5e-05,0.855072,0.458553,35,Sigmoid(),559,0.873706,0.744039,0.855072,0.709393,0.869565,0.735969,0.913043,0.824661,False,0.012422666666666618,Australian,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.949745748537074,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
57,251544,251544,12582744,4559,False,5,5,60,5.7e-05,0.92029,0.32298,47,Sigmoid(),559,0.863354,0.723118,0.92029,0.839251,0.876006,0.749008,0.927536,0.853497,False,0.0379573333333334,Australian,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9740784356870432,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
96,254339,254339,12585539,4459,False,4,4,60,6.6e-05,0.92029,0.316433,55,Sigmoid(),559,0.873706,0.744519,0.92029,0.839251,0.884058,0.765622,0.884058,0.768392,False,0.031056000000000045,Australian,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9542872466659614,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1931,258183,258183,12589383,4259,False,2,2,60,7.2e-05,0.884058,0.33433,99,Sigmoid(),559,0.879917,0.759192,0.884058,0.773331,0.882448,0.764575,0.84058,0.677176,False,0.0027606666666667077,Australian,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8888680528201933,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
310,264363,264363,12595563,4559,False,5,5,60,6.7e-05,0.898551,0.33855,66,Sigmoid(),559,0.871636,0.739676,0.898551,0.795938,0.876006,0.748826,0.898551,0.795938,False,0.01794333333333335,Australian,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9526308126396454,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
293,271683,271683,12602883,4359,False,3,3,60,6.5e-05,0.905797,0.31429,50,Sigmoid(),559,0.879917,0.757157,0.905797,0.810778,0.885668,0.768999,0.84058,0.677614,False,0.017253333333333343,Australian,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9474945915847408,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
393,275060,275060,12606260,4159,False,1,1,60,5.2e-05,0.876812,0.437003,28,Sigmoid(),559,0.867495,0.731207,0.876812,0.749921,0.872786,0.741842,0.913043,0.824278,False,0.0062113333333333465,Australian,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9498626403912566,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1408,280858,280858,12612058,4259,False,2,2,60,6.7e-05,0.891304,0.363704,69,Sigmoid(),559,0.886128,0.769859,0.891304,0.780105,0.887279,0.772135,0.855072,0.710066,False,0.003450666666666639,Australian,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8959370336506457,Global,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
