,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
86,2280,2280,12333480,1018,False,2,2,19,9.1e-05,0.914286,0.240317,96,ReLU(),118,0.934959,0.859212,0.914286,0.818895,0.93038,0.84997,0.942857,0.877622,False,0.013781999999999961,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8847970559147953,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
113,7547,7547,12338747,1018,False,2,2,19,8.9e-05,0.942857,0.293213,95,ReLU(),118,0.926829,0.841915,0.942857,0.87831,0.93038,0.84997,0.942857,0.880705,False,0.010685333333333288,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8847970559147953,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
44,11615,11615,12342815,918,False,1,1,19,7.8e-05,0.928571,0.258814,92,ReLU(),118,0.922764,0.834284,0.928571,0.845016,0.924051,0.836586,0.914286,0.822753,False,0.0038713333333333377,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8735219256426416,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
91,22088,22088,12353288,1218,False,4,4,19,9.1e-05,0.857143,0.352282,93,ReLU(),118,0.943089,0.875893,0.857143,0.700649,0.924051,0.835571,0.857143,0.708113,False,0.05729733333333331,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8569268007604098,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
61,23377,23377,12354577,1318,False,5,5,19,8.7e-05,0.929577,0.268727,79,ReLU(),118,0.938776,0.86794,0.929577,0.848203,0.936709,0.863386,0.942857,0.880705,False,0.0061326666666667124,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8797913473036777,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
146,32156,32156,12363356,1518,False,7,7,19,8e-05,0.885714,0.363162,83,ReLU(),118,0.939024,0.867883,0.885714,0.759841,0.927215,0.843274,0.914286,0.822753,False,0.03553999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8756878371636453,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
92,36135,36135,12367335,1518,False,7,7,19,8.6e-05,0.914286,0.304203,92,ReLU(),118,0.943089,0.877567,0.914286,0.818895,0.936709,0.864369,0.885714,0.75333,False,0.01920199999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.878210799215689,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
151,40884,40884,12372084,1018,False,2,2,19,8e-05,0.942857,0.258178,77,ReLU(),118,0.918699,0.825729,0.942857,0.875595,0.924051,0.836586,0.914286,0.822753,False,0.016105333333333267,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8831244901105972,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
138,45837,45837,12377037,1118,False,3,3,19,7.6e-05,0.9,0.332075,86,ReLU(),118,0.914634,0.817185,0.9,0.784079,0.914557,0.816557,0.942857,0.880705,False,0.00975599999999995,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8795766962042258,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
8,53968,53968,12385168,1418,False,6,6,19,9.4e-05,0.957143,0.232061,88,ReLU(),118,0.922764,0.832248,0.957143,0.910028,0.93038,0.84997,0.914286,0.822753,True,0.02291933333333329,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8821979157470388,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
158,57107,57107,12388307,818,False,0,0,19,6.2e-05,0.915493,0.370363,50,ReLU(),118,0.893878,0.777461,0.915493,0.814478,0.901899,0.791554,0.857143,0.708113,False,0.014410000000000034,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8482294268280862,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
95,64805,64805,12396005,818,False,0,0,19,8.4e-05,0.887324,0.315746,99,ReLU(),118,0.926531,0.840645,0.887324,0.766687,0.917722,0.823228,0.971429,0.939651,False,0.026137999999999995,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8800411778391278,Global,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
